primary_key,incident_occured,latitude,longitude,grid,offense_type
20170733955_11,2018-08-27 00:27:00,36.164,-86.815,1469,13C
20180000020_11,2018-04-07 21:51:00,36.13,-86.71,2348,13C
20180046896_11,2019-01-17 10:00:00,36.275,-86.819,1394,13C
20180270538_11,2018-07-05 09:41:00,36.218,-86.755,1950,13B
20180291963_11,2018-04-01 00:30:00,36.209,-86.778,1757,13A
20180291963_12,2018-04-01 00:30:00,36.209,-86.778,1757,13A
20180292314_11,2018-04-01 04:30:00,36.069,-86.72,2301,13B
20180292314_12,2018-04-01 04:30:00,36.069,-86.72,2301,13B
20180292617_11,2018-04-01 08:00:00,36.105,-86.704,2411,13B
20180292902_11,2018-04-01 14:29:00,36.206,-86.781,1694,13B
20180293073_11,2018-04-01 00:30:00,36.161,-86.872,1015,13B
20180293346_11,2018-04-01 17:07:00,36.138,-86.783,1706,13A
20180293754_11,2018-04-01 21:15:00,36.125,-86.725,2231,13A
20180293754_13,2018-04-01 21:15:00,36.125,-86.725,2231,13A
20180293880_11,2018-04-01 22:00:00,36.055,-86.637,2971,13B
20180293929_11,2018-04-01 23:00:00,36.269,-86.683,2552,13C
20180294233_11,2018-04-02 02:19:00,36.15,-86.82,1416,13A
20180295993_11,2018-04-02 15:50:00,36.169,-86.748,2026,13A
20180296030_11,2018-04-02 16:15:00,36.22,-86.81,1459,13C
20180296119_11,2018-04-02 17:00:00,36.165,-86.758,1959,13B
20180296300_11,2018-04-02 18:09:00,36.074,-86.732,2175,13B
20180296300_12,2018-04-02 18:09:00,36.074,-86.732,2175,13B
20180296405_11,2018-04-02 18:45:00,36.24,-86.77,1814,13A
20180296797_11,2018-04-02 21:30:00,36.083,-86.6,3203,13B
20180296797_12,2018-04-02 21:30:00,36.083,-86.6,3203,13B
20180296860_11,2018-04-02 22:28:00,36.096,-86.703,2412,13A
20180297322_11,2018-04-03 02:20:00,36.23,-86.77,1816,13B
20180298268_11,2018-04-03 10:30:00,36.141,-86.732,2164,13A
20180299032_11,2018-04-03 13:45:00,36.17,-86.76,1892,13C
20180299089_11,2018-04-03 14:17:00,36.157,-86.797,1582,13B
