primary_key,incident_occured,latitude,longitude,grid,offense_type
20190570814_11,2019-08-01 00:30:00,36.2,-86.77,1821,13B
20190570890_11,2019-08-01 00:00:00,36.166,-86.746,2026,13B
20190570890_12,2019-08-01 00:00:00,36.166,-86.746,2026,13B
20190570921_11,2019-08-01 01:00:00,36.047,-86.697,2478,13B
20190571292_11,2019-08-01 05:00:00,36.15,-86.8,1583,13B
20190571370_11,2019-08-01 07:15:00,36.076,-86.994,171,13C
20190571420_11,2019-08-01 07:20:00,36.149,-86.763,1895,13A
20190571450_11,2019-08-01 08:00:00,36.159,-86.777,1765,13B
20190571606_11,2019-08-01 09:15:00,36.15,-86.696,2460,13A
20190571842_11,2019-08-01 10:35:00,36.19,-86.76,1888,13A
20190571928_21,2019-08-01 00:00:00,36.25,-86.74,2079,13A
20190571928_22,2019-08-01 00:00:00,36.25,-86.74,2079,13A
20190571928_23,2019-08-01 00:00:00,36.25,-86.74,2079,13A
20190571928_24,2019-08-01 00:00:00,36.25,-86.74,2079,13A
20190571993_11,2019-08-01 00:40:00,36.05,-86.65,2873,13B
20190571993_12,2019-08-01 00:40:00,36.05,-86.65,2873,13B
20190572251_11,2019-08-01 14:10:00,36.15,-86.76,1895,13A
20190572324_11,2019-08-01 15:20:00,36.169,-86.765,1892,13B
20190572352_11,2019-08-01 16:00:00,36.229,-86.829,1347,13B
20190572409_11,2019-08-01 16:00:00,36.202,-86.739,2087,13A
20190572453_11,2019-08-01 16:18:00,36.189,-86.798,1576,13B
20190572583_11,2019-08-01 16:49:00,36.157,-86.825,1360,13B
20190572676_11,2019-08-01 17:45:00,36.214,-86.764,1884,13B
20190572728_11,2019-08-01 18:17:00,36.09,-86.71,2355,13A
20190572728_12,2019-08-01 18:17:00,36.09,-86.71,2355,13A
20190572731_11,2019-08-01 17:00:00,36.26,-86.688,2497,13C
20190572765_11,2019-08-01 18:10:00,36.17,-86.76,1892,13C
20190572778_11,2019-08-01 19:17:00,36.104,-86.809,1535,13B
20190572779_11,2019-08-01 00:30:00,36.126,-86.776,1771,13B
20190572876_11,2019-08-01 18:05:00,36.26,-86.71,2326,13C
20190572917_11,2019-08-01 18:45:00,36.168,-86.822,1413,13B
20190572981_11,2019-08-01 20:20:00,36.263,-86.758,1943,13A
20190572985_11,2019-08-01 20:15:00,36.15,-86.76,1895,13B
20190573004_11,2019-08-01 20:37:00,36.19,-86.837,1299,13A
20190573210_11,2019-08-01 21:00:00,36.203,-86.769,1821,13B
20190573242_11,2019-08-01 22:01:00,36.263,-86.702,2384,13B
20190573283_11,2019-08-01 23:00:00,36.17,-86.8,1580,13A
20190573306_24,2019-08-01 23:20:00,36.07,-86.69,2530,13A
20190573306_25,2019-08-01 23:20:00,36.07,-86.69,2530,13A
20190573353_11,2019-08-02 02:33:00,36.217,-86.835,1294,13A
20190573353_12,2019-08-02 02:33:00,36.217,-86.835,1294,13A
20190573387_11,2019-08-02 00:07:00,36.221,-86.762,1883,13B
20190573390_11,2019-08-01 22:53:00,36.085,-86.729,2238,13B
20190573390_12,2019-08-01 22:53:00,36.085,-86.729,2238,13B
20190573441_11,2019-08-01 21:20:00,36.053,-86.954,384,13B
20190573453_11,2019-08-02 00:15:00,36.26,-86.71,2326,13B
20190573453_12,2019-08-02 00:15:00,36.26,-86.71,2326,13B
20190573458_11,2019-08-02 00:30:00,36.06,-86.71,2361,13B
20190573490_11,2019-08-02 02:26:00,36.193,-86.727,2220,13A
20190573507_11,2019-08-02 00:29:00,36.223,-86.848,1180,13B
20190573591_11,2019-08-01 05:00:00,36.23,-86.73,2213,13B
20190573601_11,2019-08-02 02:00:00,36.283,-86.718,2264,13B
20190573632_11,2019-08-02 02:10:00,36.18,-86.8,1578,13B
20190573639_11,2019-08-02 02:23:00,36.043,-86.667,2706,13B
20190573746_11,2019-08-02 03:50:00,36.166,-86.756,1959,13B
20190573817_11,2019-08-02 04:02:00,36.223,-86.849,1180,13B
20190573862_11,2019-08-01 19:15:00,36.15,-86.62,3052,13C
20190574076_11,2019-08-02 07:40:00,36.148,-86.759,1962,13B
20190574089_11,2019-08-02 08:15:00,36.158,-86.772,1829,13C
20190574103_11,2019-08-02 08:14:00,36.183,-86.773,1824,13B
20190574195_11,2019-08-02 09:00:00,36.053,-86.617,3069,13B
20190574315_11,2019-08-02 09:50:00,36.19,-86.77,1823,13C
20190574315_12,2019-08-02 09:50:00,36.19,-86.77,1823,13C
20190574389_11,2019-08-02 11:07:00,36.18,-86.61,3095,13C
20190574407_11,2019-08-02 10:14:00,36.13,-86.72,2290,13A
20190574537_11,2019-08-02 11:20:00,36.18,-86.6,3186,13B
20190574537_12,2019-08-02 11:20:00,36.18,-86.6,3186,13B
20190574544_11,2019-08-02 11:37:00,36.13,-86.72,2290,13C
20190574652_11,2019-08-02 13:28:00,36.17,-86.8,1580,13C
20190574664_11,2019-08-02 00:00:00,36.11,-86.736,2169,13C
20190574666_11,2019-08-02 07:00:00,36.09,-86.94,467,13C
20190574667_11,2019-08-02 00:22:00,36.2,-86.745,2020,13C
20190574686_11,2019-08-02 00:30:00,36.17,-86.76,1892,13B
20190574693_11,2019-08-02 13:30:00,36.067,-86.64,2920,13B
20190574715_21,2019-08-02 13:00:00,36.069,-86.682,2587,13B
20190574781_11,2019-08-02 00:45:00,36.073,-86.921,617,13B
20190574873_11,2019-08-02 13:57:00,36.101,-86.721,2295,13B
20190575052_11,2019-08-02 13:00:00,36.154,-86.719,2286,13B
20190575130_11,2019-08-02 15:30:00,36.16,-86.81,1469,13A
20190575142_11,2019-08-02 15:15:00,36.11,-86.74,2103,13C
20190575232_11,2019-08-02 16:57:00,36.167,-86.622,3049,13C
20190575236_11,2019-08-01 15:00:00,36.04,-86.71,2364,13C
20190575248_11,2019-08-02 17:04:00,36.092,-86.646,2866,13B
20190575248_12,2019-08-02 17:04:00,36.092,-86.646,2866,13B
20190575329_11,2019-08-02 17:48:00,36.209,-86.861,1066,13B
20190575329_12,2019-08-02 17:48:00,36.209,-86.861,1066,13B
20190575386_11,2019-08-02 18:04:00,36.06,-86.63,2971,13B
20190575386_12,2019-08-02 18:04:00,36.06,-86.63,2971,13B
20190575420_11,2019-08-02 18:45:00,36.184,-86.79,1636,13B
20190575485_11,2019-08-02 18:00:00,36.135,-86.895,844,13B
20190575610_11,2019-08-02 20:00:00,36.137,-86.762,1897,13A
20190575621_11,2019-08-02 19:30:00,36.04,-86.71,2364,13B
20190575621_12,2019-08-02 19:30:00,36.04,-86.71,2364,13B
20190575743_11,2019-08-02 20:17:00,36.06,-86.651,2872,13B
20190575825_11,2019-08-02 20:40:00,36.06,-86.69,2532,13B
20190576095_11,2019-08-02 22:30:00,36.25,-86.69,2499,13A
20190576132_21,2019-08-02 22:00:00,36.179,-86.767,1825,13B
20190576169_11,2019-08-02 23:10:00,36.082,-86.727,2239,13C
20190576175_11,2019-08-02 23:23:00,36.168,-86.759,1959,13B
20190576214_11,2019-08-02 23:37:00,36.166,-86.759,1959,13B
20190576241_11,2019-08-03 00:05:00,36.08,-86.72,2299,13A
20190576275_11,2019-08-02 21:00:00,36.17,-86.75,2026,13C
20190576344_11,2019-08-02 23:15:00,36.08,-86.919,616,13A
20190576354_12,2019-08-03 01:01:00,36.17,-86.76,1892,13B
20190576394_11,2019-08-03 00:45:00,36.15,-86.76,1895,13B
20190576394_12,2019-08-03 00:45:00,36.15,-86.76,1895,13B
