primary_key,incident_occured,latitude,longitude,grid,offense_type
20171052246_11,2017-12-01 01:06:00,36.162,-86.772,1828,13B
20171052330_11,2017-12-01 01:30:00,36.153,-86.762,1895,13B
20171052449_11,2017-12-01 02:20:00,36.162,-86.86,1074,13B
20171052475_11,2017-12-01 02:00:00,36.034,-86.671,2708,13B
20171052504_11,2017-12-01 02:20:00,36.16,-86.86,1074,13B
20171052697_11,2017-12-01 03:58:00,36.16,-86.78,1765,13B
20171052697_12,2017-12-01 03:58:00,36.16,-86.78,1765,13B
20171053193_11,2017-12-01 08:30:00,36.157,-86.833,1305,13B
20171053301_11,2017-12-01 10:30:00,36.09,-86.7,2470,13B
20171053303_11,2017-12-01 09:46:00,36.166,-86.781,1701,13B
20171053318_11,2017-12-01 09:45:00,36.088,-86.705,2414,13B
20171053373_11,2017-12-01 10:00:00,36.189,-86.798,1576,13B
20171053461_11,2017-12-01 10:50:00,36.232,-86.75,2015,13B
20171053512_32,2017-12-01 11:11:00,36.087,-86.692,2527,13A
20171053606_11,2017-12-01 12:00:00,36.153,-86.811,1471,13B
20171053887_11,2017-12-01 14:43:00,36.175,-86.812,1467,13B
20171054124_11,2017-12-01 16:30:00,36.074,-86.675,2644,13B
20171054164_11,2017-12-01 16:41:00,36.23,-86.802,1569,13B
20171054164_12,2017-12-01 16:41:00,36.23,-86.802,1569,13B
20171054342_11,2017-12-01 17:00:00,36.17,-86.69,2513,13C
20171054342_12,2017-12-01 17:00:00,36.17,-86.69,2513,13C
20171054370_11,2017-12-01 18:00:00,36.142,-86.787,1705,13B
20171054370_12,2017-12-01 18:00:00,36.142,-86.787,1705,13B
20171054379_11,2017-12-01 18:25:00,36.044,-86.72,2305,13B
20171054402_11,2017-12-01 17:00:00,36.17,-86.77,1827,13C
20171054669_11,2017-12-01 20:05:00,36.13,-86.715,2348,13B
20171054686_11,2017-12-01 18:00:00,36.16,-86.78,1765,13C
20171054709_11,2017-12-01 06:30:00,36.223,-86.817,1403,13C
20171054845_11,2017-12-01 20:01:00,36.137,-86.7,2462,13C
20171054944_11,2017-12-01 21:30:00,36.087,-86.604,3159,13B
20171054964_11,2017-12-01 21:55:00,36.051,-86.69,2533,13C
20171055171_11,2017-12-01 23:30:00,36.25,-86.703,2386,13B
20171055214_11,2017-12-01 23:00:00,36.05,-86.71,2362,13C
20171055222_11,2017-12-01 17:00:00,36.3,-86.69,2490,13B
20171055255_11,2017-12-02 00:20:00,36.08,-86.73,2239,13A
20171055262_11,2017-12-01 22:30:00,36.164,-86.653,2798,13B
20171055285_11,2017-12-02 00:00:00,36.29,-86.7,2436,13B
20171055429_11,2017-12-02 01:00:00,36.152,-86.788,1642,13A
20171055466_11,2017-12-02 02:04:00,36.135,-86.7,2463,13B
20171055476_11,2017-12-02 02:00:00,36.04,-86.66,2763,13A
20171055703_11,2017-12-02 04:09:00,36.16,-86.77,1828,13B
20171055759_11,2017-12-02 04:14:00,36.17,-86.816,1468,13B
20171055759_12,2017-12-02 04:14:00,36.17,-86.816,1468,13B
20171055779_11,2017-12-02 05:01:00,36.136,-86.772,1832,13B
20171056178_11,2017-12-02 09:00:00,36.269,-86.683,2552,13B
20171056194_11,2017-12-02 09:30:00,36.17,-86.8,1580,13A
20171056267_11,2017-12-02 10:00:00,36.16,-86.75,2027,13A
20171056267_12,2017-12-02 10:00:00,36.16,-86.75,2027,13A
20171056450_11,2017-12-02 13:30:00,36.265,-86.711,2325,13B
20171056450_12,2017-12-02 13:30:00,36.265,-86.711,2325,13B
20171056484_11,2017-12-02 14:00:00,36.209,-86.839,1240,13B
20171056558_11,2017-12-02 14:00:00,36.085,-86.762,1906,13C
20171056591_11,2017-12-02 14:19:00,36.25,-86.77,1813,13C
20171056639_11,2017-12-02 14:20:00,36.148,-86.809,1527,13C
20171056661_11,2017-12-02 16:33:00,36.124,-86.704,2407,13B
20171056714_11,2017-12-02 15:47:00,36.195,-86.749,2021,13B
20171056753_11,2017-12-02 15:20:00,36.168,-86.762,1892,13B
20171056807_11,2017-12-02 16:30:00,36.22,-86.8,1571,13A
20171056860_12,2017-12-02 17:02:00,36.23,-86.76,1881,13A
20171056911_11,2017-12-02 17:30:00,36.2,-86.69,2507,13C
20171056911_12,2017-12-02 17:30:00,36.2,-86.69,2507,13C
20171057120_11,2017-12-02 19:26:00,36.18,-86.75,2024,13B
20171057209_11,2017-12-02 20:00:00,36.157,-86.825,1360,13A
20171057252_11,2017-12-02 20:00:00,36.26,-86.71,2326,13A
20171057255_11,2017-12-02 20:35:00,36.128,-86.77,1834,13A
20171057402_11,2017-12-02 22:08:00,36.295,-86.701,2435,13A
20171057402_12,2017-12-02 22:08:00,36.295,-86.701,2435,13A
20171057531_11,2017-12-02 23:30:00,36.161,-86.775,1765,13B
20171057531_12,2017-12-02 23:30:00,36.161,-86.775,1765,13B
