primary_key,incident_occured,latitude,longitude,grid,offense_type
20180104212_11,2018-02-01 03:30:00,36.16,-86.82,1414,13B
20180104658_11,2018-02-01 06:45:00,36.051,-86.674,2648,13A
20180105188_11,2018-02-01 09:50:00,36.257,-86.709,2327,13B
20180105239_11,2018-02-01 10:30:00,36.155,-86.652,2799,13B
20180105542_11,2018-02-01 12:09:00,36.124,-86.756,1966,13B
20180105787_11,2018-02-01 13:30:00,36.13,-86.715,2348,13A
20180106407_11,2018-02-01 16:50:00,36.251,-86.743,2079,13A
20180106485_11,2018-02-01 17:25:00,36.172,-86.864,1072,13B
20180107085_11,2018-02-01 20:19:00,36.22,-86.59,3220,13B
20180107148_11,2018-02-01 20:56:00,36.141,-86.787,1706,13B
20180107286_11,2018-02-01 21:15:00,36.186,-86.754,1956,13B
20180107790_11,2018-02-01 23:00:00,36.16,-86.779,1765,13B
20180109461_11,2018-02-02 10:23:00,36.201,-86.608,3139,13C
20180110336_21,2018-02-02 15:00:00,36.269,-86.683,2552,13B
20180110649_11,2018-02-01 22:45:00,36.16,-86.78,1765,13B
20180110712_21,2018-02-01 06:30:00,36.224,-86.731,2149,13C
20180110725_11,2018-02-02 19:02:00,36.183,-86.834,1300,13B
20180111583_11,2018-02-02 23:10:00,36.204,-86.599,3182,13A
20180111596_11,2018-02-02 23:20:00,36.245,-86.716,2329,13A
20180112978_21,2018-02-03 13:00:00,36.22,-86.727,2215,13B
20180113172_11,2018-02-03 15:26:00,36.206,-86.773,1820,13A
20180113800_11,2018-02-03 19:53:00,36.163,-86.782,1702,13B
20180113909_11,2018-02-03 20:37:00,36.219,-86.829,1349,13B
20180114254_11,2018-02-03 22:05:00,36.081,-86.699,2472,13B
20180114542_11,2018-02-04 01:45:00,36.175,-86.806,1523,13A
20180114542_12,2018-02-04 01:45:00,36.175,-86.806,1523,13A
20180114713_11,2018-02-04 03:15:00,36.172,-86.602,3144,13B
20180114785_11,2018-02-03 19:00:00,36.13,-86.82,1419,13B
20180115432_11,2018-02-04 00:00:00,36.13,-86.904,725,13A
20180115546_11,2018-02-04 13:04:00,36.121,-86.703,2408,13B
20180115784_11,2018-02-04 16:30:00,36.273,-86.732,2141,13A
20180116119_11,2018-02-04 08:30:00,36.14,-86.789,1644,13B
20180116288_11,2018-02-04 21:30:00,36.153,-86.764,1895,13C
20180116600_11,2018-02-05 00:20:00,36.16,-86.78,1765,13B
20180116778_11,2018-02-05 00:33:00,36.25,-86.74,2079,13B
20180117621_11,2018-02-04 00:30:00,36.207,-86.781,1694,13B
20180118000_11,2018-02-05 10:30:00,36.085,-86.642,2917,13B
20180118545_11,2018-02-05 15:00:00,36.171,-86.818,1412,13B
20180119383_11,2018-02-05 20:08:00,36.176,-86.757,1958,13B
20180120386_11,2018-02-06 01:00:00,36.162,-86.799,1581,13A
20180121036_11,2018-02-06 07:45:00,36.232,-86.623,2989,13C
20180121173_11,2018-02-06 09:30:00,36.208,-86.768,1820,13A
20180121173_13,2018-02-06 09:30:00,36.208,-86.768,1820,13A
20180121546_11,2018-02-05 00:00:00,36.169,-86.785,1701,13C
20180121870_11,2018-02-06 12:00:00,36.079,-86.769,1842,13C
20180122239_11,2018-02-06 14:00:00,36.21,-86.69,2506,13B
20180122276_11,2018-02-06 15:00:00,36.16,-86.78,1765,13B
20180122276_12,2018-02-06 15:00:00,36.16,-86.78,1765,13B
20180122366_11,2018-02-06 15:25:00,36.15,-86.84,1250,13C
20180122449_11,2018-02-06 15:30:00,36.138,-86.79,1644,13B
20180122449_12,2018-02-06 15:30:00,36.138,-86.79,1644,13B
20180123005_11,2018-02-06 19:05:00,36.16,-86.81,1469,13A
20180123246_11,2018-02-06 20:07:00,36.185,-86.773,1824,13C
20180123754_11,2018-02-06 20:53:00,36.154,-86.762,1894,13B
20180124406_11,2018-02-07 03:30:00,36.07,-86.61,3114,13A
20180124740_11,2018-02-07 06:00:00,36.16,-86.77,1828,13B
20180124777_12,2018-02-07 07:05:00,36.15,-86.76,1895,13A
20180124777_13,2018-02-07 07:05:00,36.15,-86.76,1895,13A
20180124777_14,2018-02-07 07:05:00,36.15,-86.76,1895,13A
20180124777_15,2018-02-07 07:05:00,36.15,-86.76,1895,13A
20180124777_16,2018-02-07 07:05:00,36.15,-86.76,1895,13A
20180124777_17,2018-02-07 07:05:00,36.15,-86.76,1895,13A
20180124777_18,2018-02-07 07:05:00,36.15,-86.76,1895,13A
20180124921_11,2018-02-07 07:50:00,36.168,-86.8,1580,13B
20180124921_12,2018-02-07 07:50:00,36.168,-86.8,1580,13B
20180124939_11,2018-02-01 12:00:00,36.101,-86.727,2235,13B
20180124965_11,2018-02-07 04:30:00,36.12,-86.7,2465,13A
