primary_key,incident_occured,latitude,longitude,grid,offense_type
20160000024_11,2016-01-01 00:28:00,36.18,-86.791,1637,13B
20160000116_11,2016-01-01 00:50:00,36.173,-86.796,1579,13B
20160000126_11,2016-01-01 00:40:00,36.19,-86.63,2948,13B
20160000165_11,2016-01-01 01:00:00,36.246,-86.716,2328,13B
20160000195_11,2016-01-01 01:50:00,36.141,-86.738,2098,13B
20160000210_11,2016-01-01 01:30:00,36.15,-86.797,1583,13B
20160000239_22,2016-01-01 01:30:00,36.156,-86.796,1582,13B
20160000272_11,2016-01-01 02:00:00,36.055,-86.637,2971,13B
20160000277_11,2016-01-01 00:05:00,36.188,-86.817,1409,13B
20160000323_11,2016-01-01 02:45:00,36.26,-86.68,2612,13B
20160000359_11,2016-01-01 03:15:00,36.074,-86.6,3204,13A
20160000359_22,2016-01-01 03:15:00,36.074,-86.6,3204,13B
20160000429_11,2016-01-01 04:20:00,36.239,-86.728,2212,13B
20160000435_11,2016-01-01 04:30:00,36.17,-86.765,1892,13B
20160000444_11,2016-01-01 04:20:00,36.26,-86.68,2612,13B
20160000444_12,2016-01-01 04:20:00,36.26,-86.68,2612,13B
20160000482_11,2016-01-01 05:15:00,36.213,-86.721,2276,13B
20160000523_11,2016-01-01 06:13:00,36.272,-86.666,2667,13B
20160000540_11,2016-01-01 06:00:00,36.19,-86.8,1576,13B
20160000546_11,2016-01-01 06:00:00,36.081,-86.715,2357,13B
20160000589_11,2016-01-01 06:24:00,36.168,-86.757,1959,13C
20160000610_11,2016-01-01 07:30:00,36.133,-86.721,2290,13B
20160000611_11,2016-01-01 01:00:00,36.22,-86.69,2504,13B
20160000658_11,2016-01-01 08:33:00,36.011,-86.629,3027,13B
20160000661_11,2016-01-01 08:15:00,36.078,-86.634,2967,13B
20160000672_11,2016-01-01 07:00:00,36.149,-86.758,1962,13B
20160000710_11,2016-01-01 09:20:00,36.239,-86.724,2212,13B
20160000754_21,2016-01-01 09:45:00,36.168,-86.76,1892,13B
20160000832_11,2016-01-01 10:38:00,36.231,-86.759,1948,13B
20160000834_11,2016-01-01 05:00:00,36.045,-86.668,2706,13B
20160000907_11,2016-01-01 11:30:00,36.213,-86.752,2018,13B
20160000907_12,2016-01-01 11:30:00,36.213,-86.752,2018,13B
20160000910_11,2016-01-01 11:45:00,36.09,-86.64,2916,13B
20160000962_21,2016-01-01 12:00:00,36.154,-86.863,1075,13A
20160000962_22,2016-01-01 12:00:00,36.154,-86.863,1075,13A
20160000976_11,2016-01-01 05:30:00,36.07,-86.64,2920,13C
20160001056_11,2016-01-01 14:07:00,36.17,-86.78,1764,13B
20160001178_11,2016-01-01 10:00:00,36.183,-86.611,3094,13C
20160001255_11,2016-01-01 15:45:00,36.216,-86.764,1884,13B
20160001261_11,2016-01-01 01:00:00,36.09,-86.7,2470,13B
20160001355_11,2016-01-01 17:00:00,36.139,-86.764,1897,13B
20160001361_11,2016-01-01 15:20:00,36.05,-86.62,3069,13A
20160001361_12,2016-01-01 15:20:00,36.05,-86.62,3069,13A
20160001476_11,2016-01-01 17:30:00,36.208,-86.605,3138,13B
20160001480_11,2016-01-01 17:43:00,36.179,-86.772,1825,13B
20160001580_11,2016-01-01 18:00:00,36.201,-86.824,1352,13B
20160001630_11,2016-01-01 19:27:00,36.167,-86.76,1892,13B
20160001804_11,2016-01-01 20:02:00,36.134,-86.702,2406,13A
20160001896_11,2016-01-01 20:00:00,36.228,-86.83,1348,13A
20160002219_11,2016-01-01 22:00:00,36.179,-86.817,1411,13B
20160002280_13,2016-01-01 23:50:00,36.04,-86.66,2763,13A
20160002316_11,2016-01-01 12:00:00,36.135,-86.787,1707,13A
20160002579_21,2016-01-02 01:30:00,36.21,-86.79,1632,13C
20160002625_11,2016-01-02 02:20:00,36.161,-86.776,1765,13B
20160002659_11,2016-01-02 02:30:00,36.127,-86.711,2349,13A
20160002714_11,2016-01-02 03:00:00,36.05,-86.725,2244,13A
20160002794_11,2016-01-02 03:30:00,36.187,-86.819,1410,13C
20160002805_11,2016-01-02 00:05:00,36.173,-86.602,3144,13B
20160002842_11,2016-01-02 01:00:00,36.187,-86.819,1410,13B
20160002842_12,2016-01-02 01:00:00,36.187,-86.819,1410,13B
20160002842_13,2016-01-02 01:00:00,36.187,-86.819,1410,13B
20160002888_11,2016-01-02 04:35:00,36.206,-86.778,1757,13B
20160002997_11,2016-01-02 06:15:00,36.182,-86.811,1466,13B
20160003060_11,2016-01-02 06:50:00,36.212,-86.76,1884,13B
20160003385_11,2016-01-01 22:00:00,36.18,-86.82,1411,13B
20160003461_11,2016-01-02 10:35:00,36.21,-86.78,1757,13B
20160003475_11,2016-01-02 03:30:00,36.15,-86.76,1895,13B
20160003535_11,2016-01-02 06:00:00,36.187,-86.819,1410,13C
20160003560_11,2016-01-02 11:58:00,36.044,-86.957,385,13A
20160003606_11,2016-01-02 12:30:00,36.04,-86.721,2306,13B
20160003629_21,2016-01-02 12:30:00,36.29,-86.886,876,13C
20160003629_22,2016-01-02 12:30:00,36.29,-86.886,876,13C
20160003653_11,2016-01-02 01:00:00,36.181,-86.726,2222,13B
20160003669_11,2016-01-02 13:00:00,36.038,-86.747,2048,13B
20160003669_12,2016-01-02 13:00:00,36.038,-86.747,2048,13B
20160003691_11,2016-01-02 13:10:00,36.068,-86.738,2110,13B
20160003701_11,2016-01-02 13:30:00,36.152,-86.761,1895,13C
20160003724_11,2016-01-02 13:00:00,36.26,-86.704,2384,13B
20160003728_11,2016-01-02 12:00:00,36.143,-86.787,1705,13B
20160003735_11,2016-01-02 13:55:00,36.26,-86.679,2612,13B
20160003745_11,2016-01-02 14:00:00,36.084,-86.715,2356,13C
20160003745_12,2016-01-02 14:00:00,36.084,-86.715,2356,13C
20160003789_11,2016-01-02 14:30:00,36.124,-86.706,2407,13A
20160003917_11,2016-01-02 15:46:00,36.085,-86.753,1973,13C
20160003917_12,2016-01-02 15:46:00,36.085,-86.753,1973,13C
20160003999_11,2016-01-02 16:31:00,36.157,-86.88,958,13B
20160004041_11,2016-01-02 16:48:00,36.161,-86.843,1248,13B
20160004054_11,2016-01-02 16:50:00,36.192,-86.616,3045,13C
20160004085_11,2016-01-02 18:00:00,36.17,-86.86,1073,13C
20160004085_12,2016-01-02 18:00:00,36.17,-86.86,1073,13C
20160004134_11,2016-01-02 17:30:00,36.202,-86.728,2218,13A
20160004170_11,2016-01-02 18:00:00,36.2,-86.73,2218,13B
20160004297_21,2016-01-02 19:00:00,36.057,-86.721,2303,13B
20160004310_11,2016-01-02 19:16:00,36.044,-86.733,2180,13B
20160004322_11,2016-01-02 19:20:00,36.245,-86.768,1814,13B
20160004421_11,2016-01-02 19:50:00,36.194,-86.835,1298,13B
20160004542_11,2016-01-02 22:00:00,36.152,-86.681,2573,13B
20160004546_11,2016-01-02 21:00:00,36.066,-86.629,3017,13C
20160004569_22,2016-01-02 22:39:00,36.166,-86.8,1580,13A
20160004572_11,2016-01-02 17:30:00,36.154,-86.864,1075,13A
20160004593_11,2016-01-02 21:45:00,36.21,-86.78,1757,13B
20160004620_11,2016-01-02 22:25:00,36.138,-86.784,1706,13C
20160005010_11,2016-01-03 01:04:00,36.16,-86.78,1765,13B
20160005010_12,2016-01-03 01:04:00,36.16,-86.78,1765,13B
20160005027_11,2016-01-03 00:50:00,36.167,-86.799,1580,13B
20160005177_11,2016-01-03 01:46:00,36.157,-86.829,1360,13B
20160005277_11,2016-01-03 03:00:00,36.168,-86.757,1959,13B
20160005313_11,2016-01-03 04:15:00,36.173,-86.602,3144,13A
20160005391_11,2016-01-03 04:20:00,36.146,-86.753,1963,13A
20160005839_11,2016-01-03 09:20:00,36.155,-86.833,1305,13B
20160005937_11,2016-01-03 09:20:00,36.108,-86.732,2169,13B
20160005937_12,2016-01-03 09:20:00,36.108,-86.732,2169,13B
20160006005_11,2016-01-03 10:15:00,36.081,-86.703,2415,13B
20160006013_11,2016-01-03 10:00:00,36.067,-86.956,381,13B
20160006013_12,2016-01-03 10:00:00,36.067,-86.956,381,13B
20160006189_11,2016-01-03 09:30:00,36.06,-86.673,2647,13B
20160006273_11,2016-01-03 12:00:00,36.179,-86.771,1825,13B
20160006352_11,2016-01-03 14:45:00,36.246,-86.757,1945,13B
20160006381_11,2016-01-03 14:00:00,36.202,-86.829,1352,13B
20160006422_11,2016-01-03 14:00:00,36.09,-86.69,2526,13B
20160006425_11,2016-01-03 14:20:00,36.181,-86.812,1466,13C
20160006461_11,2016-01-03 15:35:00,36.27,-86.74,2075,13A
20160006463_11,2016-01-03 15:40:00,36.04,-86.58,3287,13B
20160006467_11,2016-01-03 15:44:00,36.149,-86.807,1527,13B
20160006497_11,2016-01-03 16:00:00,36.188,-86.811,1464,13B
20160006547_11,2016-01-03 16:30:00,36.209,-86.591,3222,13B
20160006547_22,2016-01-03 16:30:00,36.209,-86.591,3222,13A
20160006646_11,2016-01-03 17:00:00,36.24,-86.77,1814,13C
20160006663_21,2016-01-03 17:27:00,36.164,-86.598,3189,13C
20160006677_11,2016-01-02 22:30:00,36.209,-86.591,3222,13B
20160006736_11,2016-01-03 18:15:00,36.187,-86.769,1824,13C
20160006791_11,2016-01-03 18:30:00,36.16,-86.84,1248,13B
20160006823_11,2016-01-03 18:50:00,36.164,-86.599,3189,13B
20160006863_11,2016-01-03 19:27:00,36.058,-86.723,2303,13B
20160006863_12,2016-01-03 19:27:00,36.058,-86.723,2303,13B
20160006884_11,2016-01-03 19:35:00,36.081,-86.955,379,13B
20160006884_12,2016-01-03 19:35:00,36.081,-86.955,379,13B
20160006900_11,2016-01-03 19:30:00,36.245,-86.778,1751,13B
20160006916_11,2016-01-03 20:00:00,36.213,-86.596,3180,13C
20160006917_11,2016-01-03 20:15:00,36.16,-86.78,1765,13B
20160006972_11,2016-01-03 20:59:00,36.117,-86.74,2102,13C
20160006990_11,2016-01-03 17:20:00,36.16,-86.6,3189,13A
20160006990_12,2016-01-03 17:20:00,36.16,-86.6,3189,13A
20160007098_11,2016-01-03 22:10:00,36.151,-86.709,2345,13B
20160007098_12,2016-01-03 22:10:00,36.151,-86.709,2345,13B
20160007109_11,2016-01-03 22:55:00,36.09,-86.891,851,13B
20160007140_11,2016-01-03 22:30:00,36.182,-86.815,1466,13B
20160007456_11,2016-01-04 00:16:00,36.255,-86.649,2838,13B
20160007465_32,2016-01-04 01:00:00,36.128,-86.908,726,13C
20160008813_11,2016-01-04 10:00:00,36.21,-86.84,1240,13C
20160008866_11,2016-01-04 11:30:00,36.17,-86.78,1764,13B
20160009060_11,2016-01-04 12:03:00,36.174,-86.789,1638,13B
20160009273_11,2016-01-04 12:30:00,36.15,-86.67,2688,13B
20160009391_11,2016-01-04 13:40:00,36.055,-86.637,2971,13B
20160009432_11,2016-01-04 14:00:00,36.177,-86.796,1578,13B
20160009432_12,2016-01-04 14:00:00,36.177,-86.796,1578,13B
20160009542_11,2016-01-04 14:48:00,36.22,-86.6,3179,13B
20160009555_11,2016-01-03 03:00:00,36.166,-86.806,1524,13B
20160009555_12,2016-01-03 03:00:00,36.166,-86.806,1524,13B
20160009609_11,2016-01-04 14:45:00,36.09,-86.629,3013,13C
20160009610_11,2016-01-04 14:50:00,36.05,-86.7,2477,13C
20160009814_11,2016-01-04 16:15:00,36.08,-86.95,423,13B
20160010192_11,2016-01-04 18:15:00,36.198,-86.741,2088,13A
20160010204_11,2016-01-04 18:30:00,36.077,-86.725,2240,13B
20160010204_12,2016-01-04 18:30:00,36.077,-86.725,2240,13B
20160010425_21,2016-01-04 18:40:00,36.27,-86.66,2723,13C
20160010425_22,2016-01-04 18:40:00,36.27,-86.66,2723,13C
20160010612_11,2016-01-04 20:30:00,36.155,-86.856,1134,13B
20160010675_11,2016-01-04 21:00:00,36.21,-86.69,2506,13B
20160010680_11,2016-01-04 21:00:00,36.25,-86.67,2671,13C
20160010719_11,2016-01-04 21:25:00,36.18,-86.79,1637,13B
20160010745_11,2016-01-04 19:45:00,36.16,-86.65,2854,13B
20160010755_11,2016-01-04 21:30:00,36.14,-86.75,2031,13B
20160010778_11,2016-01-04 21:45:00,36.142,-86.707,2404,13B
20160010973_11,2016-01-04 23:10:00,36.2,-86.77,1821,13B
20160011045_21,2016-01-04 23:45:00,36.088,-86.61,3111,13B
20160011231_11,2016-01-05 00:05:00,36.222,-86.624,2991,13C
20160011388_11,2016-01-05 01:30:00,36.256,-86.767,1812,13B
20160011706_11,2016-01-05 03:50:00,36.265,-86.658,2780,13B
20160011710_11,2016-01-05 03:30:00,36.168,-86.779,1764,13B
20160011710_12,2016-01-05 03:30:00,36.168,-86.779,1764,13B
20160011768_11,2016-01-05 04:00:00,36.081,-86.715,2357,13B
20160011852_11,2016-01-04 17:15:00,36.16,-86.8,1581,13B
20160011974_31,2016-01-05 05:25:00,36.322,-86.868,987,13B
20160012145_11,2016-01-05 07:30:00,36.15,-86.77,1830,13B
20160012462_11,2016-01-05 09:00:00,36.17,-86.76,1892,13B
20160012556_11,2016-01-05 09:30:00,36.27,-86.71,2324,13C
20160012618_11,2016-01-05 08:30:00,36.15,-86.77,1830,13A
20160012665_11,2016-01-05 10:06:00,36.147,-86.765,1896,13B
20160012714_11,2016-01-05 10:48:00,36.071,-86.685,2587,13C
20160012735_11,2016-01-04 20:15:00,36.167,-86.754,1959,13B
20160012812_11,2016-01-05 10:57:00,36.178,-86.81,1466,13B
20160012911_11,2016-01-05 09:45:00,36.038,-87.035,32,13B
20160013053_11,2016-01-05 12:10:00,36.235,-86.828,1346,13B
20160013054_11,2016-01-05 12:00:00,36.17,-86.76,1892,13C
20160013128_11,2016-01-05 12:30:00,36.16,-86.87,1015,13B
20160013478_11,2016-01-05 13:30:00,36.14,-86.737,2164,13B
20160013611_11,2016-01-05 14:00:00,36.04,-86.65,2875,13B
20160013733_11,2016-01-05 16:18:00,36.04,-86.71,2364,13B
20160013831_11,2016-01-05 16:55:00,36.2,-86.74,2087,13B
20160013911_11,2016-01-05 16:00:00,36.08,-86.73,2239,13C
20160013912_11,2016-01-05 16:00:00,36.187,-86.841,1244,13B
20160014092_11,2016-01-05 17:59:00,36.211,-86.813,1461,13B
20160014092_12,2016-01-05 17:59:00,36.211,-86.813,1461,13B
20160014171_11,2016-01-05 17:00:00,36.142,-86.753,1963,13A
20160014234_11,2016-01-05 17:55:00,36.31,-86.769,1802,13B
20160014287_11,2016-01-05 18:35:00,36.052,-86.613,3117,13B
20160014287_12,2016-01-05 18:35:00,36.052,-86.613,3117,13B
20160014375_11,2016-01-05 19:05:00,36.045,-86.719,2305,13B
20160014393_11,2016-01-05 19:40:00,36.18,-86.74,2091,13B
20160014404_11,2016-01-05 19:30:00,36.16,-86.84,1248,13B
20160014411_11,2016-01-05 18:45:00,36.183,-86.735,2156,13B
20160014561_11,2016-01-05 18:45:00,36.29,-86.73,2203,13B
20160014632_11,2016-01-05 21:00:00,36.26,-86.7,2441,13C
20160014647_11,2016-01-05 20:30:00,36.13,-86.796,1586,13B
20160014706_11,2016-01-05 08:00:00,36.18,-86.81,1466,13C
20160014713_11,2016-01-05 20:09:00,36.057,-86.659,2760,13C
20160014796_11,2016-01-05 21:18:00,36.077,-86.665,2757,13B
20160014796_12,2016-01-05 21:18:00,36.077,-86.665,2757,13B
20160014858_11,2016-01-05 21:40:00,36.085,-86.947,422,13B
20160015033_11,2016-01-05 22:40:00,36.261,-86.65,2837,13B
20160015059_11,2016-01-05 14:30:00,36.22,-86.74,2084,13C
20160015076_11,2016-01-05 22:00:00,36.26,-86.85,1174,13C
20160015118_11,2016-01-05 23:15:00,36.189,-86.801,1576,13B
20160015293_11,2016-01-06 00:00:00,36.165,-86.762,1892,13B
20160015528_11,2016-01-06 01:59:00,36.08,-86.65,2868,13C
