primary_key,incident_occured,latitude,longitude,grid,offense_type
20180046896_11,2019-01-17 10:00:00,36.275,-86.819,1394,13C
20190000016_11,2019-01-01 00:00:00,36.21,-86.77,1820,13A
20190000017_11,2019-01-01 00:07:00,36.07,-86.68,2645,13A
20190000048_11,2019-01-01 00:30:00,36.161,-86.777,1765,13B
20190000048_12,2019-01-01 00:30:00,36.161,-86.777,1765,13B
20190000060_11,2019-01-01 00:24:00,36.213,-86.695,2449,13B
20190000094_11,2019-01-01 00:35:00,36.152,-86.793,1642,13A
20190000094_22,2019-01-01 00:35:00,36.152,-86.793,1642,13B
20190000113_11,2019-01-01 00:50:00,36.161,-86.776,1765,13B
20190000126_11,2019-01-01 00:40:00,36.167,-86.765,1892,13B
20190000177_11,2019-01-01 01:05:00,36.153,-86.765,1895,13B
20190000225_11,2019-01-01 01:34:00,36.147,-86.832,1307,13B
20190000230_11,2019-01-01 01:35:00,36.147,-86.781,1705,13B
20190000275_11,2019-01-01 01:50:00,36.053,-86.637,2972,13A
20190000289_11,2019-01-01 02:00:00,36.09,-86.607,3158,13B
20190000290_11,2019-01-01 02:40:00,36.16,-86.774,1765,13B
20190000307_11,2019-01-01 02:24:00,36.162,-86.775,1765,13B
20190000307_12,2019-01-01 02:24:00,36.162,-86.775,1765,13B
20190000335_11,2019-01-01 03:00:00,36.119,-86.74,2101,13A
20190000340_11,2019-01-01 05:57:00,36.204,-86.602,3139,13B
20190000363_11,2019-01-01 02:30:00,36.161,-86.775,1765,13B
20190000369_11,2019-01-01 02:30:00,36.12,-86.79,1647,13A
20190000378_11,2019-01-01 03:00:00,36.151,-86.802,1583,13A
20190000384_11,2019-01-01 02:38:00,36.21,-86.84,1240,13A
20190000392_11,2019-01-01 03:15:00,36.14,-86.777,1769,13B
20190000401_11,2019-01-01 03:30:00,36.073,-86.921,617,13C
20190000415_11,2019-01-01 03:40:00,36.208,-86.591,3222,13A
20190000417_11,2019-01-01 03:00:00,36.161,-86.776,1765,13B
20190000417_12,2019-01-01 03:00:00,36.161,-86.776,1765,13B
20190000440_11,2019-01-01 03:50:00,36.05,-86.72,2304,13A
20190000471_11,2019-01-01 02:00:00,36.065,-86.67,2703,13B
20190000478_11,2019-01-01 04:40:00,36.15,-86.8,1583,13B
20190000479_11,2019-01-01 04:20:00,36.162,-86.776,1765,13B
20190000730_11,2019-01-01 00:01:00,36.14,-86.86,1078,13B
20190000766_11,2019-01-01 08:30:00,36.025,-86.638,2928,13B
20190000904_11,2019-01-01 08:00:00,36.16,-86.77,1828,13B
20190001122_11,2019-01-01 00:30:00,36.219,-86.586,3256,13B
20190001127_11,2019-01-01 13:02:00,36.18,-86.81,1466,13A
20190001135_11,2019-01-01 13:10:00,36.187,-86.77,1824,13A
20190001217_11,2019-01-01 14:00:00,36.056,-86.742,2112,13A
20190001271_11,2019-01-01 00:00:00,36.154,-86.793,1641,13B
20190001330_11,2019-01-01 14:45:00,36.139,-86.732,2164,13B
20190001361_11,2019-01-01 14:43:00,36.3,-86.7,2434,13C
20190001391_11,2019-01-01 16:00:00,36.147,-86.815,1472,13B
20190001400_11,2019-01-01 15:50:00,36.111,-86.746,2036,13B
20190001407_11,2019-01-01 16:05:00,36.227,-86.745,2016,13A
20190001453_11,2019-01-01 16:30:00,36.136,-86.769,1832,13B
20190001454_11,2019-01-01 16:12:00,36.08,-86.72,2299,13A
20190001483_11,2019-01-01 16:30:00,36.08,-86.58,3280,13A
20190001525_21,2019-01-01 17:15:00,36.26,-86.679,2612,13C
20190001578_11,2019-01-01 17:36:00,36.078,-86.659,2756,13B
20190001625_11,2019-01-01 13:00:00,36.223,-86.879,946,13B
20190001626_11,2019-01-01 18:20:00,36.16,-86.79,1640,13A
20190001723_11,2019-01-01 16:10:00,36.2,-86.81,1462,13C
20190001799_11,2019-01-01 20:00:00,36.142,-86.641,2907,13B
20190001803_11,2019-01-01 14:00:00,36.056,-86.742,2112,13C
20190001840_11,2019-01-01 19:30:00,36.24,-86.78,1751,13A
20190001859_11,2019-01-01 20:30:00,36.161,-86.849,1191,13A
20190002027_11,2019-01-01 21:00:00,36.26,-86.76,1876,13A
20190002091_11,2019-01-01 22:15:00,36.051,-86.966,340,13C
20190002249_11,2019-01-02 00:20:00,36.151,-86.795,1642,13A
20190002249_12,2019-01-02 00:20:00,36.151,-86.795,1642,13A
20190002249_13,2019-01-02 00:20:00,36.151,-86.795,1642,13A
20190002332_11,2019-01-02 00:25:00,36.156,-86.83,1360,13B
20190002458_31,2019-01-01 14:30:00,36.09,-86.62,3062,13A
20190003010_11,2019-01-02 05:30:00,36.175,-86.784,1700,13B
20190003012_11,2019-01-02 07:20:00,36.206,-86.769,1820,13C
20190003029_11,2019-01-02 06:50:00,36.172,-86.796,1579,13B
20190003099_11,2019-01-02 02:30:00,36.046,-86.669,2706,13B
20190003348_11,2019-01-02 09:20:00,36.2,-86.69,2507,13C
20190003410_11,2019-01-01 16:30:00,36.15,-86.78,1767,13B
20190003478_11,2019-01-02 10:45:00,36.267,-86.694,2496,13B
20190003480_11,2019-01-01 00:00:00,36.27,-86.7,2439,13C
20190003484_11,2019-01-01 01:30:00,36.09,-86.69,2526,13C
20190003534_11,2019-01-01 13:00:00,36.247,-86.679,2614,13B
20190003664_11,2019-01-02 11:00:00,36.245,-86.775,1751,13B
20190003689_11,2019-01-02 00:00:00,36.045,-86.716,2363,13C
20190003910_11,2019-01-02 13:50:00,36.17,-86.76,1892,13B
20190004009_11,2019-01-02 14:40:00,36.252,-86.728,2209,13C
20190004009_12,2019-01-02 14:40:00,36.252,-86.728,2209,13C
20190004081_11,2019-01-02 15:05:00,36.18,-86.75,2024,13A
20190004117_11,2019-01-02 15:24:00,36.26,-86.682,2554,13B
20190004250_11,2019-01-02 15:20:00,36.3,-86.7,2434,13C
20190004250_12,2019-01-02 15:20:00,36.3,-86.7,2434,13C
20190004258_11,2019-01-01 01:00:00,36.1,-86.92,613,13B
20190004320_11,2019-01-02 15:44:00,36.19,-86.76,1888,13B
20190004345_11,2019-01-02 16:50:00,36.166,-86.756,1959,13A
20190004535_11,2019-01-02 00:00:00,36.251,-86.743,2079,13B
20190004545_11,2019-01-02 17:57:00,36.035,-86.958,387,13B
20190004587_11,2019-01-01 03:00:00,36.202,-86.612,3091,13B
20190004646_11,2019-01-02 18:10:00,36.13,-86.71,2348,13B
20190004682_11,2019-01-02 18:36:00,36.159,-86.662,2742,13B
20190004723_11,2019-01-02 19:31:00,36.065,-86.686,2588,13B
20190004792_11,2019-01-02 20:13:00,36.064,-86.604,3163,13B
20190004819_11,2019-01-02 20:20:00,36.11,-86.74,2103,13B
20190004855_11,2019-01-02 18:40:00,36.171,-86.779,1763,13B
20190004907_11,2019-01-02 21:11:00,36.17,-86.77,1827,13B
20190004941_11,2019-01-02 21:32:00,36.3,-86.7,2434,13B
20190004996_11,2019-01-02 22:06:00,36.17,-86.81,1468,13C
20190005023_11,2019-01-02 22:00:00,36.17,-86.76,1892,13A
20190005049_11,2019-01-02 21:47:00,36.161,-86.703,2401,13B
20190005057_11,2019-01-02 22:00:00,36.14,-86.74,2098,13B
20190005084_11,2019-01-02 22:00:00,36.15,-86.76,1895,13A
20190005084_14,2019-01-02 22:00:00,36.15,-86.76,1895,13A
20190005110_11,2019-01-02 23:10:00,36.187,-86.833,1300,13B
20190005148_11,2019-01-02 21:25:00,36.05,-86.59,3249,13A
20190005152_11,2019-01-02 18:45:00,36.205,-86.636,2946,13C
20190005304_11,2019-01-03 00:45:00,36.176,-86.603,3144,13B
20190005547_11,2019-01-03 02:50:00,36.163,-86.777,1765,13B
20190005759_11,2019-01-03 05:30:00,36.133,-86.721,2290,13B
20190005770_11,2019-01-03 05:19:00,36.183,-86.588,3226,13B
20190005770_12,2019-01-03 05:19:00,36.183,-86.588,3226,13B
20190005962_11,2019-01-03 01:00:00,36.267,-86.763,1875,13A
20190006085_11,2019-01-03 08:55:00,36.204,-86.746,2020,13C
20190006130_11,2019-01-01 04:00:00,36.14,-86.88,961,13C
20190006178_11,2019-01-03 09:20:00,36.18,-86.757,1957,13B
20190006178_12,2019-01-03 09:20:00,36.18,-86.757,1957,13B
20190006442_11,2019-01-03 10:50:00,36.15,-86.858,1135,13C
20190006490_11,2019-01-03 11:33:00,36.087,-86.727,2238,13A
20190006569_11,2019-01-03 00:00:00,36.144,-86.797,1584,13B
20190006577_21,2019-01-03 00:00:00,36.06,-86.74,2112,13C
20190006626_11,2019-01-03 00:20:00,36.219,-86.821,1404,13B
20190006679_11,2019-01-03 03:00:00,36.15,-86.79,1642,13B
20190006695_22,2019-01-03 00:26:00,36.26,-86.71,2326,13B
20190006803_11,2019-01-03 00:15:00,36.2,-86.74,2087,13C
20190006969_11,2019-01-03 14:10:00,36.182,-86.794,1637,13C
20190007259_11,2019-01-03 22:09:00,36.134,-86.702,2406,13B
20190007259_12,2019-01-03 22:09:00,36.134,-86.702,2406,13B
20190007502_11,2019-01-03 18:50:00,36.223,-86.872,1004,13B
20190007568_21,2019-01-03 15:45:00,36.214,-86.797,1572,13A
20190007616_11,2019-01-03 20:36:00,36.14,-86.79,1644,13A
20190007626_11,2019-01-03 20:00:00,36.126,-86.752,2033,13B
20190007635_21,2019-01-03 18:30:00,36.145,-86.835,1307,13B
20190007674_11,2019-01-03 21:00:00,36.237,-86.748,2014,13B
20190007674_12,2019-01-03 21:00:00,36.237,-86.748,2014,13B
20190007735_11,2019-01-03 21:05:00,36.072,-86.678,2644,13B
20190007735_12,2019-01-03 21:05:00,36.072,-86.678,2644,13B
20190007785_11,2019-01-03 21:40:00,36.175,-86.784,1700,13A
20190007785_12,2019-01-03 21:40:00,36.175,-86.784,1700,13A
20190007931_11,2019-01-03 23:00:00,36.13,-86.89,844,13B
20190007933_11,2019-01-03 22:00:00,36.193,-86.744,2089,13C
20190008050_11,2019-01-03 23:14:00,36.214,-86.59,3221,13B
20190008059_11,2019-01-04 00:00:00,36.044,-86.665,2762,13C
20190008074_11,2019-01-04 00:00:00,36.124,-86.706,2407,13A
20190008179_11,2019-01-04 00:50:00,36.134,-86.702,2406,13C
20190008373_11,2019-01-04 02:00:00,36.213,-86.762,1884,13C
20190008477_11,2019-01-04 03:35:00,36.071,-86.62,3066,13B
20190008621_11,2019-01-04 05:00:00,36.179,-86.603,3143,13A
20190008849_11,2019-01-04 07:15:00,36.13,-86.71,2348,13C
20190008857_11,2019-01-04 07:45:00,36.19,-86.82,1409,13A
20190008876_32,2019-01-04 08:15:00,36.158,-86.784,1703,13B
20190009086_22,2019-01-04 09:30:00,36.21,-86.79,1632,13B
20190009230_11,2019-01-04 10:29:00,36.176,-86.603,3144,13A
20190009245_11,2019-01-04 09:30:00,36.198,-86.838,1298,13C
20190009361_11,2019-01-04 11:35:00,36.21,-86.73,2217,13A
20190009361_12,2019-01-04 11:35:00,36.21,-86.73,2217,13A
20190009361_13,2019-01-04 11:35:00,36.21,-86.73,2217,13A
20190009370_11,2019-01-04 11:30:00,36.11,-86.73,2234,13C
20190009375_11,2019-01-04 11:40:00,36.16,-86.78,1765,13B
20190009396_11,2019-01-04 11:30:00,36.172,-86.81,1467,13B
20190009472_11,2019-01-04 00:50:00,36.054,-86.715,2362,13C
20190009475_11,2019-01-04 00:58:00,36.129,-86.707,2407,13A
20190009475_12,2019-01-04 00:58:00,36.129,-86.707,2407,13A
20190009502_11,2019-01-03 16:00:00,36.159,-86.826,1359,13B
20190009503_11,2019-01-04 13:00:00,36.26,-86.7,2441,13B
20190009545_11,2019-01-04 13:10:00,36.183,-86.608,3142,13B
20190009598_11,2019-01-04 13:46:00,36.141,-86.781,1706,13B
20190009598_12,2019-01-04 13:46:00,36.141,-86.781,1706,13B
20190009623_11,2019-01-01 15:00:00,36.09,-86.687,2583,13B
20190009623_12,2019-01-01 15:00:00,36.09,-86.687,2583,13B
20190009716_11,2019-01-04 14:30:00,36.168,-86.8,1580,13B
20190009866_12,2019-01-04 16:23:00,36.175,-86.802,1579,13B
20190009883_11,2019-01-03 15:15:00,36.21,-86.82,1406,13C
20190009890_11,2019-01-04 16:00:00,36.17,-86.68,2628,13A
