primary_key,incident_occured,latitude,longitude,grid,offense_type
20160008123_11,2017-01-03 19:57:00,36.15,-86.76,1895,13A
20160078487_11,2016-08-27 10:00:00,36.121,-86.775,1772,13B
20160589575_11,2016-07-01 00:18:00,36.15,-86.78,1767,13B
20160589729_11,2016-07-01 01:00:00,36.195,-86.749,2021,13B
20160589757_11,2016-07-01 01:00:00,36.078,-86.722,2299,13B
20160589786_11,2016-07-01 01:10:00,36.08,-86.64,2918,13B
20160589892_11,2016-07-01 01:50:00,36.161,-86.783,1702,13B
20160589932_11,2016-07-01 01:40:00,36.05,-86.64,2923,13A
20160589947_11,2016-07-01 01:00:00,36.175,-86.812,1467,13B
20160590345_11,2016-07-01 05:40:00,36.133,-86.723,2290,13C
20160590354_11,2016-07-01 05:45:00,36.17,-86.79,1639,13B
20160590887_11,2016-07-01 09:21:00,36.15,-86.758,1962,13B
20160590902_11,2016-07-01 09:00:00,36.145,-86.86,1077,13C
20160591239_11,2016-07-01 11:10:00,36.16,-86.78,1765,13B
20160591299_11,2016-07-01 07:30:00,36.17,-86.75,2026,13A
20160591347_11,2016-07-01 11:40:00,36.166,-86.727,2224,13B
20160591422_11,2016-07-01 12:00:00,36.247,-86.673,2614,13B
20160591422_12,2016-07-01 12:00:00,36.247,-86.673,2614,13B
20160591428_11,2016-07-01 12:00:00,36.2,-86.728,2218,13A
20160591454_11,2016-07-01 02:45:00,36.17,-86.78,1764,13B
20160592041_11,2016-07-01 15:00:00,36.21,-86.929,543,13B
20160592137_11,2016-07-01 16:00:00,36.087,-86.692,2527,13C
20160592158_11,2016-07-01 16:45:00,36.24,-86.77,1814,13C
20160592197_11,2016-07-01 16:52:00,36.125,-86.744,2100,13B
20160592197_12,2016-07-01 16:52:00,36.125,-86.744,2100,13B
20160592349_11,2016-07-01 17:00:00,36.08,-86.72,2299,13C
20160592387_11,2016-07-01 19:14:00,36.082,-86.729,2239,13B
20160592390_11,2016-07-01 16:35:00,36.078,-86.911,675,13C
20160592390_12,2016-07-01 16:35:00,36.078,-86.911,675,13C
20160592583_11,2016-07-01 19:00:00,36.225,-86.77,1817,13B
20160592657_11,2016-07-01 19:00:00,36.25,-86.77,1813,13B
20160592657_12,2016-07-01 19:00:00,36.25,-86.77,1813,13B
20160592662_11,2016-07-01 19:45:00,36.164,-86.779,1765,13B
20160592714_11,2016-07-01 20:11:00,36.165,-86.818,1413,13B
20160592721_11,2016-07-01 20:00:00,36.15,-86.66,2744,13B
20160592758_22,2016-07-01 19:00:00,36.08,-86.76,1907,13A
20160592876_11,2016-07-01 20:00:00,36.269,-86.683,2552,13B
20160592916_11,2016-07-01 21:00:00,36.165,-86.754,1959,13B
20160593197_21,2016-07-01 22:45:00,36.253,-86.729,2209,13C
20160593225_11,2016-07-01 17:00:00,36.066,-86.63,2969,13C
20160593273_11,2016-07-01 23:00:00,36.05,-86.64,2923,13B
20160593308_11,2016-07-02 00:53:00,36.074,-86.599,3204,13B
20160593315_11,2016-07-01 00:30:00,36.213,-86.761,1884,13A
20160593315_22,2016-07-01 00:30:00,36.213,-86.761,1884,13B
20160593341_11,2016-07-01 23:40:00,36.22,-86.76,1883,13A
20160593365_11,2016-07-02 00:29:00,36.21,-86.78,1757,13B
20160593377_11,2016-07-01 23:51:00,36.201,-86.767,1821,13B
20160593410_11,2016-07-01 13:00:00,36.21,-86.75,2019,13B
20160593455_23,2016-07-02 00:10:00,36.09,-86.65,2866,13A
20160593460_11,2016-07-02 00:00:00,36.375,-86.763,1856,13B
20160593565_11,2016-07-01 11:45:00,36.11,-86.736,2169,13B
20160593569_11,2016-07-02 01:05:00,36.22,-86.804,1515,13B
20160593808_11,2016-07-02 02:30:00,36.04,-86.78,1786,13B
20160593926_11,2016-07-02 04:01:00,36.258,-86.678,2612,13B
20160593948_11,2016-07-02 03:30:00,36.074,-86.976,250,13B
20160593948_12,2016-07-02 03:30:00,36.074,-86.976,250,13B
20160594104_11,2016-07-02 03:06:00,36.14,-86.8,1585,13B
20160594148_11,2016-07-02 06:18:00,36.235,-86.79,1627,13B
20160594288_11,2016-07-01 23:00:00,36.12,-86.703,2408,13B
20160594288_12,2016-07-01 23:00:00,36.12,-86.703,2408,13B
20160594321_11,2016-07-02 07:45:00,36.151,-86.797,1583,13A
20160594372_11,2016-07-02 09:00:00,36.24,-86.78,1751,13C
20160594446_11,2016-07-02 09:00:00,36.15,-86.82,1416,13A
20160594451_11,2016-07-02 08:00:00,36.212,-86.837,1295,13B
20160594464_11,2016-07-02 09:00:00,36.162,-86.861,1074,13C
20160594569_11,2016-07-02 09:56:00,36.199,-86.754,1954,13B
20160594686_11,2016-07-02 10:30:00,36.09,-86.938,514,13B
20160594696_11,2016-07-02 11:00:00,36.084,-86.919,615,13B
20160594704_11,2016-07-02 10:05:00,36.256,-86.714,2327,13B
20160594742_11,2016-07-02 11:30:00,36.245,-86.777,1751,13B
20160594766_11,2016-07-02 13:00:00,36.13,-86.796,1586,13B
20160594776_11,2016-07-02 11:30:00,36.066,-86.667,2702,13A
20160594800_11,2016-07-02 12:15:00,36.159,-86.824,1359,13B
20160594858_11,2016-07-02 11:00:00,36.09,-86.64,2916,13C
20160594889_11,2016-07-02 13:00:00,36.178,-86.799,1578,13B
20160594936_11,2016-07-02 13:00:00,36.039,-86.704,2422,13B
20160594973_11,2016-07-02 14:07:00,36.206,-86.769,1820,13C
20160595008_11,2016-07-02 14:39:00,36.183,-86.773,1824,13B
20160595101_11,2016-07-02 14:00:00,36.27,-86.68,2610,13C
20160595133_11,2016-07-02 16:00:00,36.236,-86.75,2014,13B
20160595219_11,2016-07-02 16:33:00,36.236,-86.75,2014,13A
20160595219_12,2016-07-02 16:33:00,36.236,-86.75,2014,13A
20160595253_11,2016-07-02 16:35:00,36.181,-86.805,1522,13B
20160595274_11,2016-07-02 16:57:00,36.16,-86.796,1581,13B
20160595527_11,2016-07-02 18:50:00,36.07,-86.72,2301,13B
20160595629_11,2016-07-02 19:30:00,36.038,-86.637,2974,13A
20160595678_11,2016-07-02 15:15:00,36.18,-86.59,3227,13C
20160595749_11,2016-07-02 20:00:00,36.318,-86.884,871,13B
20160595778_11,2016-07-02 20:30:00,36.27,-86.7,2439,13B
20160595788_11,2016-07-02 20:30:00,36.18,-86.8,1578,13B
20160595849_11,2016-07-02 20:45:00,36.004,-86.688,2541,13B
20160595937_11,2016-07-02 21:33:00,36.269,-86.683,2552,13B
20160595937_21,2016-07-02 21:33:00,36.269,-86.683,2552,13B
20160596057_11,2016-07-02 22:35:00,36.084,-86.623,3014,13B
20160596067_11,2016-07-02 16:30:00,36.04,-86.97,298,13C
20160596080_11,2016-07-02 22:22:00,36.168,-86.755,1959,13B
20160596109_11,2016-07-02 22:00:00,36.05,-86.74,2113,13B
20160596165_11,2016-07-02 23:15:00,36.165,-86.762,1892,13B
20160596222_11,2016-07-02 22:51:00,36.19,-86.82,1409,13A
20160596224_11,2016-07-03 00:55:00,36.151,-86.761,1895,13B
20160596250_11,2016-07-03 00:00:00,36.235,-86.766,1880,13B
20160596288_11,2016-07-02 21:30:00,36.22,-86.804,1515,13B
20160596437_22,2016-07-03 01:02:00,36.28,-86.8,1561,13C
20160596464_11,2016-07-03 01:41:00,36.272,-86.664,2723,13B
20160596549_11,2016-07-03 02:00:00,36.16,-86.59,3230,13B
20160596549_12,2016-07-03 02:00:00,36.16,-86.59,3230,13B
20160596557_11,2016-07-03 02:15:00,36.168,-86.779,1764,13B
20160596563_11,2016-07-03 02:23:00,36.232,-86.781,1690,13A
20160596656_11,2016-07-03 03:25:00,36.15,-86.83,1361,13A
20160596656_22,2016-07-03 03:25:00,36.15,-86.83,1361,13B
20160596667_11,2016-07-03 03:22:00,36.173,-86.601,3187,13C
20160596771_11,2016-07-03 04:30:00,36.14,-86.786,1706,13B
20160596906_11,2016-07-03 06:30:00,36.14,-86.786,1706,13C
20160596908_11,2016-07-03 04:00:00,36.074,-86.76,1908,13B
20160597098_11,2016-07-01 01:15:00,36.045,-86.662,2762,13B
20160597135_11,2016-07-02 22:00:00,36.186,-86.809,1521,13B
20160597232_11,2016-07-03 10:22:00,36.18,-86.81,1466,13C
20160597232_12,2016-07-03 10:22:00,36.18,-86.81,1466,13C
20160597363_11,2016-07-02 20:00:00,36.16,-86.71,2343,13B
20160597436_11,2016-07-03 11:30:00,36.25,-86.77,1813,13A
20160597436_12,2016-07-03 11:30:00,36.25,-86.77,1813,13A
20160597474_11,2016-07-03 03:00:00,36.15,-86.81,1471,13B
20160597565_11,2016-07-02 22:30:00,36.159,-86.628,3001,13C
20160597661_11,2016-07-03 13:15:00,36.26,-86.71,2326,13A
20160597738_11,2016-07-03 14:04:00,36.08,-86.723,2299,13B
20160597742_11,2016-07-03 14:35:00,36.12,-86.771,1835,13B
