primary_key,incident_occured,latitude,longitude,grid,offense_type
20180270538_11,2018-07-05 09:41:00,36.218,-86.755,1950,13B
20180567880_11,2018-07-01 00:00:00,36.246,-86.779,1750,13A
20180567906_11,2018-07-01 00:05:00,36.184,-86.732,2156,13B
20180567906_12,2018-07-01 00:05:00,36.184,-86.732,2156,13B
20180567931_11,2018-07-01 00:38:00,36.138,-86.801,1585,13B
20180567934_11,2018-07-01 00:30:00,36.082,-86.714,2357,13B
20180567974_11,2018-07-01 00:45:00,36.196,-86.772,1822,13B
20180568004_11,2018-07-01 01:14:00,36.26,-86.7,2441,13A
20180568053_11,2018-07-01 01:30:00,36.214,-86.764,1884,13B
20180568119_11,2018-07-01 02:00:00,36.249,-86.72,2270,13B
20180568260_11,2018-07-01 03:50:00,36.13,-86.77,1833,13B
20180568280_21,2018-07-01 03:54:00,36.154,-86.795,1641,13A
20180568310_11,2018-07-01 04:15:00,36.206,-86.769,1820,13B
20180568449_11,2018-07-01 05:00:00,36.293,-86.695,2435,13B
20180568513_11,2018-07-01 06:00:00,36.069,-86.73,2241,13B
20180568513_12,2018-07-01 06:00:00,36.069,-86.73,2241,13B
20180568588_11,2018-07-01 07:45:00,36.087,-86.939,468,13B
20180568601_11,2018-07-01 07:59:00,36.17,-86.765,1892,13C
20180568862_11,2018-07-01 06:00:00,36.253,-86.717,2269,13B
20180568887_11,2018-07-01 10:57:00,36.189,-86.817,1409,13B
20180568887_12,2018-07-01 10:57:00,36.189,-86.817,1409,13B
20180568901_22,2018-07-01 10:20:00,36.164,-86.598,3189,13C
20180568922_11,2018-07-01 11:13:00,36.184,-86.763,1889,13B
20180568967_11,2018-07-01 11:30:00,36.244,-86.757,1946,13A
20180569023_11,2018-07-01 11:59:00,36.171,-86.801,1579,13C
20180569037_21,2018-07-01 13:30:00,36.05,-86.74,2113,13C
20180569070_11,2018-07-01 13:26:00,36.15,-86.78,1767,13A
20180569231_11,2018-07-01 13:45:00,36.15,-86.754,1962,13A
20180569243_11,2018-07-01 00:00:00,36.172,-86.594,3187,13C
20180569313_11,2018-07-01 14:44:00,36.162,-86.826,1359,13B
20180569324_11,2018-07-01 14:20:00,36.08,-86.703,2415,13B
20180569331_11,2018-07-01 15:00:00,36.245,-86.716,2329,13B
20180569414_11,2018-07-01 15:40:00,36.231,-86.729,2213,13A
20180569471_11,2018-07-01 14:50:00,36.111,-86.702,2410,13B
20180569485_11,2018-07-01 16:00:00,36.302,-86.693,2490,13C
20180569506_11,2018-07-01 16:00:00,36.16,-86.6,3189,13A
20180569537_11,2018-07-01 15:30:00,36.231,-86.729,2213,13A
20180569610_11,2018-07-01 17:00:00,36.208,-86.789,1632,13B
20180569634_11,2018-07-01 17:20:00,36.174,-86.592,3228,13B
20180569651_11,2018-07-01 18:24:00,36.133,-86.721,2290,13B
20180569870_11,2018-07-01 18:30:00,36.16,-86.78,1765,13A
20180569882_11,2018-07-01 18:28:00,36.154,-86.802,1582,13C
20180569884_11,2018-07-01 18:31:00,36.15,-86.63,2955,13C
20180569884_12,2018-07-01 18:31:00,36.15,-86.63,2955,13C
20180569927_11,2018-07-01 19:00:00,36.259,-86.85,1174,13B
20180570042_11,2018-07-01 20:00:00,36.21,-86.784,1694,13B
20180570120_11,2018-07-01 20:50:00,36.28,-86.71,2323,13A
20180570139_11,2018-07-01 21:02:00,36.16,-86.8,1581,13A
20180570214_11,2018-07-01 21:15:00,36.206,-86.773,1820,13B
20180570214_12,2018-07-01 21:15:00,36.206,-86.773,1820,13B
20180570238_11,2018-07-01 22:00:00,36.21,-86.77,1820,13B
20180570248_11,2018-07-01 22:21:00,36.15,-86.74,2096,13A
20180570273_11,2018-07-01 22:25:00,36.277,-86.752,2007,13B
20180570279_11,2018-07-01 06:00:00,36.21,-86.77,1820,13C
20180570283_11,2018-07-01 22:45:00,36.086,-87.009,113,13B
20180570327_11,2018-07-01 22:45:00,36.144,-86.749,2030,13C
20180570339_11,2018-07-01 23:00:00,36.258,-86.714,2326,13B
20180570386_11,2018-07-01 23:35:00,36.258,-86.696,2441,13A
20180570386_12,2018-07-01 23:35:00,36.258,-86.696,2441,13A
