primary_key,incident_occured,latitude,longitude,grid,offense_type
20170434406_11,2017-06-16 23:30:00,36.08,-86.885,912,13A
20170482108_11,2017-06-01 00:03:00,36.135,-86.704,2406,13B
20170482344_11,2017-06-01 00:45:00,36.223,-86.809,1514,13B
20170482694_11,2017-06-01 04:10:00,36.15,-86.797,1583,13B
20170482737_11,2017-06-01 05:45:00,36.078,-86.722,2299,13B
20170482793_11,2017-06-01 06:30:00,36.151,-86.799,1583,13B
20170482953_11,2017-06-01 06:31:00,36.22,-86.8,1571,13B
20170483095_11,2017-06-01 08:35:00,36.153,-86.829,1361,13B
20170483208_11,2017-06-01 09:11:00,36.149,-86.761,1895,13B
20170483288_11,2017-06-01 09:30:00,36.143,-86.779,1768,13B
20170483303_11,2017-06-01 09:30:00,36.112,-86.766,1902,13B
20170483603_11,2017-06-01 11:24:00,36.149,-86.761,1895,13B
20170483730_11,2017-06-01 00:30:00,36.077,-86.737,2175,13B
20170483731_11,2017-06-01 12:15:00,36.17,-86.88,956,13A
20170483772_11,2017-06-01 12:13:00,36.27,-86.69,2495,13C
20170483838_21,2017-06-01 13:28:00,36.26,-86.66,2725,13B
20170483970_11,2017-06-01 11:30:00,36.187,-86.819,1410,13B
20170484000_11,2017-06-01 14:00:00,36.07,-86.98,251,13C
20170484038_11,2017-06-01 14:00:00,36.041,-86.582,3287,13C
20170484070_11,2017-06-01 13:16:00,36.168,-86.762,1892,13C
20170484111_11,2017-06-01 15:11:00,36.105,-86.603,3156,13B
20170484170_11,2017-06-01 14:50:00,36.249,-86.677,2614,13B
20170484175_11,2017-06-01 14:00:00,36.18,-86.8,1578,13C
20170484209_11,2017-06-01 15:31:00,36.141,-86.786,1706,13C
20170484254_11,2017-06-01 16:00:00,36.253,-86.774,1749,13A
20170484274_11,2017-06-01 16:09:00,36.097,-86.657,2809,13B
20170484451_11,2017-06-01 17:00:00,36.202,-86.607,3139,13B
20170484491_11,2017-06-01 17:19:00,36.228,-86.771,1817,13C
20170484532_11,2017-06-01 19:09:00,36.155,-86.786,1703,13B
20170484539_11,2017-06-01 17:38:00,36.214,-86.789,1631,13B
20170484539_13,2017-06-01 17:38:00,36.214,-86.789,1631,13B
20170484612_11,2017-06-01 18:10:00,36.19,-86.73,2220,13B
20170484639_11,2017-06-01 17:48:00,36.08,-86.73,2239,13B
20170484639_12,2017-06-01 17:48:00,36.08,-86.73,2239,13B
20170484694_11,2017-06-01 19:00:00,36.257,-86.767,1812,13B
20170484705_11,2017-06-01 18:54:00,36.09,-86.65,2866,13C
20170484723_11,2017-06-01 19:10:00,36.11,-86.72,2294,13A
20170484915_11,2017-06-01 16:30:00,36.39,-86.76,1854,13C
20170484942_11,2017-06-01 17:00:00,36.039,-86.783,1723,13B
20170484966_11,2017-06-01 21:00:00,36.152,-86.8,1583,13B
