primary_key,incident_occured,latitude,longitude,grid,offense_type
20180477426_11,2018-06-01 01:15:00,36.179,-86.771,1825,13B
20180477426_22,2018-06-01 01:15:00,36.179,-86.771,1825,13A
20180477565_11,2018-06-01 02:00:00,36.083,-86.716,2357,13B
20180477738_11,2018-06-01 04:00:00,36.286,-86.719,2264,13B
20180477887_11,2018-06-01 05:39:00,36.042,-86.718,2306,13B
20180478180_11,2018-06-01 08:00:00,36.16,-86.77,1828,13B
20180478180_12,2018-06-01 08:00:00,36.16,-86.77,1828,13B
20180478202_11,2018-06-01 08:15:00,36.15,-86.757,1962,13A
20180478456_11,2018-06-01 10:15:00,36.26,-86.71,2326,13B
20180478531_11,2018-06-01 10:00:00,36.18,-86.79,1637,13B
20180478646_11,2018-06-01 01:59:00,36.264,-86.659,2724,13A
20180478776_11,2018-06-01 12:00:00,36.095,-86.631,2964,13B
20180478901_11,2018-06-01 13:03:00,36.152,-86.681,2573,13A
20180478919_12,2018-06-01 13:00:00,36.166,-86.761,1892,13B
20180479034_11,2018-06-01 14:17:00,36.21,-86.75,2019,13A
20180479034_12,2018-06-01 14:17:00,36.21,-86.75,2019,13A
20180479111_11,2018-06-01 15:06:00,36.17,-86.8,1580,13A
20180479197_11,2018-06-01 15:30:00,36.12,-87.0,132,13C
20180479239_11,2018-06-01 15:52:00,36.05,-86.71,2362,13A
20180479239_12,2018-06-01 15:52:00,36.05,-86.71,2362,13A
20180479279_11,2018-06-01 16:00:00,36.157,-86.873,1016,13B
20180479647_12,2018-06-01 18:22:00,36.139,-86.783,1706,13B
20180479681_11,2018-06-01 18:00:00,36.147,-86.813,1472,13B
20180479744_11,2018-06-01 19:00:00,36.17,-86.76,1892,13B
20180479744_12,2018-06-01 19:00:00,36.17,-86.76,1892,13B
20180479744_13,2018-06-01 19:00:00,36.17,-86.76,1892,13B
20180479814_11,2018-06-01 19:42:00,36.064,-86.691,2531,13B
20180479917_21,2018-06-01 19:51:00,36.3,-86.7,2434,13C
20180479957_11,2018-06-01 19:36:00,36.178,-86.797,1578,13B
20180480015_11,2018-06-01 20:45:00,36.18,-86.81,1466,13B
20180480035_11,2018-06-01 17:00:00,36.14,-86.88,961,13C
20180480054_11,2018-06-01 21:30:00,36.267,-86.697,2440,13B
20180480094_11,2018-06-01 21:30:00,36.075,-86.73,2240,13B
20180480135_11,2018-06-01 21:41:00,36.23,-86.82,1402,13A
20180480211_21,2018-06-01 22:30:00,36.179,-86.599,3186,13B
20180480211_22,2018-06-01 22:30:00,36.179,-86.599,3186,13B
20180480258_11,2018-06-01 22:28:00,36.26,-86.7,2441,13C
20180480264_11,2018-06-01 23:00:00,36.187,-86.772,1824,13A
20180480294_11,2018-06-01 23:47:00,36.15,-86.76,1895,13A
20180480353_11,2018-06-01 23:40:00,36.161,-86.777,1765,13B
20180480369_11,2018-06-01 14:00:00,36.15,-86.77,1830,13B
20180480399_21,2018-06-01 23:30:00,36.197,-86.774,1759,13B
20180480428_11,2018-06-01 23:50:00,36.16,-86.78,1765,13B
20180480428_12,2018-06-01 23:50:00,36.16,-86.78,1765,13B
20180480443_11,2018-06-02 00:24:00,36.151,-86.767,1830,13A
20180480531_11,2018-06-02 00:00:00,36.17,-86.76,1892,13A
20180480563_12,2018-06-02 01:30:00,36.161,-86.775,1765,13B
20180480563_13,2018-06-02 01:30:00,36.161,-86.775,1765,13B
20180480563_14,2018-06-02 01:30:00,36.161,-86.775,1765,13B
20180480595_11,2018-06-02 01:40:00,36.161,-86.777,1765,13B
20180480600_11,2018-06-02 01:30:00,36.154,-86.784,1703,13B
20180480703_11,2018-06-02 00:30:00,36.14,-86.7,2462,13A
20180480731_11,2018-06-02 02:49:00,36.18,-86.76,1890,13B
20180480769_11,2018-06-02 01:00:00,36.254,-86.698,2442,13B
20180480771_11,2018-06-02 02:50:00,36.142,-86.703,2404,13B
20180480786_11,2018-06-02 03:20:00,36.15,-86.77,1830,13A
20180480798_11,2018-06-02 03:15:00,36.168,-86.755,1959,13A
20180480798_12,2018-06-02 03:15:00,36.168,-86.755,1959,13A
20180480819_11,2018-06-02 01:30:00,36.16,-86.78,1765,13A
20180480838_11,2018-06-02 04:05:00,36.221,-86.823,1404,13B
20180480974_21,2018-06-02 04:54:00,36.045,-86.61,3118,13B
20180481002_11,2018-06-02 06:03:00,36.08,-86.7,2472,13A
20180481002_12,2018-06-02 06:03:00,36.08,-86.7,2472,13A
20180481124_11,2018-06-02 08:15:00,36.15,-86.86,1076,13B
20180481124_12,2018-06-02 08:15:00,36.15,-86.86,1076,13B
20180481232_11,2018-06-02 01:00:00,36.162,-86.776,1765,13B
20180481270_11,2018-06-02 09:00:00,36.121,-86.621,3057,13B
20180481271_11,2018-06-02 09:14:00,36.119,-86.795,1647,13A
20180481292_11,2018-06-02 09:20:00,36.07,-86.59,3246,13B
20180481299_11,2018-06-02 09:00:00,36.159,-86.869,1015,13C
20180481368_11,2018-06-02 11:40:00,36.2,-86.84,1241,13B
20180481422_11,2018-06-02 10:30:00,36.159,-86.643,2904,13C
20180481516_11,2018-06-02 11:30:00,36.045,-86.663,2762,13B
20180481599_11,2018-06-02 11:45:00,36.14,-86.73,2229,13A
20180481692_11,2018-06-02 13:00:00,36.18,-86.6,3186,13C
20180481708_11,2018-06-02 13:30:00,36.231,-86.825,1347,13C
20180481791_11,2018-06-02 11:00:00,36.149,-86.762,1895,13A
20180481796_11,2018-06-02 12:30:00,36.213,-86.762,1884,13B
20180481825_11,2018-06-02 01:15:00,36.14,-86.79,1644,13B
20180481840_11,2018-06-02 15:00:00,36.17,-86.8,1580,13B
20180481846_11,2018-06-02 15:03:00,36.081,-86.694,2528,13B
