primary_key,incident_occured,latitude,longitude,grid,offense_type
20170191899_11,2017-03-01 00:05:00,36.15,-86.78,1767,13B
20170191922_11,2017-03-01 01:38:00,36.004,-86.633,2980,13B
20170191972_11,2017-03-01 00:40:00,36.211,-86.592,3222,13B
20170192483_11,2017-03-01 00:10:00,36.06,-86.64,2922,13A
20170192527_11,2017-03-01 04:15:00,36.044,-86.665,2762,13B
20170192973_11,2017-03-01 07:20:00,36.221,-86.78,1755,13B
20170193092_11,2017-03-01 08:00:00,36.247,-86.775,1750,13B
20170193330_11,2017-03-01 09:30:00,36.09,-86.699,2470,13B
20170193333_11,2017-03-01 10:40:00,36.194,-86.623,2995,13B
20170193342_11,2017-03-01 10:00:00,36.176,-86.608,3144,13B
20170193353_11,2017-03-01 10:30:00,36.155,-86.809,1526,13A
20170193388_11,2017-03-01 10:30:00,36.249,-86.677,2614,13A
20170193424_11,2017-03-01 10:15:00,36.17,-86.76,1892,13B
20170193424_12,2017-03-01 10:15:00,36.17,-86.76,1892,13B
20170193754_11,2017-03-01 10:44:00,36.224,-86.726,2214,13A
20170193862_11,2017-03-01 14:00:00,36.08,-86.6,3203,13C
20170193944_11,2017-03-01 11:30:00,36.14,-86.777,1769,13B
20170194041_11,2017-03-01 05:00:00,36.136,-86.788,1644,13C
20170194056_11,2017-03-01 14:25:00,36.148,-86.761,1895,13B
20170194066_11,2017-03-01 14:20:00,36.08,-86.68,2643,13A
20170194224_11,2017-03-01 15:48:00,36.25,-86.74,2079,13B
20170194260_11,2017-03-01 15:18:00,36.243,-86.737,2146,13B
20170194397_11,2017-03-01 16:35:00,36.063,-86.717,2302,13B
20170194477_11,2017-03-01 17:08:00,36.08,-86.71,2357,13A
20170194551_11,2017-03-01 17:20:00,36.172,-86.686,2569,13B
20170194589_11,2017-03-01 17:00:00,36.13,-86.78,1770,13A
20170194651_11,2017-03-01 18:10:00,36.218,-86.845,1238,13B
20170194667_11,2017-03-01 18:00:00,36.133,-86.721,2290,13A
20170194677_11,2017-03-01 18:20:00,36.179,-86.767,1825,13B
20170194726_11,2017-03-01 17:00:00,36.2,-86.83,1352,13A
20170194727_11,2017-03-01 18:45:00,36.233,-86.758,1948,13B
20170194752_11,2017-03-01 18:45:00,36.051,-86.647,2873,13B
20170194752_12,2017-03-01 18:45:00,36.051,-86.647,2873,13B
20170194885_11,2017-03-01 19:43:00,36.182,-86.715,2340,13A
20170194886_11,2017-03-01 19:30:00,36.13,-86.75,2032,13B
20170194931_11,2017-03-01 19:00:00,36.08,-86.65,2868,13B
20170194969_11,2017-03-01 20:02:00,36.33,-86.77,1799,13C
20170195103_11,2017-03-01 20:45:00,36.2,-86.77,1821,13B
20170195103_12,2017-03-01 20:45:00,36.2,-86.77,1821,13B
20170195257_11,2017-03-01 22:05:00,36.143,-86.84,1251,13B
20170195257_12,2017-03-01 22:05:00,36.143,-86.84,1251,13B
20170195275_11,2017-03-01 22:00:00,36.063,-86.917,678,13B
20170195281_11,2017-03-01 22:01:00,36.08,-86.63,2967,13B
20170195281_12,2017-03-01 22:01:00,36.08,-86.63,2967,13B
20170195310_11,2017-03-01 22:10:00,36.115,-86.742,2102,13B
20170195322_11,2017-03-01 22:30:00,36.226,-86.76,1882,13A
