primary_key,incident_occured,latitude,longitude,grid,offense_type
20180194511_11,2018-03-01 08:30:00,36.15,-86.775,1767,13B
20180194511_12,2018-03-01 08:30:00,36.15,-86.775,1767,13B
20180194513_11,2018-03-01 08:10:00,36.081,-86.703,2415,13C
20180194677_11,2018-03-01 09:50:00,36.269,-86.711,2324,13B
20180195470_11,2018-03-01 14:30:00,36.19,-86.61,3093,13B
20180195500_11,2018-03-01 15:50:00,36.138,-86.79,1644,13B
20180195624_21,2018-03-01 16:52:00,36.07,-86.686,2587,13A
20180195624_22,2018-03-01 16:52:00,36.07,-86.686,2587,13A
20180195825_11,2018-03-01 17:32:00,36.153,-86.669,2688,13B
20180196219_11,2018-03-01 20:00:00,36.073,-86.926,566,13B
20180198669_11,2018-03-02 14:30:00,36.122,-86.705,2408,13C
20180199979_32,2018-03-02 23:49:00,36.213,-86.76,1884,13A
20180200445_11,2018-03-03 01:00:00,36.174,-86.758,1958,13B
20180200553_11,2018-03-03 02:45:00,36.161,-86.777,1765,13B
20180200879_11,2018-03-02 19:00:00,36.09,-86.687,2583,13A
20180201057_11,2018-03-03 07:00:00,36.167,-86.862,1073,13B
20180201834_22,2018-03-03 17:08:00,36.18,-86.81,1466,13B
20180202003_11,2018-03-03 18:20:00,36.3,-86.69,2490,13B
20180202159_11,2018-03-03 19:13:00,36.13,-86.715,2348,13B
20180202206_11,2018-03-03 19:45:00,36.047,-86.655,2818,13B
20180202206_12,2018-03-03 19:45:00,36.047,-86.655,2818,13B
20180202482_11,2018-03-03 21:30:00,36.29,-86.692,2492,13B
20180203190_11,2018-03-03 08:30:00,36.154,-86.864,1075,13B
20180203936_11,2018-03-04 10:00:00,36.247,-86.776,1750,13A
20180204274_11,2018-03-03 15:30:00,36.11,-86.75,2036,13B
20180204291_12,2018-03-04 14:20:00,36.173,-86.765,1891,13A
20180204291_21,2018-03-04 14:20:00,36.173,-86.765,1891,13B
20180204326_11,2018-03-03 07:30:00,36.084,-86.636,2966,13C
20180204503_11,2018-03-04 15:45:00,36.18,-86.81,1466,13C
20180206724_11,2018-03-05 08:30:00,36.202,-86.83,1352,13B
