primary_key,incident_occured,latitude,longitude,grid,offense_type
20190333456_11,2019-05-01 00:00:00,36.279,-86.709,2323,13A
20190333463_11,2019-05-01 00:06:00,36.061,-86.639,2921,13B
20190333465_11,2019-05-01 00:08:00,36.163,-86.837,1304,13B
20190333465_12,2019-05-01 00:08:00,36.163,-86.837,1304,13B
20190333556_11,2019-05-01 00:50:00,36.15,-86.79,1642,13B
20190333556_12,2019-05-01 00:50:00,36.15,-86.79,1642,13B
20190333577_11,2019-05-01 01:10:00,36.061,-86.639,2921,13B
20190333687_11,2019-05-01 01:00:00,36.172,-86.814,1467,13B
20190333687_12,2019-05-01 01:00:00,36.172,-86.814,1467,13B
20190333782_11,2019-05-01 01:30:00,36.044,-86.665,2762,13B
20190334116_11,2019-05-01 00:45:00,36.293,-86.692,2491,13B
20190334303_11,2019-05-01 05:30:00,36.093,-86.751,2039,13C
20190334600_11,2019-05-01 09:30:00,36.145,-86.671,2689,13B
20190334605_11,2019-05-01 08:30:00,36.11,-86.72,2294,13A
20190334634_11,2019-05-01 10:00:00,36.253,-86.644,2888,13B
20190334648_11,2019-05-01 09:06:00,36.08,-86.71,2357,13C
20190334654_11,2019-05-01 09:44:00,36.212,-86.733,2151,13A
20190334766_11,2019-05-01 09:30:00,36.08,-86.71,2357,13C
20190334910_11,2019-05-01 11:00:00,36.166,-86.806,1524,13B
20190334979_11,2019-05-01 10:00:00,36.12,-86.77,1835,13C
20190335011_11,2019-05-01 13:00:00,36.187,-86.819,1410,13B
20190335011_12,2019-05-01 13:00:00,36.187,-86.819,1410,13B
20190335011_13,2019-05-01 13:00:00,36.187,-86.819,1410,13B
20190335041_11,2019-05-01 00:25:00,36.12,-86.78,1772,13B
20190335237_11,2019-05-01 13:00:00,36.14,-86.79,1644,13B
20190335283_11,2019-05-01 14:17:00,36.229,-86.744,2082,13B
20190335303_11,2019-05-01 14:24:00,36.178,-86.599,3186,13B
20190335388_11,2019-05-01 15:00:00,36.167,-86.781,1701,13B
20190335449_11,2019-05-01 15:27:00,36.119,-86.729,2232,13B
20190335449_12,2019-05-01 15:27:00,36.119,-86.729,2232,13B
20190335452_11,2019-05-01 13:00:00,36.21,-86.76,1885,13C
20190335463_11,2019-05-01 15:33:00,36.16,-86.78,1765,13B
20190335465_11,2019-05-01 14:15:00,36.18,-86.8,1578,13C
