primary_key,incident_occured,latitude,longitude,grid,offense_type
20190794953_11,2019-11-01 00:00:00,36.27,-86.68,2610,13A
20190794953_12,2019-11-01 00:00:00,36.27,-86.68,2610,13A
20190794993_11,2019-11-01 00:20:00,36.16,-86.78,1765,13C
20190795049_11,2019-11-01 01:00:00,36.164,-86.755,1960,13B
20190795219_11,2019-11-01 03:00:00,36.154,-86.762,1894,13A
20190795266_11,2019-11-01 04:27:00,36.046,-86.662,2762,13B
20190795274_11,2019-11-01 02:57:00,36.16,-86.78,1765,13B
20190795409_11,2019-11-01 05:50:00,36.18,-86.88,954,13A
20190795499_11,2019-11-01 06:30:00,36.1,-86.82,1425,13C
20190795883_11,2019-11-01 09:45:00,36.12,-86.87,1022,13B
20190795883_12,2019-11-01 09:45:00,36.12,-86.87,1022,13B
20190795917_11,2019-11-01 09:00:00,36.315,-86.696,2432,13B
20190795963_11,2019-11-01 11:25:00,36.082,-86.715,2357,13B
20190796120_11,2019-11-01 00:00:00,36.135,-86.703,2406,13C
20190796125_11,2019-11-01 00:39:00,36.08,-86.72,2299,13C
20190796159_11,2019-11-01 00:58:00,36.251,-86.676,2614,13B
20190796189_11,2019-11-01 00:06:00,36.15,-86.7,2460,13C
20190796235_11,2019-11-01 13:00:00,36.14,-86.67,2690,13C
20190796351_11,2019-11-01 14:17:00,36.176,-86.752,2025,13B
20190796359_11,2019-11-01 14:23:00,36.071,-86.635,2969,13C
20190796381_11,2019-11-01 14:50:00,36.285,-86.789,1619,13B
20190796430_11,2019-11-01 10:00:00,36.2,-86.77,1821,13C
20190796430_12,2019-11-01 10:00:00,36.2,-86.77,1821,13C
20190796538_11,2019-11-01 15:23:00,36.22,-86.59,3220,13B
20190796586_11,2019-11-01 15:00:00,36.13,-86.84,1253,13B
20190796656_11,2019-11-01 17:02:00,36.15,-86.81,1471,13B
20190796795_11,2019-11-01 16:30:00,36.16,-86.78,1765,13B
20190796801_11,2019-11-01 15:30:00,36.021,-86.714,2367,13B
20190796865_11,2019-11-01 18:50:00,36.16,-86.81,1469,13B
20190797027_11,2019-11-01 18:59:00,36.08,-86.72,2299,13B
20190797060_11,2019-11-01 20:20:00,36.05,-86.7,2477,13A
