primary_key,incident_occured,latitude,longitude,grid,offense_type
20120679296_11,2019-07-01 09:08:00,36.129,-86.906,726,13A
20180046896_11,2019-01-17 10:00:00,36.275,-86.819,1394,13C
20180832013_11,2018-10-01 00:25:00,36.129,-86.715,2349,13A
20180832042_11,2018-10-01 00:30:00,36.17,-86.79,1639,13A
20180832042_12,2018-10-01 00:30:00,36.17,-86.79,1639,13A
20180832164_11,2018-10-01 02:00:00,36.113,-86.746,2035,13A
20180832195_11,2018-10-01 02:20:00,36.16,-86.78,1765,13B
20180832325_11,2018-10-01 04:00:00,36.22,-86.804,1515,13A
20180832604_11,2018-10-01 01:00:00,36.221,-86.601,3179,13C
20180832705_11,2018-10-01 08:50:00,36.08,-86.77,1842,13A
20180832794_11,2018-10-01 08:19:00,36.168,-86.76,1892,13B
20180832869_11,2018-10-01 04:44:00,36.213,-86.76,1884,13A
20180832881_11,2018-10-01 08:00:00,36.1,-86.74,2105,13C
20180832894_11,2018-10-01 09:30:00,36.221,-86.601,3179,13C
20180833011_11,2018-10-01 09:30:00,36.04,-86.69,2535,13B
20180833061_11,2018-10-01 09:50:00,36.163,-86.597,3189,13B
20180833071_11,2018-10-01 01:00:00,36.134,-86.71,2348,13B
20180833179_11,2018-10-01 10:47:00,36.17,-86.6,3188,13C
20180833231_11,2018-10-01 10:50:00,36.22,-86.59,3220,13C
20180833233_11,2018-10-01 11:00:00,36.219,-86.751,2017,13B
20180833280_11,2018-10-01 06:00:00,36.167,-86.806,1524,13A
20180833324_11,2018-10-01 11:00:00,36.05,-86.65,2873,13B
20180833383_11,2018-10-01 11:45:00,36.087,-86.937,515,13B
20180833481_11,2018-10-01 13:00:00,36.145,-86.764,1896,13C
20180833719_11,2018-10-01 15:15:00,36.05,-86.68,2648,13B
20180833821_11,2018-10-01 16:00:00,36.2,-86.69,2507,13B
20180833956_11,2018-10-01 15:30:00,36.18,-86.82,1411,13C
20180833956_12,2018-10-01 15:30:00,36.18,-86.82,1411,13C
20180833999_11,2018-10-01 17:00:00,36.206,-86.586,3258,13B
