primary_key,incident_occured,latitude,longitude,grid,offense_type
20160008123_11,2017-01-03 19:57:00,36.15,-86.76,1895,13A
20160786316_11,2016-09-01 00:00:00,36.053,-86.657,2817,13B
20160786445_11,2016-09-01 03:40:00,36.084,-86.606,3159,13B
20160786558_11,2016-09-01 02:30:00,36.254,-86.773,1812,13B
20160786633_11,2016-09-01 02:36:00,36.151,-86.804,1527,13C
20160786746_31,2016-09-01 03:20:00,36.144,-86.862,1077,13B
20160786956_11,2016-09-01 05:45:00,36.079,-86.709,2357,13B
20160787351_11,2016-09-01 08:30:00,36.221,-86.808,1515,13B
20160787599_11,2016-09-01 10:00:00,36.16,-86.82,1414,13B
20160787699_11,2016-09-01 10:17:00,36.225,-86.744,2083,13B
20160787783_11,2016-09-01 11:15:00,36.215,-86.753,1951,13B
20160788048_11,2016-09-01 10:00:00,36.319,-86.713,2316,13B
20160788071_11,2016-09-01 13:30:00,36.263,-86.696,2441,13C
20160788115_11,2016-09-01 13:40:00,36.16,-86.84,1248,13B
20160788115_12,2016-09-01 13:40:00,36.16,-86.84,1248,13B
20160788151_11,2016-09-01 14:00:00,36.25,-86.64,2889,13C
20160788216_11,2016-09-01 14:20:00,36.056,-86.657,2816,13B
20160788216_12,2016-09-01 14:20:00,36.056,-86.657,2816,13B
20160788239_11,2016-09-01 14:20:00,36.04,-86.96,386,13B
20160788407_11,2016-09-01 11:00:00,36.155,-86.674,2630,13B
20160788547_11,2016-09-01 15:00:00,36.244,-86.756,1946,13C
20160788654_11,2016-09-01 16:52:00,36.045,-86.719,2305,13C
20160788664_11,2016-09-01 17:00:00,36.188,-86.798,1576,13B
20160788722_11,2016-09-01 17:14:00,36.231,-86.795,1628,13B
20160788762_11,2016-09-01 17:38:00,36.192,-86.828,1354,13B
20160788769_11,2016-09-01 15:07:00,36.18,-86.65,2851,13B
20160788780_11,2016-09-01 17:30:00,36.108,-86.813,1478,13C
20160788832_22,2016-09-01 18:00:00,36.21,-86.6,3181,13B
20160788846_11,2016-09-01 17:15:00,36.04,-86.958,386,13C
20160788860_11,2016-09-01 18:11:00,36.15,-86.69,2516,13A
20160788907_11,2016-09-01 18:32:00,36.17,-86.76,1892,13B
20160788907_12,2016-09-01 18:32:00,36.17,-86.76,1892,13B
20160788925_11,2016-09-01 18:30:00,36.174,-86.796,1579,13C
20160788927_11,2016-09-01 18:30:00,36.035,-86.592,3252,13A
20160788930_11,2016-09-01 18:00:00,36.08,-86.73,2239,13B
20160788958_22,2016-09-01 17:45:00,36.192,-86.773,1823,13C
20160789044_11,2016-09-01 18:00:00,36.183,-86.802,1577,13B
20160789081_11,2016-09-01 19:30:00,36.141,-86.781,1706,13C
20160789117_11,2016-09-01 18:50:00,36.228,-86.796,1570,13B
20160789186_11,2016-09-01 19:00:00,36.18,-86.803,1522,13A
20160789191_11,2016-09-01 14:36:00,36.16,-86.861,1074,13B
20160789234_11,2016-09-01 20:16:00,36.263,-86.776,1748,13B
20160789277_21,2016-09-01 17:30:00,36.082,-86.587,3244,13B
20160789287_11,2016-09-01 20:40:00,36.15,-86.77,1830,13A
20160789336_11,2016-09-01 20:40:00,36.17,-86.76,1892,13B
20160789353_11,2016-09-01 20:55:00,36.144,-86.862,1077,13B
20160789357_11,2016-09-01 19:10:00,36.17,-86.77,1827,13B
20160789414_11,2016-09-01 21:10:00,36.17,-86.82,1413,13C
20160789421_11,2016-09-01 21:24:00,36.201,-86.824,1352,13B
20160789440_11,2016-09-01 20:47:00,36.17,-86.81,1468,13C
20160789461_11,2016-09-01 21:30:00,36.08,-86.639,2918,13C
20160789510_11,2016-09-01 22:00:00,36.16,-86.79,1640,13B
20160789625_11,2016-09-01 20:00:00,36.3,-86.7,2434,13C
20160789626_11,2016-09-01 22:00:00,36.208,-86.768,1820,13B
20160789731_11,2016-09-01 23:30:00,36.187,-86.727,2221,13B
20160790023_11,2016-09-02 00:10:00,36.261,-86.713,2326,13B
20160790216_11,2016-09-02 02:30:00,36.17,-86.76,1892,13B
20160790255_11,2016-09-02 02:32:00,36.072,-86.666,2701,13B
20160790393_11,2016-09-02 04:30:00,36.142,-86.781,1705,13C
20160790544_11,2016-09-02 04:00:00,36.14,-86.7,2462,13B
20160790624_11,2016-09-02 06:35:00,36.152,-86.761,1895,13A
20160790784_11,2016-09-02 07:45:00,36.232,-86.751,2015,13C
20160790899_11,2016-09-02 06:00:00,36.17,-86.86,1073,13A
20160791091_11,2016-09-02 09:30:00,36.094,-86.641,2916,13B
20160791159_11,2016-09-02 10:38:00,36.179,-86.836,1301,13A
20160791184_11,2016-09-02 08:30:00,36.301,-86.701,2434,13B
20160791320_11,2016-09-02 11:30:00,36.137,-86.801,1585,13B
20160791320_12,2016-09-02 11:30:00,36.137,-86.801,1585,13B
20160791323_11,2016-09-02 11:30:00,36.164,-86.758,1960,13B
20160791354_11,2016-09-02 12:00:00,36.257,-86.714,2327,13A
20160791515_11,2016-09-02 13:30:00,36.18,-86.81,1466,13C
20160791650_11,2016-09-02 13:30:00,36.129,-86.707,2407,13B
20160791743_11,2016-09-02 15:00:00,36.141,-86.787,1706,13B
