primary_key,incident_occured,latitude,longitude,grid,offense_type
20170775227_11,2017-09-01 02:32:00,36.254,-86.775,1749,13B
20170775681_11,2017-09-01 03:28:00,36.082,-86.61,3112,13B
20170775713_11,2017-09-01 03:35:00,36.219,-86.817,1404,13A
20170776032_11,2017-09-01 05:30:00,36.21,-86.78,1757,13C
20170776032_12,2017-09-01 05:30:00,36.21,-86.78,1757,13C
20170776041_11,2017-09-01 07:02:00,36.133,-86.723,2290,13B
20170776041_12,2017-09-01 07:02:00,36.133,-86.723,2290,13B
20170776078_11,2017-09-01 07:00:00,36.18,-86.77,1825,13B
20170776333_11,2017-09-01 09:30:00,36.175,-86.816,1467,13B
20170776512_11,2017-09-01 10:12:00,36.15,-86.77,1830,13A
20170776530_11,2017-09-01 10:15:00,36.09,-86.74,2106,13B
20170776571_11,2017-09-01 10:30:00,36.074,-86.719,2300,13A
20170776571_12,2017-09-01 10:30:00,36.074,-86.719,2300,13A
20170776585_11,2017-09-01 10:00:00,36.23,-86.79,1628,13C
20170776711_11,2017-09-01 08:00:00,36.237,-86.775,1752,13C
20170776726_11,2017-09-01 11:34:00,36.234,-86.795,1628,13B
20170776734_11,2017-09-01 11:30:00,36.151,-86.758,1962,13A
20170776734_12,2017-09-01 11:30:00,36.151,-86.758,1962,13A
20170776734_13,2017-09-01 11:30:00,36.151,-86.758,1962,13A
20170776909_22,2017-09-01 12:50:00,36.063,-86.629,3018,13B
20170776989_11,2017-09-01 13:00:00,36.19,-86.82,1409,13C
20170777083_22,2017-09-01 13:15:00,36.21,-86.69,2506,13B
20170777174_41,2017-09-01 15:00:00,36.265,-86.665,2724,13A
20170777174_42,2017-09-01 15:00:00,36.265,-86.665,2724,13A
20170777188_11,2017-09-01 15:00:00,36.088,-86.942,468,13A
20170777268_11,2017-09-01 15:30:00,36.171,-86.783,1700,13C
20170777311_11,2017-09-01 15:45:00,36.221,-86.769,1818,13B
20170777427_11,2017-09-01 18:50:00,36.18,-86.82,1411,13A
20170777446_11,2017-09-01 16:00:00,36.079,-86.611,3112,13C
20170777469_11,2017-09-01 17:11:00,36.036,-86.777,1787,13B
20170777612_11,2017-09-01 18:22:00,36.14,-86.74,2098,13B
20170777629_21,2017-09-01 18:30:00,36.11,-86.81,1478,13B
20170777656_11,2017-09-01 18:50:00,36.19,-86.75,2022,13B
20170777689_11,2017-09-01 19:45:00,36.069,-86.73,2241,13B
20170777713_11,2017-09-01 19:30:00,36.13,-86.71,2348,13A
20170777780_11,2017-09-01 22:51:00,36.172,-86.812,1467,13C
20170777784_11,2017-09-01 20:07:00,36.18,-86.65,2851,13A
20170777784_13,2017-09-01 20:07:00,36.18,-86.65,2851,13A
20170778097_11,2017-09-01 22:19:00,35.99,-86.676,2659,13B
20170778153_11,2017-09-01 22:00:00,36.218,-86.811,1459,13A
20170778170_11,2017-09-01 22:35:00,36.156,-86.799,1582,13B
20170778339_13,2017-09-01 23:54:00,36.065,-86.686,2588,13A
20170778490_11,2017-09-02 00:44:00,36.16,-86.78,1765,13B
20170778531_21,2017-09-01 21:30:00,36.098,-86.667,2697,13C
20170778636_11,2017-09-02 01:00:00,36.076,-86.671,2701,13B
20170778869_11,2017-09-02 02:45:00,36.16,-86.77,1828,13B
20170779009_11,2017-09-02 03:30:00,36.13,-86.91,725,13C
20170779226_11,2017-09-02 04:00:00,36.251,-86.742,2079,13B
20170779321_11,2017-09-02 05:00:00,36.073,-86.921,617,13B
20170779390_11,2017-09-02 01:30:00,36.203,-86.829,1352,13A
20170779533_11,2017-09-02 09:45:00,36.15,-86.7,2460,13B
20170779571_11,2017-09-02 10:18:00,36.13,-86.71,2348,13C
20170779652_11,2017-09-02 08:00:00,36.142,-86.804,1528,13B
20170779692_11,2017-09-02 11:13:00,36.151,-86.756,1962,13B
20170779692_12,2017-09-02 11:13:00,36.151,-86.756,1962,13B
20170779753_11,2017-09-01 20:00:00,36.207,-86.779,1757,13B
20170779785_11,2017-09-02 11:30:00,36.256,-86.65,2838,13B
20170779785_12,2017-09-02 11:30:00,36.256,-86.65,2838,13B
20170779861_11,2017-09-02 14:00:00,36.23,-86.8,1569,13A
20170779869_11,2017-09-02 13:40:00,36.262,-86.712,2326,13B
20170779927_11,2017-09-02 14:44:00,36.12,-86.71,2350,13A
20170779948_11,2017-09-01 22:00:00,36.166,-86.676,2628,13B
20170780000_11,2017-09-01 21:00:00,36.169,-86.759,1959,13C
20170780087_11,2017-09-02 18:39:00,36.226,-86.818,1403,13C
20170780103_11,2017-09-01 09:00:00,36.3,-86.7,2434,13B
20170780109_11,2017-09-02 16:29:00,36.189,-86.833,1299,13B
20170780172_11,2017-09-01 18:04:00,36.162,-86.823,1414,13B
20170780204_11,2017-09-02 17:30:00,36.16,-86.82,1414,13A
20170780207_11,2017-09-02 16:00:00,36.162,-86.772,1828,13A
20170780212_11,2017-09-02 17:20:00,36.157,-86.786,1703,13B
20170780230_11,2017-09-02 17:35:00,36.06,-86.63,2971,13B
20170780286_11,2017-09-02 17:20:00,36.174,-86.602,3144,13B
20170780311_11,2017-09-02 18:15:00,36.21,-86.77,1820,13A
20170780311_12,2017-09-02 18:15:00,36.21,-86.77,1820,13A
20170780319_11,2017-09-02 18:20:00,36.17,-86.765,1892,13C
20170780385_11,2017-09-02 19:00:00,36.18,-86.8,1578,13B
20170780415_11,2017-09-02 19:16:00,36.22,-86.74,2084,13B
20170780437_11,2017-09-02 19:30:00,36.197,-86.626,2995,13C
20170780574_11,2017-09-02 19:00:00,36.235,-86.766,1880,13C
20170780588_11,2017-09-02 21:00:00,36.182,-86.808,1522,13B
20170780588_12,2017-09-02 21:00:00,36.182,-86.808,1522,13B
