primary_key,incident_occured,latitude,longitude,grid,offense_type
20190249351_11,2019-04-01 00:20:00,36.18,-86.75,2024,13B
20190249465_11,2019-04-01 00:40:00,36.16,-86.79,1640,13B
20190249717_11,2019-04-01 03:09:00,36.214,-86.764,1884,13B
20190249755_11,2019-04-01 03:30:00,36.17,-86.76,1892,13A
20190249755_12,2019-04-01 03:30:00,36.17,-86.76,1892,13A
20190249806_11,2019-04-01 04:00:00,36.176,-86.804,1523,13B
20190250013_11,2019-04-01 05:20:00,36.16,-86.73,2225,13B
20190250013_12,2019-04-01 05:20:00,36.16,-86.73,2225,13B
20190250118_11,2019-04-01 06:08:00,36.207,-86.781,1694,13B
20190250445_11,2019-04-01 08:30:00,36.16,-86.78,1765,13C
20190250533_11,2019-04-01 09:41:00,36.08,-86.61,3112,13C
20190250561_11,2019-04-01 10:00:00,36.177,-86.815,1466,13B
20190250593_11,2019-04-01 10:19:00,36.15,-86.76,1895,13A
20190250593_13,2019-04-01 10:19:00,36.15,-86.76,1895,13A
20190250946_11,2019-04-01 10:00:00,36.178,-86.815,1466,13B
20190251057_11,2019-04-01 13:30:00,36.08,-86.7,2472,13C
20190251246_11,2019-04-01 13:45:00,36.1,-86.67,2697,13C
20190251271_11,2019-04-01 08:43:00,36.25,-86.68,2614,13C
20190251308_11,2019-04-01 15:20:00,36.25,-86.71,2328,13B
20190251401_11,2019-04-01 15:38:00,36.223,-86.817,1403,13C
20190251467_11,2019-04-01 16:30:00,36.21,-86.844,1240,13B
20190251494_11,2019-04-01 16:00:00,36.249,-86.714,2328,13B
20190251566_11,2019-04-01 16:34:00,36.05,-86.66,2761,13B
20190251580_11,2019-04-01 17:54:00,36.161,-86.814,1469,13A
20190251627_11,2019-04-01 16:00:00,36.249,-86.713,2328,13B
20190251637_11,2019-04-01 18:00:00,36.249,-86.714,2328,13C
20190251637_12,2019-04-01 18:00:00,36.249,-86.714,2328,13C
20190251712_11,2019-04-01 18:22:00,36.1,-86.72,2296,13C
20190251712_12,2019-04-01 18:22:00,36.1,-86.72,2296,13C
20190251712_13,2019-04-01 18:22:00,36.1,-86.72,2296,13C
20190251712_14,2019-04-01 18:22:00,36.1,-86.72,2296,13C
20190251752_11,2019-04-01 19:21:00,36.21,-86.61,3090,13B
20190251850_11,2019-04-01 16:15:00,36.15,-86.72,2287,13C
20190252033_11,2019-04-01 21:31:00,36.26,-86.77,1811,13B
20190252047_11,2019-04-01 18:00:00,36.17,-86.765,1892,13C
20190252105_11,2019-04-01 22:30:00,36.166,-86.798,1580,13B
20190252112_11,2019-04-01 21:52:00,36.105,-86.701,2468,13A
20190252113_11,2019-04-01 22:00:00,36.274,-86.672,2667,13A
20190252137_11,2019-04-01 23:00:00,36.15,-86.81,1471,13C
20190252154_11,2019-04-01 22:00:00,36.043,-86.641,2924,13B
20190252165_11,2019-04-01 23:05:00,36.16,-86.78,1765,13B
20190252191_11,2019-04-01 22:40:00,36.21,-86.631,2945,13B
20190252217_11,2019-04-01 21:30:00,36.069,-86.641,2920,13B
20190252251_11,2019-04-01 23:30:00,36.16,-86.81,1469,13B
20190252257_11,2019-04-01 23:40:00,36.16,-86.778,1765,13B
20190252257_12,2019-04-01 23:40:00,36.16,-86.778,1765,13B
20190252329_11,2019-04-01 23:30:00,36.14,-86.83,1363,13B
20190252383_11,2019-04-02 00:27:00,36.102,-86.606,3156,13B
20190252596_11,2019-04-02 01:50:00,36.263,-86.707,2384,13A
20190252624_11,2019-04-02 01:30:00,36.173,-86.601,3187,13B
20190252627_11,2019-04-02 00:27:00,36.1,-86.61,3109,13B
20190252635_11,2019-04-02 00:00:00,36.182,-86.812,1466,13B
20190252636_11,2019-04-02 02:10:00,36.157,-86.787,1703,13A
20190252749_11,2019-04-02 03:00:00,36.13,-86.71,2348,13B
20190252794_11,2019-04-02 02:30:00,36.26,-86.7,2441,13C
20190253174_11,2019-04-02 07:15:00,36.2,-86.73,2218,13B
20190253204_11,2019-04-02 07:26:00,36.24,-86.75,2013,13A
20190253208_11,2019-04-02 07:20:00,36.075,-86.928,566,13A
20190253233_12,2019-04-02 07:39:00,36.136,-86.789,1644,13C
20190253273_11,2019-04-02 07:30:00,36.275,-86.819,1394,13B
20190253273_12,2019-04-02 07:30:00,36.275,-86.819,1394,13B
20190253300_11,2019-04-02 08:10:00,36.16,-86.84,1248,13C
20190253330_11,2019-04-02 08:23:00,36.206,-86.586,3258,13B
20190253416_11,2019-04-01 16:00:00,36.304,-86.69,2489,13C
20190253449_11,2019-04-02 08:36:00,36.17,-86.765,1892,13C
20190253524_11,2019-04-02 09:40:00,36.06,-86.64,2922,13A
20190253532_11,2019-04-02 09:56:00,36.309,-86.772,1803,13A
20190253541_11,2019-04-02 09:30:00,36.17,-86.79,1639,13C
20190253541_12,2019-04-02 09:30:00,36.17,-86.79,1639,13C
20190253631_11,2019-04-01 16:00:00,36.12,-86.7,2465,13A
20190253658_11,2019-04-02 10:15:00,36.17,-86.8,1580,13B
20190253752_11,2019-04-02 11:30:00,36.265,-86.711,2325,13A
20190253752_12,2019-04-02 11:30:00,36.265,-86.711,2325,13A
20190253781_11,2019-04-02 11:45:00,36.3,-86.71,2319,13A
20190253806_11,2019-04-02 11:45:00,36.087,-86.704,2414,13B
20190253848_11,2019-04-02 00:14:00,36.13,-86.78,1770,13C
20190253853_11,2019-04-01 15:10:00,36.193,-86.727,2220,13B
20190253853_12,2019-04-01 15:10:00,36.193,-86.727,2220,13B
20190253928_11,2019-04-02 00:30:00,36.197,-86.763,1887,13B
20190253930_11,2019-04-02 00:30:00,36.09,-86.61,3110,13A
20190253942_11,2019-04-02 00:50:00,36.18,-86.681,2568,13A
20190253976_11,2019-04-02 13:00:00,36.14,-86.67,2690,13B
20190253990_11,2019-04-02 10:55:00,36.2,-86.83,1352,13D
20190254257_11,2019-04-02 14:30:00,36.16,-86.8,1581,13B
20190254262_11,2019-04-02 14:30:00,36.11,-86.8,1590,13B
20190254313_11,2019-04-02 14:37:00,36.28,-86.72,2265,13A
20190254324_11,2019-04-02 15:46:00,36.19,-86.63,2948,13C
20190254390_11,2019-04-02 16:15:00,36.186,-86.745,2023,13B
20190254434_11,2019-04-02 16:00:00,36.2,-86.73,2218,13B
20190254465_11,2019-04-02 16:40:00,36.166,-86.781,1701,13A
20190254582_11,2019-04-02 18:43:00,36.176,-86.608,3144,13B
20190254595_22,2019-04-02 17:50:00,36.2,-86.69,2507,13B
20190254639_11,2019-04-02 17:30:00,36.074,-86.941,470,13B
20190254743_11,2019-04-02 18:28:00,36.25,-86.78,1750,13C
20190254832_11,2019-04-01 20:30:00,36.18,-86.65,2851,13B
20190254908_32,2019-04-02 21:00:00,36.18,-86.59,3227,13A
20190255073_11,2019-04-02 23:05:00,36.192,-86.767,1823,13B
20190255085_11,2019-04-02 23:00:00,36.253,-86.717,2269,13B
20190255111_11,2019-04-02 23:05:00,36.18,-86.8,1578,13A
20190255208_11,2019-04-02 22:30:00,36.193,-86.727,2220,13A
20190255458_11,2019-04-02 23:56:00,36.165,-86.679,2628,13B
20190255496_11,2019-04-01 19:00:00,36.08,-86.96,379,13A
20190255603_11,2019-04-03 02:01:00,36.199,-86.77,1822,13A
20190255695_11,2019-04-02 22:00:00,36.11,-86.73,2234,13C
20190255717_11,2019-04-03 02:50:00,36.129,-86.707,2407,13A
20190256102_11,2019-04-03 05:44:00,36.067,-86.958,381,13B
20190256253_11,2019-04-03 06:30:00,36.201,-86.765,1886,13B
20190256573_11,2019-04-03 09:22:00,36.247,-86.773,1813,13B
20190256585_11,2019-04-01 00:00:00,36.256,-86.7,2442,13C
20190256623_11,2019-04-02 09:00:00,36.05,-86.64,2923,13B
20190256831_11,2019-04-03 11:19:00,36.17,-86.8,1580,13A
20190256914_11,2019-04-03 11:45:00,36.205,-86.761,1886,13A
20190256914_12,2019-04-03 11:45:00,36.205,-86.761,1886,13A
20190257054_11,2019-04-03 00:52:00,36.139,-86.79,1644,13B
20190257067_11,2019-04-03 00:50:00,36.088,-86.724,2238,13B
20190257114_11,2019-04-03 00:55:00,36.09,-86.61,3110,13C
20190257434_11,2019-04-03 15:15:00,36.152,-86.798,1583,13A
20190257440_11,2019-04-03 16:39:00,36.129,-86.707,2407,13B
20190257481_11,2019-04-03 15:35:00,36.12,-86.71,2350,13B
20190257481_22,2019-04-03 15:35:00,36.12,-86.71,2350,13C
20190257481_23,2019-04-03 15:35:00,36.12,-86.71,2350,13C
20190257530_11,2019-04-03 14:40:00,36.17,-86.8,1580,13A
20190257530_12,2019-04-03 14:40:00,36.17,-86.8,1580,13A
20190257532_11,2019-04-03 01:00:00,36.214,-86.763,1884,13B
20190257536_11,2019-04-01 14:45:00,36.16,-86.856,1133,13A
20190257598_11,2019-04-03 16:00:00,36.17,-86.6,3188,13C
20190257685_11,2019-04-03 17:15:00,36.164,-86.778,1765,13B
20190257688_11,2019-04-01 03:00:00,36.16,-86.77,1828,13B
20190257704_11,2019-04-03 17:40:00,36.226,-86.828,1348,13A
20190257728_11,2019-04-02 17:45:00,36.248,-86.68,2614,13B
20190257857_11,2019-04-03 19:04:00,36.221,-86.811,1459,13B
20190257861_22,2019-04-03 19:10:00,36.263,-86.712,2326,13C
20190257861_23,2019-04-03 19:10:00,36.263,-86.712,2326,13C
20190257861_24,2019-04-03 19:10:00,36.263,-86.712,2326,13C
20190257870_11,2019-04-03 20:12:00,36.161,-86.813,1469,13B
20190257881_11,2019-04-03 15:00:00,36.039,-86.672,2707,13C
20190257892_11,2019-04-03 19:20:00,36.183,-86.725,2221,13B
20190257900_11,2019-04-03 19:23:00,36.18,-86.81,1466,13A
20190257900_12,2019-04-03 19:23:00,36.18,-86.81,1466,13A
20190258179_11,2019-04-03 22:00:00,36.09,-86.688,2526,13B
20190258181_11,2019-04-03 21:00:00,36.193,-86.838,1299,13B
20190258200_11,2019-04-03 22:42:00,36.16,-86.77,1828,13B
20190258229_11,2019-04-03 22:40:00,36.111,-86.724,2234,13B
20190258232_11,2019-04-03 20:00:00,36.27,-86.72,2266,13C
20190258255_11,2019-04-03 23:05:00,36.158,-86.792,1641,13B
20190258345_11,2019-04-03 21:00:00,36.17,-86.83,1358,13B
20190258352_11,2019-04-03 23:39:00,36.148,-86.759,1962,13C
20190258479_11,2019-04-04 00:47:00,36.166,-86.802,1580,13B
20190258534_11,2019-04-04 00:28:00,36.151,-86.633,2955,13C
20190258591_11,2019-04-04 01:30:00,36.235,-86.766,1880,13A
20190258595_11,2019-04-04 01:47:00,36.148,-86.759,1962,13C
20190258602_11,2019-04-04 00:30:00,36.15,-86.63,2955,13A
20190258604_11,2019-04-04 00:30:00,36.071,-86.606,3162,13A
20190258671_11,2019-04-03 19:30:00,36.071,-86.737,2176,13B
20190258698_11,2019-04-04 02:40:00,36.11,-86.75,2036,13A
20190258757_11,2019-04-04 02:53:00,36.08,-86.64,2918,13B
20190259131_11,2019-04-04 06:10:00,36.058,-86.738,2112,13B
20190259131_12,2019-04-04 06:10:00,36.058,-86.738,2112,13B
20190259266_11,2019-04-04 07:00:00,36.11,-86.72,2294,13A
20190259381_11,2019-04-04 08:25:00,36.13,-86.78,1770,13B
20190259588_11,2019-04-04 10:00:00,36.206,-86.588,3222,13B
20190259655_11,2019-04-04 10:00:00,36.22,-86.59,3220,13C
20190259689_11,2019-04-03 20:30:00,36.09,-86.65,2866,13B
20190259740_11,2019-04-04 11:20:00,36.18,-86.81,1466,13C
20190259825_11,2019-04-04 00:00:00,36.14,-86.75,2031,13C
20190259825_12,2019-04-04 00:00:00,36.14,-86.75,2031,13C
20190259895_11,2019-04-04 06:00:00,36.082,-86.716,2357,13C
20190259964_11,2019-04-04 10:00:00,36.219,-86.751,2017,13C
20190260044_11,2019-04-04 11:30:00,36.176,-86.796,1579,13B
20190260049_11,2019-04-04 13:11:00,36.08,-86.72,2299,13C
20190260106_11,2019-04-04 14:05:00,36.2,-86.744,2087,13B
20190260128_11,2019-04-04 14:21:00,36.05,-86.61,3117,13B
20190260130_21,2019-04-04 14:00:00,36.21,-86.59,3222,13C
20190260229_11,2019-04-04 00:00:00,36.265,-86.746,2009,13C
20190260269_11,2019-04-04 15:00:00,36.255,-86.651,2838,13B
20190260350_11,2019-04-04 15:30:00,36.078,-86.617,3064,13B
20190260535_11,2019-04-04 17:25:00,36.05,-86.62,3069,13A
20190260563_11,2019-04-04 16:52:00,36.164,-86.804,1525,13B
20190260642_11,2019-04-04 18:36:00,36.142,-86.784,1705,13B
20190260649_11,2019-04-04 18:40:00,36.282,-86.707,2380,13B
20190260667_11,2019-04-04 18:24:00,36.07,-86.96,381,13C
20190260670_11,2019-04-04 18:55:00,36.19,-86.83,1354,13B
20190260670_12,2019-04-04 18:55:00,36.19,-86.83,1354,13B
20190260682_11,2019-04-02 08:00:00,36.11,-86.8,1590,13B
20190260683_11,2019-04-03 22:15:00,36.16,-86.78,1765,13B
20190260685_11,2019-04-04 17:07:00,36.148,-86.759,1962,13B
20190260785_11,2019-04-04 17:19:00,36.149,-86.758,1962,13C
20190260817_11,2019-04-04 20:00:00,36.11,-86.75,2036,13B
20190260844_11,2019-04-04 17:00:00,36.14,-86.78,1769,13B
20190260908_11,2019-04-04 19:50:00,36.269,-86.708,2382,13C
20190260926_11,2019-04-04 18:53:00,36.056,-86.722,2303,13C
20190260953_11,2019-04-04 21:10:00,36.18,-86.76,1890,13B
20190260963_11,2019-04-04 10:00:00,36.178,-86.769,1825,13C
20190260977_11,2019-04-03 16:20:00,36.19,-86.82,1409,13C
20190261092_11,2019-04-04 22:55:00,36.08,-86.95,423,13A
20190261092_12,2019-04-04 22:55:00,36.08,-86.95,423,13A
20190261146_11,2019-04-01 17:30:00,36.269,-86.667,2667,13B
20190261148_21,2019-04-01 17:30:00,36.274,-86.672,2667,13C
20190261166_11,2019-04-04 23:20:00,36.162,-86.78,1765,13B
20190261174_11,2019-04-04 23:33:00,36.16,-86.78,1765,13B
20190261258_11,2019-04-05 00:05:00,36.053,-86.657,2817,13B
20190261290_11,2019-04-04 22:00:00,36.28,-86.72,2265,13B
20190261327_11,2019-04-05 00:30:00,36.148,-86.759,1962,13B
