primary_key,incident_occured,latitude,longitude,grid,offense_type
20170733955_11,2018-08-27 00:27:00,36.164,-86.815,1469,13C
20180661742_11,2018-08-02 00:00:00,36.21,-86.77,1820,13B
20180661758_11,2018-08-02 00:45:00,36.2,-86.79,1633,13A
20180661765_11,2018-08-02 00:45:00,36.061,-86.639,2921,13A
20180661842_11,2018-08-02 01:35:00,36.209,-86.634,2945,13A
20180661879_11,2018-08-02 02:00:00,36.161,-86.843,1248,13B
20180661926_11,2018-08-02 02:00:00,36.161,-86.775,1765,13B
20180661929_11,2018-08-02 02:27:00,36.13,-86.78,1770,13B
20180662100_11,2018-08-02 04:06:00,36.139,-86.783,1706,13C
20180662239_11,2018-08-02 04:25:00,36.17,-86.81,1468,13B
20180662352_11,2018-08-02 06:09:00,36.21,-86.78,1757,13C
20180662377_11,2018-08-02 07:09:00,36.266,-86.684,2553,13B
20180662401_11,2018-08-02 06:58:00,36.144,-86.697,2461,13A
20180662727_11,2018-08-02 09:25:00,36.07,-86.72,2301,13C
20180662826_11,2018-08-02 10:00:00,36.16,-86.77,1828,13A
20180662927_11,2018-08-02 11:00:00,36.178,-86.814,1466,13B
20180662927_13,2018-08-02 11:00:00,36.178,-86.814,1466,13B
20180662975_11,2018-08-02 11:19:00,36.166,-86.781,1701,13C
20180663177_11,2018-08-02 00:45:00,36.144,-86.643,2907,13A
20180663177_12,2018-08-02 00:45:00,36.144,-86.643,2907,13A
20180663208_11,2018-08-02 13:00:00,36.215,-86.73,2216,13B
20180663237_12,2018-08-02 14:00:00,36.17,-86.78,1764,13C
20180663237_13,2018-08-02 14:00:00,36.17,-86.78,1764,13C
20180663267_11,2018-08-02 13:30:00,36.153,-86.778,1767,13B
20180663300_11,2018-08-02 13:00:00,36.225,-86.744,2083,13C
20180663493_11,2018-08-02 14:30:00,36.11,-86.78,1774,13C
20180663522_11,2018-08-02 14:51:00,36.152,-86.765,1895,13B
20180663553_11,2018-08-02 15:21:00,36.051,-86.734,2179,13C
20180663584_11,2018-08-02 16:20:00,36.22,-86.83,1349,13C
20180663615_11,2018-08-02 00:00:00,36.081,-86.69,2528,13B
20180663694_11,2018-08-02 18:20:00,36.17,-86.76,1892,13B
20180663703_13,2018-08-02 13:21:00,36.168,-86.778,1764,13C
20180663705_11,2018-08-02 16:00:00,36.077,-86.737,2175,13C
20180663808_11,2018-08-02 19:42:00,36.124,-86.7,2464,13B
20180663813_11,2018-08-02 17:42:00,36.27,-86.71,2324,13A
20180664000_11,2018-08-02 19:02:00,36.05,-86.66,2761,13A
20180664030_11,2018-08-02 19:00:00,36.13,-86.76,1898,13B
20180664030_12,2018-08-02 19:00:00,36.13,-86.76,1898,13B
20180664083_11,2018-08-02 18:39:00,36.233,-86.776,1753,13A
20180664245_11,2018-08-02 20:30:00,36.074,-86.928,566,13B
20180664365_12,2018-08-02 21:04:00,36.157,-86.836,1305,13A
20180664436_11,2018-08-02 21:26:00,36.219,-86.603,3136,13B
20180664491_11,2018-08-02 21:50:00,36.19,-86.64,2899,13B
20180664491_12,2018-08-02 21:50:00,36.19,-86.64,2899,13B
20180664548_11,2018-08-02 22:17:00,36.06,-86.69,2532,13B
20180664562_11,2018-08-02 22:41:00,36.09,-86.69,2526,13A
20180664568_11,2018-08-02 22:46:00,36.16,-86.836,1304,13B
20180664668_11,2018-08-02 21:00:00,36.06,-86.74,2112,13C
20180664687_11,2018-08-02 23:40:00,36.21,-86.77,1820,13B
20180664852_11,2018-08-03 01:15:00,36.13,-86.91,725,13B
20180664852_12,2018-08-03 01:15:00,36.13,-86.91,725,13B
20180664862_11,2018-08-03 01:00:00,36.042,-86.718,2306,13A
20180665007_11,2018-08-03 02:45:00,36.16,-86.77,1828,13B
20180665407_11,2018-08-03 07:24:00,36.168,-86.809,1524,13B
20180665532_11,2018-08-03 08:00:00,36.14,-86.67,2690,13B
20180665563_11,2018-08-03 08:00:00,36.176,-86.793,1638,13B
20180665693_11,2018-08-03 08:48:00,36.078,-86.912,675,13B
20180665701_12,2018-08-02 00:00:00,36.09,-86.65,2866,13A
20180665733_11,2018-08-03 09:50:00,36.04,-86.58,3287,13A
20180665848_11,2018-08-02 15:00:00,36.11,-86.76,1902,13C
20180665965_11,2018-08-03 11:30:00,36.17,-86.76,1892,13C
20180665978_11,2018-08-03 08:00:00,36.15,-86.79,1642,13C
20180665986_11,2018-08-03 11:30:00,36.127,-86.711,2349,13A
20180666044_11,2018-08-03 00:10:00,36.045,-86.61,3118,13B
20180666044_12,2018-08-03 00:10:00,36.045,-86.61,3118,13B
20180666170_11,2018-08-03 11:24:00,36.124,-86.849,1197,13C
20180666240_11,2018-08-03 13:00:00,36.04,-86.66,2763,13C
20180666286_11,2018-08-03 13:27:00,36.14,-86.77,1832,13C
20180666362_11,2018-08-02 10:00:00,36.261,-86.682,2554,13C
20180666439_11,2018-08-03 14:45:00,36.09,-86.7,2470,13A
20180666536_22,2018-08-03 16:02:00,36.209,-86.633,2945,13B
20180666604_11,2018-08-03 13:30:00,36.19,-86.81,1464,13A
20180666604_12,2018-08-03 13:30:00,36.19,-86.81,1464,13A
20180666621_11,2018-08-03 16:30:00,36.25,-86.64,2889,13B
20180666636_11,2018-08-02 06:00:00,36.14,-86.75,2031,13C
20180666653_11,2018-08-02 13:25:00,36.13,-86.78,1770,13C
20180666665_11,2018-08-03 15:58:00,36.079,-86.745,2041,13B
20180666695_11,2018-08-03 17:05:00,36.181,-86.815,1466,13B
20180666696_11,2018-08-03 17:00:00,36.168,-86.779,1764,13C
20180666833_11,2018-08-03 17:30:00,36.036,-86.675,2651,13B
20180667126_11,2018-08-03 19:50:00,36.153,-86.724,2227,13B
20180667142_11,2018-08-03 19:52:00,36.226,-86.828,1348,13B
20180667176_11,2018-08-03 20:00:00,36.069,-86.73,2241,13C
20180667213_11,2018-08-02 18:00:00,36.26,-86.66,2725,13C
20180667361_11,2018-08-03 18:48:00,36.18,-86.8,1578,13B
20180667445_11,2018-08-03 13:05:00,36.14,-86.88,961,13C
20180667489_11,2018-08-03 22:00:00,36.161,-86.776,1765,13B
20180667506_11,2018-08-03 21:00:00,36.192,-86.743,2089,13B
20180667520_11,2018-08-03 22:14:00,36.17,-86.78,1764,13C
20180667570_11,2018-08-03 21:50:00,36.089,-86.896,792,13C
20180667571_11,2018-08-03 22:50:00,36.041,-86.779,1786,13B
20180667614_11,2018-08-03 21:25:00,36.161,-86.841,1248,13B
20180667723_11,2018-08-04 00:10:00,36.17,-86.81,1468,13A
20180667746_11,2018-08-04 00:24:00,36.162,-86.774,1765,13B
20180667746_12,2018-08-04 00:24:00,36.162,-86.774,1765,13B
20180667747_11,2018-08-04 00:12:00,36.14,-86.78,1769,13C
20180667788_11,2018-08-04 00:15:00,36.16,-86.77,1828,13C
20180667813_31,2018-08-04 01:00:00,36.088,-86.713,2356,13C
20180667813_32,2018-08-04 01:00:00,36.088,-86.713,2356,13C
20180667894_11,2018-08-04 01:30:00,36.21,-86.78,1757,13A
20180667912_11,2018-08-03 22:00:00,36.16,-86.83,1359,13A
20180667923_11,2018-08-03 20:30:00,36.072,-86.62,3065,13B
20180667928_11,2018-08-04 02:20:00,36.17,-86.61,3097,13B
20180667945_11,2018-08-04 00:38:00,36.142,-86.816,1472,13C
20180667951_11,2018-08-04 02:30:00,36.08,-86.69,2528,13A
20180667951_12,2018-08-04 02:30:00,36.08,-86.69,2528,13A
20180668084_11,2018-08-04 00:00:00,36.05,-86.64,2923,13A
20180668089_11,2018-08-04 03:30:00,36.17,-86.78,1764,13B
20180668184_11,2018-08-04 05:56:00,36.16,-86.77,1828,13A
20180668190_11,2018-08-04 05:26:00,36.04,-86.66,2763,13B
20180668304_11,2018-08-04 06:30:00,36.08,-86.92,616,13B
20180668408_11,2018-08-04 08:10:00,36.151,-86.68,2631,13C
20180668610_11,2018-08-04 10:30:00,36.174,-86.672,2684,13C
20180668646_11,2018-08-04 08:50:00,36.17,-86.76,1892,13B
20180668729_11,2018-08-04 11:45:00,36.17,-86.78,1764,13B
20180668732_11,2018-08-04 11:50:00,36.13,-86.75,2032,13B
20180668749_11,2018-08-04 00:00:00,36.25,-86.76,1878,13A
20180668749_12,2018-08-04 00:00:00,36.25,-86.76,1878,13A
20180668755_11,2018-08-04 07:00:00,36.17,-86.789,1639,13B
20180668811_11,2018-08-03 18:00:00,36.176,-86.766,1891,13A
20180668823_11,2018-08-04 00:45:00,36.218,-86.763,1883,13B
20180668831_11,2018-08-03 10:00:00,36.15,-86.76,1895,13B
20180668897_11,2018-08-04 14:00:00,36.149,-86.787,1704,13B
20180668927_11,2018-08-04 13:38:00,36.218,-86.655,2788,13B
20180668949_11,2018-08-04 13:30:00,36.13,-86.71,2348,13C
20180668949_12,2018-08-04 13:30:00,36.13,-86.71,2348,13C
20180669018_11,2018-08-04 15:00:00,36.193,-86.77,1823,13B
20180669080_11,2018-08-04 15:54:00,36.179,-86.766,1890,13B
20180669153_11,2018-08-04 16:30:00,36.07,-86.941,471,13B
20180669179_11,2018-08-04 14:00:00,36.18,-86.8,1578,13B
20180669247_11,2018-08-04 16:50:00,36.27,-86.71,2324,13C
20180669280_11,2018-08-04 17:45:00,36.166,-86.751,2026,13B
20180669349_11,2018-08-04 00:30:00,36.069,-86.73,2241,13B
20180669352_11,2018-08-02 18:40:00,36.245,-86.716,2329,13B
20180669366_11,2018-08-04 18:52:00,36.128,-86.852,1197,13B
20180669376_12,2018-08-04 19:02:00,36.169,-86.748,2026,13A
20180669376_21,2018-08-04 19:02:00,36.169,-86.748,2026,13B
20180669376_23,2018-08-04 19:02:00,36.169,-86.748,2026,13B
20180669391_11,2018-08-04 19:15:00,36.129,-86.905,726,13A
20180669395_11,2018-08-04 18:00:00,36.08,-86.72,2299,13B
20180669468_11,2018-08-04 19:55:00,36.17,-86.78,1764,13B
20180669477_11,2018-08-04 19:59:00,36.134,-86.709,2348,13A
20180669491_11,2018-08-04 20:05:00,36.096,-86.789,1651,13B
20180669528_11,2018-08-04 19:00:00,36.09,-86.82,1426,13B
20180669556_11,2018-08-04 20:10:00,36.16,-86.77,1828,13C
20180669587_11,2018-08-04 22:16:00,36.187,-86.822,1410,13B
20180669636_11,2018-08-04 21:30:00,36.2,-86.62,3043,13B
20180669636_12,2018-08-04 21:30:00,36.2,-86.62,3043,13B
20180669637_11,2018-08-04 21:10:00,36.169,-86.765,1892,13C
20180669729_11,2018-08-04 22:00:00,36.133,-86.701,2463,13B
20180669786_11,2018-08-04 21:00:00,36.148,-86.759,1962,13B
20180669812_11,2018-08-04 23:04:00,36.231,-86.76,1881,13A
20180669812_12,2018-08-04 23:04:00,36.231,-86.76,1881,13A
20180669868_11,2018-08-04 23:44:00,36.161,-86.777,1765,13B
20180669894_11,2018-08-04 23:47:00,36.15,-86.76,1895,13B
20180669913_11,2018-08-04 00:45:00,36.19,-86.62,3045,13B
20180669967_11,2018-08-05 00:30:00,36.17,-86.78,1764,13B
20180670009_11,2018-08-05 00:00:00,36.175,-86.586,3264,13B
20180670032_11,2018-08-05 01:28:00,36.149,-86.758,1962,13B
20180670064_11,2018-08-04 01:30:00,36.08,-86.71,2357,13A
20180670401_11,2018-08-05 05:35:00,36.05,-86.9,798,13C
20180670401_12,2018-08-05 05:35:00,36.05,-86.9,798,13C
20180670692_11,2018-08-05 08:00:00,36.051,-86.658,2817,13B
20180670741_11,2018-08-05 09:00:00,36.17,-86.6,3188,13B
20180670874_11,2018-08-05 11:15:00,36.207,-86.792,1632,13B
20180670947_11,2018-08-05 11:45:00,36.21,-86.69,2506,13B
20180671053_11,2018-08-05 13:15:00,36.08,-86.96,379,13B
20180671129_11,2018-08-05 05:00:00,36.055,-86.681,2589,13B
20180671193_11,2018-08-05 16:03:00,36.28,-86.77,1808,13A
20180671201_11,2018-08-05 00:15:00,36.05,-86.67,2705,13C
20180671210_11,2018-08-05 18:28:00,36.179,-86.769,1825,13A
20180671210_12,2018-08-05 18:28:00,36.179,-86.769,1825,13A
20180671218_11,2018-08-05 16:14:00,36.243,-86.78,1751,13B
20180671249_11,2018-08-04 23:30:00,36.206,-86.773,1820,13B
20180671306_11,2018-08-05 17:00:00,36.13,-86.72,2290,13A
20180671306_32,2018-08-05 17:00:00,36.13,-86.72,2290,13B
20180671314_11,2018-08-05 15:34:00,36.21,-86.78,1757,13C
20180671328_11,2018-08-05 17:10:00,36.37,-86.73,2189,13A
