primary_key,incident_occured,latitude,longitude,grid,offense_type
20190864077_11,2019-12-01 00:01:00,36.158,-86.773,1829,assault
20190864159_11,2019-12-01 01:00:00,36.179,-86.776,1762,assault
20190864186_11,2019-12-01 01:16:00,36.13,-86.71,2348,assault
20190864186_12,2019-12-01 01:16:00,36.13,-86.71,2348,assault
20190864212_11,2019-12-01 01:30:00,36.09,-86.71,2355,assault
20190864277_11,2019-12-01 02:08:00,36.15,-86.76,1895,assault
20190864288_11,2019-12-01 01:55:00,36.15,-86.79,1642,assault
20190864288_22,2019-12-01 01:55:00,36.15,-86.79,1642,assault
20190864289_11,2019-12-01 02:36:00,36.16,-86.78,1765,assault
20190864318_11,2019-12-01 02:20:00,36.045,-86.715,2363,assault
20190864740_11,2019-12-01 01:30:00,36.086,-86.707,2414,assault
20190864785_11,2019-12-01 09:43:00,36.21,-86.91,712,assault
20190864885_11,2019-12-01 03:00:00,36.13,-86.72,2290,assault
20190864942_11,2019-12-01 00:00:00,36.07,-86.67,2702,assault
20190865095_11,2019-12-01 09:45:00,36.22,-86.76,1883,assault
20190865172_11,2019-12-01 16:00:00,36.21,-86.8,1573,assault
20190865172_12,2019-12-01 16:00:00,36.21,-86.8,1573,assault
20190865300_11,2019-12-01 16:00:00,36.17,-86.76,1892,assault
20190865320_11,2019-12-01 17:30:00,36.16,-86.78,1765,assault
20190865340_11,2019-12-01 17:33:00,36.29,-86.7,2436,assault
20190865429_11,2019-12-01 17:53:00,36.14,-86.76,1897,assault
20190865878_11,2019-12-02 00:30:00,0.0,0.0,1582,assault
20190865963_11,2019-12-02 01:24:00,0.0,0.0,2079,assault
20190865979_11,2019-12-02 02:00:00,0.0,0.0,1892,assault
20190866354_11,2019-12-02 07:14:00,0.0,0.0,2098,assault
20190866592_11,2019-12-02 09:06:00,0.0,0.0,1895,assault
20190866661_21,2019-12-02 08:00:00,0.0,0.0,1642,assault
20190866971_11,2019-12-02 09:45:00,0.0,0.0,2278,assault
20190867390_11,2019-12-02 16:02:00,0.0,0.0,1413,assault
20190867451_11,2019-12-02 14:30:00,0.0,0.0,2362,assault
20190867451_12,2019-12-02 14:30:00,0.0,0.0,2362,assault
20190867451_13,2019-12-02 14:30:00,0.0,0.0,2362,assault
