primary_key,incident_occured,latitude,longitude,grid,offense_type
20170093340_11,2017-01-30 02:30:00,36.251,-86.742,2079,13B
20170093488_11,2017-01-30 04:10:00,36.17,-86.779,1764,13B
20170093658_11,2017-01-30 06:01:00,36.17,-86.76,1892,13A
20170094026_11,2017-01-30 07:30:00,36.041,-86.703,2422,13B
20170094043_11,2017-01-30 07:30:00,36.11,-86.75,2036,13C
20170094069_11,2017-01-30 08:37:00,36.141,-86.779,1769,13B
20170094069_12,2017-01-30 08:37:00,36.141,-86.779,1769,13B
20170094563_11,2017-01-30 09:02:00,36.168,-86.779,1764,13C
20170094818_11,2017-01-30 11:45:00,36.104,-86.528,3430,13B
20170095091_11,2017-01-30 13:30:00,36.045,-86.64,2924,13A
20170095091_12,2017-01-30 13:30:00,36.045,-86.64,2924,13A
20170095101_11,2017-01-30 13:30:00,36.06,-86.74,2112,13B
20170095192_11,2017-01-30 11:55:00,36.13,-86.83,1364,13C
20170095194_11,2017-01-30 14:20:00,36.138,-86.79,1644,13B
20170095194_12,2017-01-30 14:20:00,36.138,-86.79,1644,13B
20170095225_11,2017-01-30 14:40:00,36.181,-86.772,1825,13A
20170095399_11,2017-01-30 15:30:00,36.215,-86.756,1951,13B
20170095487_21,2017-01-30 11:00:00,36.12,-86.74,2101,13C
20170095741_11,2017-01-30 17:05:00,36.17,-86.66,2741,13A
20170095854_11,2017-01-30 17:36:00,36.051,-86.658,2817,13A
20170095869_11,2017-01-30 16:00:00,36.11,-86.87,1024,13C
20170095906_22,2017-01-30 17:30:00,36.21,-86.69,2506,13A
20170095970_21,2017-01-30 18:00:00,36.26,-86.71,2326,13A
20170095970_22,2017-01-30 18:00:00,36.26,-86.71,2326,13A
20170095989_11,2017-01-30 18:00:00,36.039,-86.577,3318,13B
20170096026_11,2017-01-30 18:00:00,36.11,-86.74,2103,13B
20170096102_11,2017-01-30 18:48:00,36.167,-86.76,1892,13A
20170096182_11,2017-01-30 19:10:00,36.261,-86.713,2326,13A
20170096510_11,2017-01-30 22:00:00,36.166,-86.782,1701,13A
20170096692_11,2017-01-30 22:20:00,36.001,-86.648,2882,13A
20170096734_11,2017-01-30 22:32:00,36.25,-86.703,2386,13B
20170096988_11,2017-01-31 00:40:00,36.06,-86.64,2922,13B
20170096988_12,2017-01-31 00:40:00,36.06,-86.64,2922,13B
20170097065_11,2017-01-31 01:15:00,36.253,-86.777,1749,13B
20170097135_11,2017-01-31 02:06:00,36.256,-86.711,2327,13B
20170097167_11,2017-01-31 02:00:00,36.144,-86.747,2030,13B
20170097201_11,2017-01-31 01:40:00,36.037,-86.672,2707,13B
20170097265_11,2017-01-31 03:41:00,36.15,-86.76,1895,13B
20170097296_11,2017-01-31 03:20:00,36.15,-86.77,1830,13B
20170097474_11,2017-01-31 05:58:00,36.16,-86.88,957,13A
