primary_key,incident_occured,latitude,longitude,grid,offense_type
20160008123_11,2017-01-03 19:57:00,36.15,-86.76,1895,13A
20170002315_11,2017-01-02 01:30:00,36.221,-86.806,1515,13B
20170002386_11,2017-01-02 01:30:00,36.002,-86.692,2541,13B
20170002516_11,2017-01-02 03:00:00,36.288,-86.743,2072,13B
20170002726_11,2017-01-02 04:25:00,36.231,-86.76,1881,13B
20170002807_21,2017-01-02 06:30:00,36.179,-86.599,3186,13B
20170003714_11,2017-01-02 13:10:00,36.21,-86.79,1632,13A
20170003734_11,2017-01-02 12:00:00,36.203,-86.785,1695,13A
20170003775_11,2017-01-02 13:20:00,36.04,-86.66,2763,13A
20170003775_12,2017-01-02 13:20:00,36.04,-86.66,2763,13A
20170003816_11,2017-01-02 02:20:00,36.168,-86.755,1959,13B
20170003846_11,2017-01-02 14:00:00,36.16,-86.838,1304,13B
20170003858_11,2017-01-02 14:14:00,36.215,-86.603,3137,13B
20170003882_11,2017-01-02 14:30:00,36.09,-86.65,2866,13A
20170003909_11,2017-01-02 14:55:00,36.14,-86.74,2098,13B
20170003909_12,2017-01-02 14:55:00,36.14,-86.74,2098,13B
20170003978_11,2017-01-02 15:27:00,36.203,-86.693,2507,13B
20170003988_11,2017-01-02 15:29:00,36.16,-86.77,1828,13A
20170004004_11,2017-01-02 15:41:00,36.117,-86.925,559,13B
20170004026_11,2017-01-02 16:20:00,36.082,-86.729,2239,13C
20170004100_11,2017-01-02 16:20:00,36.19,-86.713,2338,13B
20170004100_12,2017-01-02 16:20:00,36.19,-86.713,2338,13B
20170004106_11,2017-01-02 16:09:00,36.16,-86.84,1248,13B
20170004164_11,2017-01-02 16:50:00,36.218,-86.763,1883,13B
20170004278_11,2017-01-02 17:30:00,36.17,-86.76,1892,13A
20170004336_11,2017-01-02 18:00:00,36.177,-86.604,3143,13B
20170004376_11,2017-01-02 10:00:00,36.041,-86.671,2707,13C
20170004449_11,2017-01-02 18:31:00,36.18,-86.74,2091,13A
20170004449_12,2017-01-02 18:31:00,36.18,-86.74,2091,13A
20170004792_11,2017-01-02 22:20:00,36.147,-86.76,1896,13A
20170004792_12,2017-01-02 22:20:00,36.147,-86.76,1896,13A
20170004819_11,2017-01-02 22:25:00,36.154,-86.777,1766,13B
20170004844_11,2017-01-02 22:45:00,36.058,-86.739,2112,13B
20170004874_11,2017-01-02 23:00:00,36.264,-86.724,2207,13B
20170004952_11,2017-01-02 23:30:00,36.215,-86.598,3180,13B
20170005006_11,2017-01-03 00:29:00,36.189,-86.724,2220,13A
20170005135_11,2017-01-03 00:30:00,36.23,-86.756,1948,13B
20170005175_11,2017-01-03 00:30:00,36.17,-86.76,1892,13A
20170005193_11,2017-01-03 01:33:00,36.08,-86.885,912,13B
20170005488_11,2017-01-03 03:54:00,36.147,-86.76,1896,13B
20170005593_11,2017-01-03 05:00:00,36.24,-86.735,2146,13A
20170005660_11,2017-01-02 19:00:00,36.152,-86.776,1767,13B
20170005926_11,2017-01-03 07:50:00,36.149,-86.762,1895,13B
20170006105_11,2017-01-02 22:00:00,36.26,-86.7,2441,13A
20170006151_11,2017-01-03 09:00:00,36.16,-86.8,1581,13C
20170006283_11,2017-01-03 10:09:00,36.038,-86.637,2974,13B
20170006288_11,2017-01-03 10:52:00,36.175,-86.595,3187,13B
20170006337_11,2017-01-03 10:00:00,36.161,-86.839,1248,13C
20170006587_11,2017-01-03 12:01:00,36.167,-86.754,1959,13A
20170006683_11,2017-01-03 13:00:00,36.15,-86.76,1895,13C
20170006703_11,2017-01-03 12:45:00,36.252,-86.708,2385,13B
20170006732_12,2017-01-03 12:55:00,36.17,-86.76,1892,13A
20170006732_13,2017-01-03 12:55:00,36.17,-86.76,1892,13A
20170006748_11,2017-01-03 12:25:00,36.25,-86.73,2210,13B
20170006996_11,2017-01-03 14:30:00,36.083,-86.725,2239,13B
20170007005_11,2017-01-03 12:00:00,36.26,-86.76,1876,13C
20170007045_11,2017-01-03 13:00:00,36.036,-86.639,2926,13B
20170007094_11,2017-01-03 15:00:00,36.08,-86.62,3064,13B
20170007098_11,2017-01-03 10:30:00,36.131,-86.774,1770,13B
20170007111_42,2017-01-03 15:30:00,36.042,-86.713,2364,13A
20170007174_11,2017-01-03 16:00:00,36.259,-86.766,1876,13A
20170007329_11,2017-01-03 16:30:00,36.19,-86.81,1464,13B
20170007442_11,2017-01-03 17:37:00,36.185,-86.844,1244,13B
20170007442_12,2017-01-03 17:37:00,36.185,-86.844,1244,13B
20170007442_13,2017-01-03 17:37:00,36.185,-86.844,1244,13B
20170007690_11,2017-01-02 19:10:00,36.167,-86.761,1892,13B
20170007690_12,2017-01-02 19:10:00,36.167,-86.761,1892,13B
20170007704_11,2017-01-03 18:15:00,36.152,-86.766,1895,13B
20170007746_11,2017-01-03 19:30:00,36.157,-86.88,958,13B
20170007760_11,2017-01-03 14:00:00,36.049,-86.72,2304,13C
20170007786_11,2017-01-03 19:54:00,36.154,-86.762,1894,13A
20170007786_12,2017-01-03 19:54:00,36.154,-86.762,1894,13A
20170007832_11,2017-01-03 19:45:00,36.17,-86.76,1892,13A
20170007832_12,2017-01-03 19:45:00,36.17,-86.76,1892,13A
20170007832_13,2017-01-03 19:45:00,36.17,-86.76,1892,13A
20170007870_11,2017-01-03 19:33:00,36.106,-86.817,1424,13B
20170007870_12,2017-01-03 19:33:00,36.106,-86.817,1424,13B
20170007973_31,2017-01-03 21:07:00,36.153,-86.756,1962,13A
20170008001_11,2017-01-03 21:53:00,36.065,-86.721,2302,13C
20170008012_11,2017-01-03 21:25:00,36.16,-86.82,1414,13A
20170008019_11,2017-01-03 22:00:00,36.069,-86.914,677,13B
20170008139_21,2017-01-03 22:22:00,36.097,-86.721,2296,13B
20170008139_22,2017-01-03 22:22:00,36.097,-86.721,2296,13B
20170008139_23,2017-01-03 22:22:00,36.097,-86.721,2296,13B
20170008153_11,2017-01-03 22:10:00,36.261,-86.681,2554,13B
20170008162_11,2017-01-03 22:52:00,36.151,-86.8,1583,13B
20170008276_11,2017-01-03 23:40:00,36.18,-86.79,1637,13B
20170008346_11,2017-01-03 23:46:00,36.254,-86.772,1812,13B
20170008405_11,2017-01-04 00:36:00,36.121,-86.703,2408,13B
20170008405_12,2017-01-04 00:36:00,36.121,-86.703,2408,13B
20170008596_11,2017-01-04 01:28:00,36.236,-86.674,2616,13B
20170008797_11,2017-01-04 02:48:00,36.07,-86.77,1844,13A
20170008825_11,2017-01-04 03:00:00,36.22,-86.79,1630,13C
20170009012_11,2017-01-04 04:50:00,36.153,-86.759,1962,13B
20170009039_11,2017-01-04 05:00:00,36.243,-86.774,1751,13A
20170009087_11,2017-01-04 05:00:00,36.18,-86.8,1578,13A
20170009644_11,2017-01-04 09:21:00,36.18,-86.821,1411,13C
20170009726_11,2017-01-04 09:40:00,36.169,-86.755,1959,13B
20170009744_11,2017-01-04 09:40:00,36.17,-86.8,1580,13A
20170009744_12,2017-01-04 09:40:00,36.17,-86.8,1580,13A
20170009777_11,2017-01-04 09:30:00,36.282,-86.706,2380,13C
20170009799_11,2017-01-04 10:08:00,36.169,-86.755,1959,13B
20170009799_12,2017-01-04 10:08:00,36.169,-86.755,1959,13B
20170009851_11,2017-01-04 09:52:00,36.174,-86.763,1891,13B
20170009865_11,2017-01-04 08:43:00,36.14,-86.74,2098,13B
20170009939_11,2017-01-04 10:47:00,36.178,-86.814,1466,13B
20170010067_11,2017-01-04 11:30:00,36.168,-86.779,1764,13B
20170010069_11,2017-01-04 11:50:00,36.168,-86.757,1959,13B
20170010105_11,2017-01-04 10:45:00,36.092,-86.706,2413,13B
20170010246_11,2017-01-04 13:05:00,36.232,-86.782,1690,13A
20170010254_11,2017-01-04 13:05:00,36.251,-86.743,2079,13B
20170010254_12,2017-01-04 13:05:00,36.251,-86.743,2079,13B
20170010302_11,2017-01-04 09:40:00,36.169,-86.755,1959,13B
20170010341_11,2017-01-04 14:00:00,36.14,-86.78,1769,13C
20170010460_11,2017-01-04 13:00:00,36.159,-86.816,1469,13C
20170010630_11,2017-01-04 15:30:00,36.18,-86.82,1411,13B
20170011036_11,2017-01-04 17:45:00,36.016,-86.666,2711,13C
20170011172_11,2017-01-04 18:56:00,36.218,-86.834,1294,13B
20170011189_11,2017-01-04 18:55:00,36.2,-86.84,1241,13C
20170011414_11,2017-01-04 20:30:00,36.089,-87.003,138,13C
20170011447_11,2017-01-04 21:04:00,36.044,-86.72,2305,13B
20170011497_11,2017-01-04 20:26:00,36.165,-86.757,1959,13B
20170011563_11,2017-01-04 18:00:00,36.16,-86.8,1581,13C
20170011593_11,2017-01-04 21:10:00,36.07,-86.63,2969,13A
20170011681_11,2017-01-04 21:45:00,36.277,-86.752,2007,13B
20170011907_11,2017-01-04 23:50:00,36.064,-86.96,382,13B
20170011907_12,2017-01-04 23:50:00,36.064,-86.96,382,13B
20170011953_11,2017-01-05 00:04:00,36.169,-86.807,1524,13B
20170012033_11,2017-01-05 00:30:00,36.127,-86.711,2349,13B
20170012225_11,2017-01-05 00:42:00,36.19,-86.84,1243,13B
20170012353_11,2017-01-05 00:42:00,36.188,-86.837,1299,13A
20170012353_12,2017-01-05 00:42:00,36.188,-86.837,1299,13A
20170012706_11,2017-01-05 05:00:00,36.17,-86.68,2628,13B
20170012829_11,2017-01-05 06:15:00,36.069,-86.679,2645,13B
20170013230_11,2017-01-05 09:00:00,36.076,-86.729,2240,13B
20170013292_11,2017-01-05 07:00:00,36.15,-86.71,2345,13A
20170013395_11,2017-01-05 10:20:00,36.145,-86.764,1896,13C
20170013412_11,2017-01-04 23:30:00,36.175,-86.807,1523,13A
20170013517_11,2017-01-05 11:20:00,36.18,-86.793,1637,13B
20170013517_12,2017-01-05 11:20:00,36.18,-86.793,1637,13B
20170013636_11,2017-01-05 12:00:00,36.166,-86.802,1580,13B
20170013757_11,2017-01-05 13:00:00,36.046,-86.713,2363,13C
20170013767_11,2017-01-05 09:30:00,36.05,-86.663,2761,13B
20170013848_11,2017-01-05 12:30:00,36.169,-86.687,2570,13C
20170013848_12,2017-01-05 12:30:00,36.169,-86.687,2570,13C
20170013958_11,2017-01-05 14:50:00,36.052,-86.647,2873,13B
20170013958_12,2017-01-05 14:50:00,36.052,-86.647,2873,13B
