primary_key,incident_occured,latitude,longitude,grid,offense_type
20170579490_11,2017-07-02 00:00:00,36.16,-86.78,1765,13B
20170579490_12,2017-07-02 00:00:00,36.16,-86.78,1765,13B
20170579629_11,2017-07-02 01:00:00,36.16,-86.78,1765,13B
20170579696_11,2017-07-02 01:31:00,36.16,-86.78,1765,13B
20170579764_11,2017-07-02 01:58:00,36.15,-86.797,1583,13B
20170579880_11,2017-07-02 02:24:00,36.214,-86.794,1631,13A
20170579890_11,2017-07-02 02:56:00,36.213,-86.762,1884,13B
20170579896_11,2017-07-02 00:00:00,36.244,-86.718,2271,13B
20170579903_11,2017-07-02 02:30:00,36.19,-86.83,1354,13B
20170579909_11,2017-07-02 02:20:00,36.16,-86.78,1765,13B
20170579946_11,2017-07-02 00:45:00,36.27,-86.75,2008,13B
20170580030_11,2017-07-02 04:39:00,36.213,-86.762,1884,13B
20170580067_11,2017-07-02 04:30:00,36.053,-86.675,2648,13B
20170580108_11,2017-07-02 04:45:00,36.176,-86.799,1579,13B
20170580108_12,2017-07-02 04:45:00,36.176,-86.799,1579,13B
20170580247_11,2017-07-02 07:00:00,36.209,-86.778,1757,13B
20170580250_11,2017-07-02 04:30:00,36.157,-86.817,1415,13B
20170580364_11,2017-07-02 03:00:00,36.18,-86.81,1466,13B
20170580470_22,2017-07-02 08:45:00,36.16,-86.877,957,13B
20170580536_11,2017-07-02 00:00:00,36.17,-86.79,1639,13B
20170580539_11,2017-07-02 09:29:00,36.04,-86.7,2479,13C
20170580539_12,2017-07-02 09:29:00,36.04,-86.7,2479,13C
20170580539_13,2017-07-02 09:29:00,36.04,-86.7,2479,13C
20170580590_11,2017-07-02 09:45:00,36.176,-86.608,3144,13B
20170580677_11,2017-07-02 11:00:00,36.144,-86.88,960,13B
20170580729_11,2017-07-02 03:30:00,36.07,-86.68,2645,13B
20170580731_11,2017-07-02 11:55:00,36.154,-86.795,1641,13C
20170580772_11,2017-07-02 12:27:00,36.15,-86.76,1895,13A
20170580821_11,2017-07-02 13:00:00,36.052,-86.65,2873,13B
20170580969_11,2017-07-02 14:59:00,36.187,-86.813,1465,13B
20170581025_11,2017-07-02 16:14:00,36.218,-86.793,1630,13B
20170581152_11,2017-07-02 16:30:00,36.201,-86.616,3043,13B
20170581231_11,2017-07-02 17:10:00,36.17,-86.6,3188,13A
20170581275_11,2017-07-02 18:00:00,36.18,-86.61,3095,13B
20170581275_12,2017-07-02 18:00:00,36.18,-86.61,3095,13B
20170581304_22,2017-07-02 18:00:00,36.083,-86.724,2239,13B
20170581346_11,2017-07-02 18:14:00,36.129,-86.906,726,13B
20170581348_11,2017-07-02 17:40:00,36.26,-86.71,2326,13C
20170581375_11,2017-07-02 18:35:00,36.18,-86.81,1466,13A
20170581375_12,2017-07-02 18:35:00,36.18,-86.81,1466,13A
20170581376_11,2017-07-02 17:00:00,36.07,-86.64,2920,13C
20170581403_22,2017-07-02 20:25:00,36.21,-86.69,2506,13A
20170581534_11,2017-07-02 20:00:00,36.25,-86.64,2889,13B
20170581534_12,2017-07-02 20:00:00,36.25,-86.64,2889,13B
20170581548_11,2017-07-02 20:13:00,36.172,-86.762,1891,13B
20170581916_21,2017-07-02 22:50:00,36.133,-86.723,2290,13B
20170581945_11,2017-07-02 23:00:00,36.08,-86.885,912,13B
20170581946_11,2017-07-02 13:00:00,36.18,-86.8,1578,13B
20170581962_11,2017-07-02 23:38:00,36.19,-86.81,1464,13B
20170581965_11,2017-07-02 23:30:00,36.15,-86.806,1527,13B
20170581970_11,2017-07-02 21:50:00,36.017,-86.62,3075,13B
20170582078_11,2017-07-02 23:45:00,35.978,-86.627,3033,13B
20170582213_11,2017-07-03 01:18:00,36.2,-86.63,2946,13C
20170582294_11,2017-07-03 01:50:00,36.249,-86.672,2671,13A
20170582522_11,2017-07-02 19:20:00,36.18,-86.8,1578,13A
20170582522_12,2017-07-02 19:20:00,36.18,-86.8,1578,13A
20170582584_11,2017-07-03 03:35:00,36.13,-86.79,1645,13B
20170582745_11,2017-07-03 04:09:00,36.181,-86.835,1301,13B
20170583013_22,2017-07-03 06:40:00,36.17,-86.68,2628,13C
20170583045_11,2017-07-02 23:55:00,36.16,-86.82,1414,13A
20170583045_12,2017-07-02 23:55:00,36.16,-86.82,1414,13A
20170583084_11,2017-07-03 07:25:00,36.137,-86.7,2462,13B
20170583237_22,2017-07-03 08:30:00,36.14,-86.74,2098,13B
20170583594_11,2017-07-03 11:45:00,36.216,-86.764,1884,13A
20170583679_21,2017-07-03 11:00:00,36.08,-86.6,3203,13A
20170583685_11,2017-07-03 11:00:00,36.13,-86.71,2348,13A
20170583760_11,2017-07-03 11:35:00,36.223,-86.782,1691,13B
20170583911_11,2017-07-02 13:00:00,36.168,-86.817,1413,13A
20170584054_11,2017-07-03 13:20:00,36.15,-86.77,1830,13B
20170584127_11,2017-07-03 13:30:00,36.147,-86.815,1472,13A
20170584127_12,2017-07-03 13:30:00,36.147,-86.815,1472,13A
20170584133_11,2017-07-03 13:54:00,36.089,-86.733,2173,13B
20170584162_11,2017-07-03 14:12:00,36.17,-86.82,1413,13A
20170584239_11,2017-07-03 14:21:00,36.25,-86.76,1878,13B
20170584265_11,2017-07-03 02:00:00,36.18,-86.61,3095,13B
20170584423_11,2017-07-03 15:20:00,36.19,-86.81,1464,13B
20170584425_11,2017-07-03 16:00:00,36.144,-86.762,1896,13C
20170584477_11,2017-07-03 14:00:00,36.194,-86.832,1298,13B
20170584489_22,2017-07-03 16:00:00,36.2,-86.69,2507,13B
20170584518_11,2017-07-03 14:13:00,36.04,-86.71,2364,13C
20170584554_11,2017-07-03 16:50:00,36.178,-86.599,3186,13B
20170584555_11,2017-07-03 15:30:00,36.202,-86.739,2087,13B
20170584577_11,2017-07-03 17:00:00,36.17,-86.78,1764,13B
20170584778_11,2017-07-03 18:33:00,36.074,-86.687,2586,13B
20170584825_11,2017-07-03 18:20:00,36.015,-86.713,2368,13B
20170584827_11,2017-07-03 18:50:00,36.25,-86.7,2443,13A
20170585020_11,2017-07-03 20:10:00,36.221,-86.823,1404,13B
20170585026_11,2017-07-03 20:09:00,36.149,-86.862,1076,13C
20170585076_11,2017-07-03 19:00:00,36.1,-86.72,2296,13C
20170585108_11,2017-07-03 20:30:00,36.081,-86.628,3015,13B
20170585137_11,2017-07-03 20:43:00,36.258,-86.854,1116,13B
20170585194_11,2017-07-03 21:00:00,36.182,-86.76,1890,13B
20170585235_11,2017-07-03 20:30:00,36.16,-86.79,1640,13B
20170585310_11,2017-07-03 21:40:00,36.18,-86.8,1578,13A
