primary_key,incident_occured,latitude,longitude,grid,offense_type
20190165661_11,2019-03-02 00:05:00,36.148,-86.758,1962,13A
20190165676_11,2019-03-02 00:10:00,36.18,-86.59,3227,13A
20190165676_16,2019-03-02 00:10:00,36.18,-86.59,3227,13A
20190165698_11,2019-03-02 00:18:00,36.05,-86.72,2304,13B
20190165723_11,2019-03-02 01:31:00,36.179,-86.796,1578,13B
20190165734_11,2019-03-02 00:47:00,36.231,-86.76,1881,13B
20190165760_11,2019-03-02 01:40:00,36.045,-86.662,2762,13B
20190165762_11,2019-03-02 00:10:00,36.083,-86.731,2174,13B
20190165779_11,2019-03-02 00:04:00,36.162,-86.774,1765,13B
20190165807_11,2019-03-02 01:00:00,36.251,-86.743,2079,13B
20190165830_11,2019-03-02 01:30:00,36.161,-86.775,1765,13B
20190165861_11,2019-03-02 01:55:00,36.106,-86.743,2104,13B
20190165888_11,2019-03-02 02:55:00,36.086,-86.707,2414,13A
20190165922_11,2019-03-02 03:00:00,36.053,-86.692,2533,13B
20190166123_11,2019-03-02 07:34:00,36.18,-86.61,3095,13B
20190166206_11,2019-03-02 03:00:00,36.088,-86.693,2527,13B
20190166237_11,2019-03-02 07:14:00,36.05,-86.68,2648,13B
20190166307_11,2019-03-02 03:00:00,36.09,-86.69,2526,13B
20190166455_11,2019-03-02 09:30:00,36.07,-86.68,2645,13C
20190166557_11,2019-03-02 10:30:00,36.07,-86.92,618,13C
20190166557_12,2019-03-02 10:30:00,36.07,-86.92,618,13C
20190166674_11,2019-03-02 11:50:00,36.08,-86.7,2472,13C
20190166686_11,2019-03-02 00:20:00,36.03,-86.582,3289,13A
20190166805_11,2019-03-02 13:30:00,36.14,-86.66,2746,13B
20190166884_11,2019-03-02 13:55:00,36.105,-86.923,612,13B
20190167091_11,2019-03-02 16:23:00,36.202,-86.723,2278,13B
20190167091_12,2019-03-02 16:23:00,36.202,-86.723,2278,13B
20190167151_11,2019-03-02 16:00:00,36.3,-86.7,2434,13A
20190167160_11,2019-03-02 16:40:00,36.14,-86.71,2347,13B
20190167170_11,2019-03-02 17:06:00,36.25,-86.72,2270,13A
20190167244_11,2019-03-02 17:41:00,36.174,-86.794,1638,13B
20190167279_11,2019-03-02 17:30:00,36.367,-86.728,2190,13B
20190167342_11,2019-03-02 18:39:00,36.08,-86.73,2239,13A
20190167342_13,2019-03-02 18:39:00,36.08,-86.73,2239,13A
20190167347_11,2019-03-02 16:50:00,36.302,-86.694,2490,13A
20190167398_11,2019-03-02 19:30:00,36.206,-86.586,3258,13B
20190167399_11,2019-03-02 17:00:00,36.05,-86.71,2362,13B
20190167440_11,2019-03-02 20:00:00,36.17,-86.765,1892,13B
20190167461_11,2019-03-02 19:55:00,36.28,-86.7,2438,13A
20190167514_11,2019-03-02 20:02:00,36.076,-86.653,2813,13B
20190167551_11,2019-03-02 20:49:00,36.089,-86.636,2966,13C
20190167567_11,2019-03-02 21:20:00,36.21,-86.79,1632,13B
20190167656_11,2019-03-02 22:00:00,36.29,-86.7,2436,13C
20190167656_12,2019-03-02 22:00:00,36.29,-86.7,2436,13C
20190167671_11,2019-03-02 22:27:00,36.161,-86.843,1248,13B
20190167671_12,2019-03-02 22:27:00,36.161,-86.843,1248,13B
20190167694_11,2019-03-02 22:50:00,36.22,-86.79,1630,13B
20190167709_11,2019-03-02 22:00:00,36.076,-86.658,2813,13C
20190167714_11,2019-03-02 23:06:00,36.022,-86.674,2653,13C
20190167715_11,2019-03-02 20:40:00,36.26,-86.71,2326,13C
20190167726_11,2019-03-02 23:00:00,36.269,-86.683,2552,13B
20190167726_12,2019-03-02 23:00:00,36.269,-86.683,2552,13B
20190167726_21,2019-03-02 23:00:00,36.269,-86.683,2552,13B
20190167726_22,2019-03-02 23:00:00,36.269,-86.683,2552,13B
20190167756_11,2019-03-02 22:08:00,36.1,-86.85,1202,13C
20190167788_11,2019-03-02 23:10:00,36.054,-86.74,2113,13B
20190167872_11,2019-03-03 00:30:00,36.169,-86.795,1639,13B
