primary_key,incident_occured,latitude,longitude,grid,offense_type
20170387941_11,2017-05-02 00:35:00,36.21,-86.78,1757,13A
20170387977_11,2017-05-02 01:00:00,36.206,-86.743,2086,13B
20170388021_11,2017-05-02 01:33:00,36.143,-86.827,1362,13B
20170388656_11,2017-05-02 07:00:00,36.19,-86.74,2089,13B
20170388804_11,2017-05-02 07:45:00,36.183,-86.813,1465,13B
20170388906_11,2017-05-02 04:00:00,36.27,-86.7,2439,13B
20170388906_12,2017-05-02 04:00:00,36.27,-86.7,2439,13B
20170388906_13,2017-05-02 04:00:00,36.27,-86.7,2439,13B
20170388955_11,2017-05-02 03:40:00,36.201,-86.665,2735,13B
20170389068_11,2017-05-02 09:15:00,36.09,-86.687,2583,13B
20170389068_12,2017-05-02 09:15:00,36.09,-86.687,2583,13B
20170389068_13,2017-05-02 09:15:00,36.09,-86.687,2583,13B
20170389635_11,2017-05-02 12:30:00,36.192,-86.771,1823,13B
20170389905_11,2017-05-02 14:30:00,36.189,-86.628,2996,13B
20170390027_11,2017-05-02 14:46:00,36.17,-86.655,2797,13B
20170390119_11,2017-05-02 15:25:00,36.267,-86.691,2496,13B
20170390149_11,2017-05-02 15:30:00,36.27,-86.7,2439,13B
20170390203_32,2017-05-02 17:00:00,36.153,-86.761,1895,13B
20170390234_11,2017-05-02 15:45:00,36.076,-86.645,2869,13B
20170390234_12,2017-05-02 15:45:00,36.076,-86.645,2869,13B
20170390360_11,2017-05-02 16:30:00,36.103,-86.741,2104,13B
20170390361_21,2017-05-02 16:19:00,36.06,-86.68,2647,13B
20170390361_22,2017-05-02 16:19:00,36.06,-86.68,2647,13B
20170390422_11,2017-05-02 18:59:00,36.195,-86.749,2021,13A
20170390422_12,2017-05-02 18:59:00,36.195,-86.749,2021,13A
20170390467_11,2017-05-02 18:00:00,36.111,-86.831,1368,13B
20170390516_12,2017-05-02 18:00:00,36.16,-86.78,1765,13B
20170390516_21,2017-05-02 18:00:00,36.16,-86.78,1765,13A
20170390628_11,2017-05-02 12:00:00,36.16,-86.64,2904,13C
20170390740_11,2017-05-02 19:30:00,36.18,-86.81,1466,13A
20170390820_11,2017-05-02 20:05:00,36.163,-86.779,1765,13A
20170390820_12,2017-05-02 20:05:00,36.163,-86.779,1765,13A
20170390833_11,2017-05-02 20:00:00,36.213,-86.76,1884,13A
20170390876_11,2017-05-02 13:55:00,36.14,-86.79,1644,13C
20170390937_11,2017-05-02 20:48:00,36.219,-86.808,1515,13B
20170390942_11,2017-05-02 21:46:00,36.19,-86.82,1409,13B
20170390962_11,2017-05-02 21:01:00,36.082,-86.612,3112,13B
20170390969_11,2017-05-02 21:30:00,36.086,-86.943,468,13B
20170391010_11,2017-05-02 21:20:00,36.213,-86.76,1884,13A
20170391072_11,2017-05-02 21:30:00,36.103,-86.795,1650,13B
20170391074_11,2017-05-02 21:00:00,36.277,-86.752,2007,13A
20170391126_11,2017-05-02 21:41:00,36.132,-86.792,1645,13C
20170391334_11,2017-05-02 23:15:00,36.051,-86.743,2113,13B
20170391343_21,2017-05-02 23:21:00,36.241,-86.638,2890,13B
20170391404_11,2017-05-02 23:57:00,36.15,-86.78,1767,13B
20170391432_11,2017-05-02 21:58:00,36.12,-86.883,905,13C
20170391436_11,2017-05-03 00:05:00,36.27,-86.701,2439,13B
20170391492_11,2017-05-02 13:00:00,36.145,-86.625,3004,13C
20170392229_11,2017-05-03 07:00:00,36.21,-86.78,1757,13C
20170392242_11,2017-05-03 06:28:00,36.146,-86.624,3004,13B
20170392242_12,2017-05-03 06:28:00,36.146,-86.624,3004,13B
20170392253_11,2017-05-03 06:45:00,36.12,-86.75,2034,13A
20170392294_11,2017-05-03 07:30:00,36.293,-86.695,2435,13B
20170392309_11,2017-05-03 07:00:00,36.182,-86.797,1578,13C
20170392508_11,2017-05-03 06:15:00,36.049,-86.689,2533,13B
20170393050_11,2017-05-03 12:00:00,36.27,-86.68,2610,13C
20170393263_11,2017-05-03 01:15:00,36.12,-86.75,2034,13A
20170393267_11,2017-05-03 13:23:00,36.166,-86.608,3145,13B
20170393330_11,2017-05-03 14:00:00,36.17,-86.82,1413,13A
20170393341_11,2017-05-03 13:50:00,36.055,-86.643,2922,13B
20170393341_12,2017-05-03 13:50:00,36.055,-86.643,2922,13B
20170393428_11,2017-05-03 14:35:00,36.2,-86.73,2218,13A
20170393437_11,2017-05-03 14:19:00,36.206,-86.595,3181,13B
20170393440_11,2017-05-03 14:50:00,36.148,-86.841,1250,13B
20170393465_11,2017-05-03 14:20:00,36.053,-86.657,2817,13C
20170393542_11,2017-05-03 15:25:00,36.035,-86.719,2307,13B
20170393632_11,2017-05-03 16:00:00,36.264,-86.717,2267,13B
20170393667_11,2017-05-03 16:11:00,36.205,-86.807,1518,13C
20170393667_22,2017-05-03 16:11:00,36.205,-86.807,1518,13B
20170393701_11,2017-05-02 16:15:00,36.273,-86.718,2266,13B
20170393949_11,2017-05-03 17:42:00,36.148,-86.758,1962,13A
20170394210_11,2017-05-03 18:57:00,36.083,-86.635,2967,13A
20170394343_11,2017-05-03 18:42:00,36.042,-86.749,2048,13B
20170394361_11,2017-05-03 19:47:00,36.193,-86.726,2220,13B
20170394491_11,2017-05-03 20:23:00,36.133,-86.721,2290,13B
20170394517_11,2017-05-03 20:15:00,36.233,-86.591,3218,13B
20170394561_11,2017-05-02 10:00:00,36.055,-86.678,2647,13B
20170394581_11,2017-05-03 20:55:00,36.16,-86.78,1765,13B
20170394655_11,2017-05-03 21:15:00,36.209,-86.828,1351,13B
20170394758_11,2017-05-03 17:00:00,36.18,-86.8,1578,13C
20170394763_11,2017-05-03 20:20:00,36.233,-86.591,3218,13B
20170394886_11,2017-05-03 22:10:00,36.136,-86.769,1832,13B
20170394950_11,2017-05-03 23:00:00,36.153,-86.779,1767,13A
20170395002_11,2017-05-03 23:20:00,36.046,-86.675,2649,13B
20170395002_12,2017-05-03 23:20:00,36.046,-86.675,2649,13B
20170395157_11,2017-05-04 00:00:00,36.158,-86.777,1766,13B
20170395182_11,2017-05-04 01:40:00,36.168,-86.806,1524,13B
20170395182_12,2017-05-04 01:40:00,36.168,-86.806,1524,13B
20170395194_11,2017-05-04 00:37:00,36.18,-86.811,1466,13B
20170395263_11,2017-05-04 02:05:00,36.129,-86.714,2349,13A
20170395263_12,2017-05-04 02:05:00,36.129,-86.714,2349,13A
20170395264_11,2017-05-04 01:41:00,36.161,-86.777,1765,13A
20170395282_11,2017-05-04 01:10:00,36.04,-86.71,2364,13A
20170395298_11,2017-05-03 21:15:00,36.168,-86.76,1892,13A
20170395320_11,2017-05-03 20:06:00,36.249,-86.715,2328,13B
20170395432_11,2017-05-04 02:15:00,36.13,-86.71,2348,13B
20170395624_11,2017-05-04 01:00:00,36.1,-86.6,3200,13B
20170395710_11,2017-05-04 03:40:00,36.174,-86.764,1891,13B
20170395768_11,2017-05-04 04:50:00,36.06,-86.71,2361,13A
20170395961_11,2017-05-03 08:00:00,36.06,-86.64,2922,13A
20170395961_12,2017-05-03 08:00:00,36.06,-86.64,2922,13A
20170395982_11,2017-05-03 09:00:00,36.12,-86.71,2350,13B
20170396030_11,2017-05-04 07:20:00,36.042,-86.661,2763,13B
20170396143_11,2017-05-04 07:45:00,36.174,-86.789,1638,13B
20170396161_11,2017-05-04 07:30:00,36.15,-86.76,1895,13B
20170396281_11,2017-05-04 10:00:00,36.049,-86.617,3069,13B
20170396323_11,2017-05-04 10:00:00,36.1,-86.83,1370,13C
20170396355_11,2017-05-04 09:15:00,36.249,-86.715,2328,13C
20170396434_11,2017-05-04 10:00:00,36.038,-86.777,1786,13B
20170396434_12,2017-05-04 10:00:00,36.038,-86.777,1786,13B
20170396448_11,2017-05-04 10:00:00,36.068,-86.575,3313,13B
20170396532_11,2017-05-04 09:20:00,36.254,-86.832,1288,13B
20170396532_12,2017-05-04 09:20:00,36.254,-86.832,1288,13B
20170396532_13,2017-05-04 09:20:00,36.254,-86.832,1288,13B
20170396580_11,2017-05-04 05:30:00,36.15,-86.77,1830,13B
20170396654_11,2017-05-04 09:00:00,36.223,-86.825,1348,13B
20170396689_11,2017-05-04 10:30:00,36.169,-86.771,1827,13B
20170396772_11,2017-05-04 12:02:00,36.164,-86.758,1960,13B
20170396814_11,2017-05-04 09:00:00,36.15,-86.8,1583,13B
20170396907_11,2017-05-04 12:49:00,36.28,-86.8,1561,13A
20170396909_11,2017-05-03 21:45:00,36.17,-86.76,1892,13B
20170396912_11,2017-05-04 12:51:00,36.211,-86.757,1952,13A
20170396913_11,2017-05-04 12:46:00,36.129,-86.707,2407,13B
20170396981_11,2017-05-04 13:00:00,36.162,-86.861,1074,13B
20170397095_11,2017-05-04 14:00:00,36.046,-86.621,3070,13B
20170397095_12,2017-05-04 14:00:00,36.046,-86.621,3070,13B
20170397101_11,2017-05-04 13:52:00,36.28,-86.71,2323,13C
20170397101_12,2017-05-04 13:52:00,36.28,-86.71,2323,13C
20170397114_11,2017-05-04 14:00:00,36.19,-86.82,1409,13A
20170397284_11,2017-05-04 14:40:00,36.108,-86.732,2169,13B
20170397410_11,2017-05-04 15:50:00,36.13,-86.702,2406,13C
20170397697_11,2017-05-04 17:56:00,36.152,-86.766,1895,13B
20170397907_11,2017-05-04 19:00:00,36.168,-86.755,1959,13A
20170397998_11,2017-05-04 19:30:00,36.18,-86.81,1466,13C
20170397998_12,2017-05-04 19:30:00,36.18,-86.81,1466,13C
20170398012_11,2017-05-04 20:07:00,36.138,-86.881,961,13A
20170398205_11,2017-05-04 21:22:00,36.09,-86.69,2526,13B
20170398205_12,2017-05-04 21:22:00,36.09,-86.69,2526,13B
20170398304_11,2017-05-04 04:50:00,36.06,-86.71,2361,13B
20170398373_11,2017-05-04 22:30:00,36.151,-86.764,1895,13B
20170398382_11,2017-05-04 21:46:00,36.04,-86.627,3022,13A
20170398464_11,2017-05-04 23:16:00,36.079,-86.906,734,13B
20170398494_11,2017-05-04 23:00:00,36.16,-86.78,1765,13B
20170398522_11,2017-05-04 23:40:00,36.153,-86.666,2688,13B
20170398645_11,2017-05-05 00:32:00,36.201,-86.824,1352,13B
20170398645_12,2017-05-05 00:32:00,36.201,-86.824,1352,13B
20170398875_11,2017-05-05 01:45:00,36.15,-86.79,1642,13B
20170398941_11,2017-05-05 02:20:00,36.16,-86.78,1765,13B
20170399023_11,2017-05-05 03:00:00,36.16,-86.778,1765,13A
20170399052_11,2017-05-05 01:00:00,36.15,-86.79,1642,13B
20170399407_11,2017-05-05 03:20:00,36.197,-86.772,1822,13A
20170399694_11,2017-05-04 20:00:00,36.233,-86.77,1816,13B
20170399711_11,2017-05-05 08:30:00,36.236,-86.731,2147,13B
20170399906_11,2017-05-05 09:55:00,36.048,-86.599,3209,13B
20170399968_11,2017-05-05 08:00:00,36.084,-86.704,2414,13B
20170399976_21,2017-05-05 10:00:00,36.2,-86.82,1407,13C
20170400032_11,2017-05-05 08:35:00,36.232,-86.75,2015,13C
20170400075_11,2017-05-05 10:40:00,36.09,-86.73,2237,13B
20170400075_12,2017-05-05 10:40:00,36.09,-86.73,2237,13B
20170400083_11,2017-05-05 10:44:00,36.09,-86.76,1905,13C
20170400100_11,2017-05-05 11:20:00,36.187,-86.819,1410,13B
20170400123_11,2017-05-05 11:15:00,36.168,-86.779,1764,13B
20170400186_11,2017-05-05 10:40:00,36.086,-86.648,2867,13C
20170400207_11,2017-05-05 11:50:00,36.12,-86.79,1647,13C
20170400208_11,2017-05-05 11:37:00,36.12,-86.722,2292,13B
20170400262_11,2017-05-05 10:15:00,36.19,-86.8,1576,13B
20170400360_11,2017-05-05 13:25:00,36.07,-86.69,2530,13B
20170400364_11,2017-05-05 13:29:00,36.16,-86.81,1469,13A
20170400364_12,2017-05-05 13:29:00,36.16,-86.81,1469,13A
20170400886_11,2017-05-05 16:55:00,36.055,-86.643,2922,13B
20170401190_11,2017-05-05 19:00:00,36.293,-86.695,2435,13B
20170401257_11,2017-05-05 19:21:00,36.129,-86.707,2407,13C
20170401449_11,2017-05-03 20:30:00,36.031,-86.68,2652,13B
20170401578_11,2017-05-05 18:00:00,36.153,-86.759,1962,13C
20170401691_11,2017-05-05 22:04:00,36.26,-86.68,2612,13B
20170401749_11,2017-05-05 22:30:00,36.21,-86.76,1885,13A
20170401749_12,2017-05-05 22:30:00,36.21,-86.76,1885,13A
20170401766_11,2017-05-05 22:40:00,36.267,-86.692,2496,13B
20170401769_11,2017-05-05 23:00:00,36.129,-86.714,2349,13C
20170401785_11,2017-05-05 22:35:00,36.115,-86.736,2168,13B
20170401790_11,2017-05-04 19:00:00,36.05,-86.76,1912,13C
20170401811_11,2017-05-05 21:00:00,36.149,-86.767,1830,13B
20170401897_11,2017-05-05 23:00:00,36.146,-86.793,1643,13B
20170401913_11,2017-05-05 22:00:00,36.033,-86.679,2651,13B
20170401923_11,2017-05-05 23:50:00,36.073,-86.669,2701,13B
20170401997_11,2017-05-05 23:00:00,36.204,-86.726,2218,13B
20170402087_11,2017-05-06 00:30:00,36.149,-86.796,1583,13B
20170402087_12,2017-05-06 00:30:00,36.149,-86.796,1583,13B
20170402220_11,2017-05-06 02:30:00,36.16,-86.78,1765,13B
20170402239_11,2017-05-06 03:21:00,36.071,-86.723,2301,13B
20170402252_11,2017-05-06 02:53:00,36.177,-86.751,2024,13B
20170402289_11,2017-05-06 00:55:00,36.15,-86.79,1642,13A
20170402336_11,2017-05-06 00:30:00,36.17,-86.779,1764,13B
20170402336_12,2017-05-06 00:30:00,36.17,-86.779,1764,13B
20170402380_11,2017-05-06 02:00:00,36.21,-86.82,1406,13B
20170402768_11,2017-05-06 08:45:00,36.14,-86.87,1019,13C
20170402791_11,2017-05-05 14:30:00,36.18,-86.64,2901,13C
20170402881_11,2017-05-06 09:50:00,36.09,-86.64,2916,13B
20170403009_11,2017-05-06 11:30:00,36.213,-86.715,2334,13C
20170403025_11,2017-05-06 11:10:00,36.2,-86.78,1758,13A
20170403061_11,2017-05-06 12:20:00,36.186,-86.745,2023,13B
20170403078_11,2017-05-06 13:00:00,36.189,-86.815,1464,13B
20170403121_11,2017-05-06 13:15:00,36.168,-86.809,1524,13C
20170403158_11,2017-05-06 13:10:00,36.22,-86.81,1459,13B
20170403198_22,2017-05-06 14:45:00,36.26,-86.679,2612,13B
20170403241_11,2017-05-06 15:05:00,36.17,-86.8,1580,13A
20170403271_11,2017-05-06 13:00:00,36.18,-86.8,1578,13B
20170403273_11,2017-05-06 15:31:00,36.13,-86.71,2348,13B
20170403273_12,2017-05-06 15:31:00,36.13,-86.71,2348,13B
20170403355_11,2017-05-06 16:00:00,36.195,-86.758,1954,13C
20170403375_11,2017-05-06 16:20:00,36.284,-86.859,1112,13B
20170403380_11,2017-05-06 16:28:00,36.087,-86.694,2527,13B
20170403409_11,2017-05-05 20:30:00,36.122,-86.738,2101,13B
20170403409_12,2017-05-05 20:30:00,36.122,-86.738,2101,13B
20170403414_11,2017-05-04 06:30:00,36.18,-86.78,1762,13A
20170403432_11,2017-05-06 14:00:00,36.045,-86.718,2305,13C
20170403470_12,2017-05-06 14:00:00,36.085,-86.706,2414,13B
20170403486_11,2017-05-06 12:22:00,36.21,-86.78,1757,13A
20170403486_12,2017-05-06 12:22:00,36.21,-86.78,1757,13A
20170403725_11,2017-05-06 18:37:00,36.17,-86.76,1892,13C
