primary_key,incident_occured,latitude,longitude,grid,offense_type
20170961197_32,2017-11-01 00:20:00,36.07,-86.72,2301,13A
20170961355_11,2017-11-01 01:17:00,36.169,-86.738,2093,13A
20170961372_11,2017-11-01 00:50:00,36.201,-86.824,1352,13A
20170961393_11,2017-11-01 01:15:00,36.165,-86.603,3145,13B
20170961470_11,2017-11-01 02:02:00,36.16,-86.78,1765,13B
20170961470_12,2017-11-01 02:02:00,36.16,-86.78,1765,13B
20170961603_11,2017-11-01 03:30:00,36.097,-86.823,1425,13A
20170961603_12,2017-11-01 03:30:00,36.097,-86.823,1425,13A
20170961603_13,2017-11-01 03:30:00,36.097,-86.823,1425,13A
20170961605_22,2017-11-01 03:18:00,36.11,-86.72,2294,13A
20170961632_11,2017-11-01 03:40:00,36.18,-86.8,1578,13B
20170961979_11,2017-11-01 03:30:00,36.15,-86.76,1895,13A
20170962124_22,2017-11-01 08:36:00,36.28,-86.71,2323,13A
20170962124_23,2017-11-01 08:36:00,36.28,-86.71,2323,13A
20170962151_11,2017-11-01 08:50:00,36.09,-86.7,2470,13B
20170962207_11,2017-11-01 08:58:00,36.082,-86.715,2357,13C
20170962262_11,2017-11-01 09:00:00,36.266,-86.754,1942,13B
20170962270_11,2017-11-01 09:30:00,36.15,-86.77,1830,13A
20170962301_11,2017-11-01 09:40:00,36.16,-86.87,1015,13B
20170962535_11,2017-11-01 09:20:00,36.22,-86.8,1571,13C
20170963434_11,2017-11-01 15:00:00,36.16,-86.77,1828,13B
20170963434_12,2017-11-01 15:00:00,36.16,-86.77,1828,13B
20170963439_11,2017-11-01 15:54:00,36.165,-86.812,1468,13C
20170963487_11,2017-11-01 17:18:00,36.044,-86.956,385,13C
20170963596_11,2017-11-01 17:17:00,36.289,-86.878,935,13B
20170963694_11,2017-11-01 16:30:00,36.154,-86.622,3051,13B
20170963739_11,2017-11-01 21:03:00,36.285,-86.716,2322,13B
20170963743_33,2017-11-01 19:00:00,36.049,-86.649,2873,13C
20170963754_11,2017-11-01 19:12:00,36.252,-86.709,2327,13B
