primary_key,incident_occured,latitude,longitude,grid,offense_type
20180748682_11,2018-09-01 00:21:00,36.161,-86.776,1765,13B
20180748729_11,2018-09-01 00:27:00,36.118,-86.727,2233,13B
20180748747_11,2018-09-01 00:00:00,36.19,-86.83,1354,13B
20180748780_11,2018-09-01 00:00:00,36.06,-86.63,2971,13B
20180748923_11,2018-09-01 02:25:00,36.277,-86.797,1561,13B
20180748952_11,2018-09-01 02:10:00,36.176,-86.784,1700,13B
20180748973_11,2018-09-01 03:05:00,36.177,-86.604,3143,13A
20180749323_11,2018-09-01 02:00:00,36.168,-86.782,1701,13B
20180749382_11,2018-09-01 07:14:00,36.213,-86.762,1884,13B
20180749515_11,2018-09-01 08:50:00,36.161,-86.826,1359,13B
20180749579_11,2018-09-01 09:00:00,36.133,-86.723,2290,13C
20180749608_11,2018-09-01 10:40:00,36.268,-86.692,2496,13B
20180749776_11,2018-09-01 08:30:00,36.18,-86.82,1411,13A
20180749797_11,2018-09-01 00:17:00,36.166,-86.608,3145,13C
20180749798_11,2018-09-01 00:18:00,36.15,-86.86,1076,13A
20180749806_11,2018-09-01 00:14:00,36.244,-86.756,1946,13B
20180749816_11,2018-09-01 09:00:00,36.093,-86.646,2866,13C
20180749825_11,2018-09-01 00:00:00,36.055,-86.728,2243,13B
20180749838_11,2018-09-01 07:00:00,36.2,-86.681,2564,13C
20180749858_11,2018-09-01 13:10:00,36.055,-86.643,2922,13B
20180749858_12,2018-09-01 13:10:00,36.055,-86.643,2922,13B
20180749894_11,2018-09-01 13:45:00,36.223,-86.879,946,13B
20180750032_11,2018-09-01 15:25:00,36.15,-86.85,1193,13B
20180750032_12,2018-09-01 15:25:00,36.15,-86.85,1193,13B
20180750057_11,2018-09-01 10:44:00,36.08,-86.726,2239,13A
20180750058_11,2018-09-01 00:00:00,36.29,-86.66,2720,13B
20180750112_11,2018-09-01 16:10:00,36.249,-86.67,2671,13B
20180750177_11,2018-09-01 16:30:00,36.15,-86.63,2955,13C
20180750267_11,2018-09-01 17:37:00,36.186,-86.747,2023,13B
20180750282_22,2018-09-01 17:45:00,36.17,-86.6,3188,13A
20180750283_11,2018-09-01 18:00:00,36.165,-86.77,1827,13B
20180750299_11,2018-09-01 15:45:00,36.04,-86.63,2974,13B
20180750307_11,2018-09-01 17:55:00,36.161,-86.777,1765,13B
20180750307_12,2018-09-01 17:55:00,36.161,-86.777,1765,13B
20180750316_11,2018-09-01 18:08:00,36.17,-86.76,1892,13C
20180750370_11,2018-09-01 18:00:00,36.16,-86.84,1248,13A
20180750444_11,2018-09-01 19:15:00,36.177,-86.809,1522,13A
20180750558_11,2018-09-01 20:00:00,36.034,-86.751,2049,13B
20180750574_11,2018-09-01 20:00:00,36.157,-86.655,2799,13B
20180750578_11,2018-09-01 20:40:00,36.253,-86.711,2327,13B
20180750605_11,2018-09-01 20:00:00,36.285,-86.786,1681,13B
20180750640_11,2018-09-01 21:21:00,36.17,-86.81,1468,13A
20180750644_11,2018-09-01 21:20:00,36.15,-86.79,1642,13B
20180750679_11,2018-09-01 21:48:00,36.21,-86.78,1757,13A
20180750794_11,2018-09-01 23:36:00,36.18,-86.61,3095,13B
20180750795_11,2018-09-01 21:30:00,36.08,-86.7,2472,13C
20180750830_11,2018-09-01 23:32:00,36.161,-86.776,1765,13B
20180750830_12,2018-09-01 23:32:00,36.161,-86.776,1765,13B
20180750880_11,2018-09-01 21:00:00,36.25,-86.66,2727,13C
20180750899_11,2018-09-01 19:30:00,36.168,-86.76,1892,13A
20180750909_11,2018-09-02 00:12:00,36.161,-86.776,1765,13B
20180750909_12,2018-09-02 00:12:00,36.161,-86.776,1765,13B
20180750921_11,2018-09-01 23:42:00,36.117,-86.698,2466,13B
20180750921_12,2018-09-01 23:42:00,36.117,-86.698,2466,13B
20180751045_11,2018-09-02 01:12:00,36.044,-86.666,2706,13B
20180751115_11,2018-09-02 02:08:00,36.085,-86.729,2238,13B
20180751115_12,2018-09-02 02:08:00,36.085,-86.729,2238,13B
20180751133_11,2018-09-02 02:00:00,36.251,-86.743,2079,13B
20180751139_11,2018-09-02 04:46:00,36.233,-86.758,1948,13B
20180751180_11,2018-09-02 02:45:00,36.17,-86.76,1892,13C
20180751180_12,2018-09-02 02:45:00,36.17,-86.76,1892,13C
20180751220_11,2018-09-02 00:12:00,36.04,-86.67,2707,13B
20180751287_11,2018-09-02 04:00:00,36.15,-86.8,1583,13A
20180751370_11,2018-09-02 03:00:00,36.16,-86.8,1581,13B
20180751391_11,2018-09-02 05:15:00,36.17,-86.76,1892,13A
20180751391_12,2018-09-02 05:15:00,36.17,-86.76,1892,13A
20180751392_11,2018-09-02 05:20:00,36.15,-86.76,1895,13A
20180751430_11,2018-09-02 05:54:00,36.045,-86.61,3118,13B
20180751481_11,2018-09-02 06:10:00,36.07,-86.66,2758,13A
20180751703_11,2018-09-02 08:45:00,36.144,-86.749,2030,13B
20180751752_11,2018-09-02 09:25:00,36.14,-86.77,1832,13B
20180751760_11,2018-09-02 09:46:00,36.24,-86.704,2387,13B
20180751809_11,2018-09-02 10:13:00,36.104,-86.719,2295,13B
20180751809_12,2018-09-02 10:13:00,36.104,-86.719,2295,13B
20180751823_11,2018-09-02 09:30:00,36.13,-86.71,2348,13C
20180751843_11,2018-09-02 10:50:00,36.199,-86.726,2219,13B
20180751904_22,2018-09-02 11:45:00,36.21,-86.69,2506,13B
20180751987_11,2018-09-01 00:00:00,36.057,-86.691,2532,13C
20180751995_11,2018-09-02 00:40:00,36.084,-86.711,2356,13B
20180751996_11,2018-09-02 13:06:00,36.237,-86.77,1815,13B
20180752005_11,2018-09-02 10:00:00,36.07,-86.64,2920,13C
20180752024_11,2018-09-01 23:30:00,36.16,-86.78,1765,13B
20180752082_11,2018-09-02 13:00:00,36.044,-86.666,2706,13C
20180752201_11,2018-09-02 14:00:00,36.18,-86.6,3186,13C
20180752230_11,2018-09-02 16:02:00,36.168,-86.817,1413,13B
20180752261_11,2018-09-02 15:30:00,36.09,-86.65,2866,13C
20180752265_11,2018-09-02 15:59:00,36.17,-86.66,2741,13C
20180752299_11,2018-09-02 16:20:00,36.16,-86.77,1828,13B
20180752348_11,2018-09-02 15:00:00,36.077,-86.721,2300,13B
20180752372_11,2018-09-02 17:08:00,36.15,-86.63,2955,13A
20180752372_12,2018-09-02 17:08:00,36.15,-86.63,2955,13A
20180752414_11,2018-09-02 16:00:00,36.078,-86.688,2528,13B
20180752445_11,2018-09-02 16:15:00,36.07,-86.694,2530,13C
20180752470_11,2018-09-02 18:05:00,36.13,-86.89,844,13B
20180752486_11,2018-09-02 19:07:00,36.216,-86.713,2334,13B
20180752652_11,2018-09-02 20:00:00,36.185,-86.77,1824,13C
20180752661_11,2018-09-02 20:04:00,36.074,-86.689,2529,13B
20180752703_11,2018-09-02 20:26:00,36.15,-86.8,1583,13B
20180752725_11,2018-09-02 20:40:00,36.16,-86.78,1765,13B
20180752738_11,2018-09-02 21:24:00,36.16,-86.78,1765,13B
20180752738_12,2018-09-02 21:24:00,36.16,-86.78,1765,13B
20180752748_11,2018-09-02 20:55:00,36.218,-86.585,3256,13B
20180752798_11,2018-09-02 21:00:00,36.241,-86.773,1814,13B
20180752811_11,2018-09-02 21:35:00,36.144,-86.747,2030,13A
20180752816_22,2018-09-02 21:40:00,36.13,-86.71,2348,13B
20180752832_11,2018-09-02 21:53:00,36.268,-86.699,2440,13B
20180752832_12,2018-09-02 21:53:00,36.268,-86.699,2440,13B
20180752832_13,2018-09-02 21:53:00,36.268,-86.699,2440,13B
20180752832_14,2018-09-02 21:53:00,36.268,-86.699,2440,13B
20180752832_15,2018-09-02 21:53:00,36.268,-86.699,2440,13B
20180752832_16,2018-09-02 21:53:00,36.268,-86.699,2440,13B
20180752832_17,2018-09-02 21:53:00,36.268,-86.699,2440,13B
20180752832_18,2018-09-02 21:53:00,36.268,-86.699,2440,13B
20180752833_11,2018-09-02 22:00:00,36.16,-86.777,1765,13A
20180752840_11,2018-09-02 20:00:00,36.04,-86.71,2364,13C
20180752840_12,2018-09-02 20:00:00,36.04,-86.71,2364,13C
20180752878_11,2018-09-02 22:15:00,36.22,-86.82,1404,13A
20180752892_11,2018-09-02 18:00:00,36.27,-86.68,2610,13C
20180752899_11,2018-09-02 22:15:00,36.184,-86.974,273,13B
20180752906_11,2018-09-02 21:02:00,36.078,-86.634,2967,13B
20180752930_11,2018-09-02 22:52:00,36.22,-86.69,2504,13C
20180752956_21,2018-09-02 21:09:00,36.21,-86.79,1632,13C
20180752964_11,2018-09-02 21:20:00,36.16,-86.77,1828,13B
20180752983_11,2018-09-02 23:00:00,36.05,-86.66,2761,13B
20180753004_11,2018-09-02 21:30:00,36.13,-86.91,725,13A
20180753064_11,2018-09-03 00:23:00,36.14,-86.79,1644,13C
20180753065_11,2018-09-03 00:22:00,36.045,-86.61,3118,13B
20180753065_12,2018-09-03 00:22:00,36.05,-86.61,3117,13B
20180753143_11,2018-09-03 01:14:00,36.164,-86.772,1828,13B
20180753148_11,2018-09-01 20:00:00,36.05,-86.6,3208,13C
20180753286_11,2018-09-03 02:50:00,36.226,-86.744,2083,13A
20180753348_11,2018-09-03 01:21:00,36.16,-86.778,1765,13B
20180753351_11,2018-09-03 03:30:00,36.07,-86.64,2920,13A
20180753438_11,2018-09-03 04:00:00,36.247,-86.771,1813,13B
20180753476_11,2018-09-03 04:30:00,36.193,-86.749,2022,13B
20180753696_11,2018-09-03 06:47:00,36.15,-86.83,1361,13C
20180753930_11,2018-09-03 08:50:00,36.133,-86.723,2290,13A
20180754141_11,2018-09-03 10:30:00,36.304,-86.691,2489,13C
20180754141_12,2018-09-03 10:30:00,36.304,-86.691,2489,13C
20180754144_11,2018-09-03 10:00:00,36.01,-86.685,2597,13B
20180754219_11,2018-09-03 11:24:00,36.172,-86.594,3187,13A
20180754248_11,2018-09-03 11:43:00,36.08,-86.72,2299,13B
20180754348_11,2018-09-03 00:00:00,36.18,-86.59,3227,13B
20180754376_11,2018-09-03 00:20:00,36.262,-86.758,1943,13A
20180754376_13,2018-09-03 00:20:00,36.262,-86.758,1943,13A
20180754419_11,2018-09-02 20:00:00,36.176,-86.618,3048,13C
20180754470_11,2018-09-03 02:50:00,36.07,-86.64,2920,13B
20180754481_11,2018-09-03 13:41:00,36.21,-86.784,1694,13B
20180754543_22,2018-09-03 14:15:00,36.041,-86.778,1786,13A
20180754543_23,2018-09-03 14:15:00,36.041,-86.778,1786,13A
20180754543_24,2018-09-03 14:15:00,36.041,-86.778,1786,13A
20180754587_11,2018-09-03 15:00:00,36.15,-86.81,1471,13B
20180754699_11,2018-09-03 16:31:00,36.129,-86.715,2349,13B
20180754720_11,2018-09-03 15:51:00,36.053,-86.698,2477,13C
20180754747_11,2018-09-03 16:00:00,36.174,-86.806,1523,13A
20180754747_12,2018-09-03 16:00:00,36.174,-86.806,1523,13A
20180754830_11,2018-09-02 21:00:00,36.241,-86.773,1814,13A
20180754930_11,2018-09-02 00:00:00,36.095,-86.529,3431,13A
20180754958_11,2018-09-03 13:00:00,36.253,-86.651,2838,13C
20180754966_11,2018-09-03 17:00:00,36.076,-86.935,517,13B
20180755083_11,2018-09-03 18:38:00,36.212,-86.796,1572,13A
20180755088_11,2018-09-03 18:37:00,36.21,-86.77,1820,13B
20180755278_11,2018-09-03 20:10:00,36.12,-86.79,1647,13B
20180755290_11,2018-09-02 20:19:00,36.14,-86.75,2031,13B
20180755295_11,2018-09-03 14:15:00,36.228,-86.793,1629,13C
20180755307_11,2018-09-03 20:30:00,36.185,-86.736,2156,13B
20180755310_11,2018-09-03 20:30:00,36.152,-86.86,1076,13A
20180755315_11,2018-09-03 20:35:00,36.13,-86.71,2348,13B
20180755363_11,2018-09-03 21:01:00,36.167,-86.615,3097,13B
20180755365_11,2018-09-03 20:50:00,36.16,-86.78,1765,13B
20180755371_11,2018-09-03 21:00:00,36.158,-86.651,2855,13B
20180755390_11,2018-09-03 21:15:00,36.152,-86.766,1895,13A
20180755390_13,2018-09-03 21:15:00,36.152,-86.766,1895,13A
20180755418_11,2018-09-03 19:55:00,36.078,-86.912,675,13B
20180755418_22,2018-09-03 19:55:00,36.078,-86.912,675,13A
20180755472_11,2018-09-03 22:01:00,36.067,-86.666,2702,13B
20180755484_11,2018-09-03 22:08:00,36.08,-86.72,2299,13A
