Primary Key,Incident Number,Report Type,Report Type Description,Incident Status Code,Incident Status Description,Investigation Status,Incident Occurred,Incident Reported,Incident Location,ZIP,RPA,Zone,Location Code,Location Description,Offense Number,Offense NIBRS,Offense Description,Weapon Primary,Weapon Description,Victim Number,Domestic Related,Victim Type,Victim Description,Victim Gender,Victim Race,Victim Ethnicity,Victim County Resident,Latitude,Longitude,Mapped Location,grid
20180269672_11,20180269672,D,DISPATCHED,A,CLEARED BY ARREST,Closed,3/24/2018 4:30,3/24/2018 19:00,1900 DICKERSON PIKE,37207,1863,223,14,"HOTEL, MOTEL, ETC.",1,13B,SIMPLE ASSLT - STRANGULATION (NO LOSS OF CONSCIOUSNESS),9,PERSONAL (HANDS),1,Yes,I,INDIVIDUAL (18 AND OVER),F,B,Non-Hispanic,RESIDENT,36.203,-86.769,"(36.203, -86.769)",1821
20180311407_11,20180311407,D,DISPATCHED,A,CLEARED BY ARREST,Closed,4/7/2018 0:00,4/7/2018 3:20,1500 9TH AVE N,37208,4345,617,13,"HIGHWAY, ROAD, ALLEY",1,13A,"Assault, Aggravated - Strangulation - Int/Kn",9,PERSONAL (HANDS),1,Yes,I,INDIVIDUAL (18 AND OVER),F,B,Non-Hispanic,RESIDENT,36.178,-86.798,"(36.178, -86.798)",1578
20180438423_12,20180438423,D,DISPATCHED,A,CLEARED BY ARREST,Closed,5/18/2018 10:30,5/18/2018 13:16,500 COVENTRY CT,37211,8501,831,20,"PARKING LOT, GARAGE",1,13A,AGGRAV ASSLT - FAMILY-WEAPON,8,MOTOR VEHICLE,2,Yes,I,INDIVIDUAL (18 AND OVER),F,W,Non-Hispanic,RESIDENT,36.084,-86.739,"(36.084, -86.739)",2107
20180438423_13,20180438423,D,DISPATCHED,A,CLEARED BY ARREST,Closed,5/18/2018 10:30,5/18/2018 13:16,500 COVENTRY CT,37211,8501,831,20,"PARKING LOT, GARAGE",1,13A,AGGRAV ASSLT - FAMILY-WEAPON,8,MOTOR VEHICLE,3,No,I,INDIVIDUAL (18 AND OVER),M,W,Unknown,UNKNOWN,36.084,-86.739,"(36.084, -86.739)",2107
20180438423_21,20180438423,D,DISPATCHED,A,CLEARED BY ARREST,Closed,5/18/2018 10:30,5/18/2018 13:16,500 COVENTRY CT,37211,8501,831,20,"PARKING LOT, GARAGE",2,13B,ASSAULT- OFFENSIVE OR PROVOCATIVE CONTACT,9,PERSONAL (HANDS),1,Yes,I,INDIVIDUAL (18 AND OVER),F,W,Non-Hispanic,RESIDENT,36.084,-86.739,"(36.084, -86.739)",2107
20180500951_11,20180500951,D,DISPATCHED,P,PROSECUTION DECLINED,Closed,6/8/2018 21:00,6/8/2018 23:08,3400 ELIZABETH JORDAN ST,37209,4549,111,22,"RESIDENCE, HOME",1,13B,SIMPLE ASSLT - STRANGULATION (NO LOSS OF CONSCIOUSNESS),9,PERSONAL (HANDS),1,Yes,I,INDIVIDUAL (18 AND OVER),F,B,Non-Hispanic,RESIDENT,36.158,-86.827,"(36.158, -86.827)",1360
20180527532_11,20180527532,D,DISPATCHED,A,CLEARED BY ARREST,Closed,6/18/2018 10:30,6/18/2018 13:45,3800 SYFERT LN,37211,8707,321,13,"HIGHWAY, ROAD, ALLEY",1,13B,SIMPLE ASSLT,9,PERSONAL (HANDS),1,Yes,I,INDIVIDUAL (18 AND OVER),F,W,Hispanic,RESIDENT,36.074,-86.695,"(36.074, -86.695)",2473
20180580982_11,20180580982,D,DISPATCHED,A,CLEARED BY ARREST,Closed,7/5/2018 13:00,7/5/2018 17:06,1400 9TH AVE N,37208,4329,617,22,"RESIDENCE, HOME",1,13A,AGGRAV ASSLT - FAMILY-WEAPON,6,LETHAL/CUTTING INSTRUMENT,1,Yes,I,INDIVIDUAL (18 AND OVER),M,B,Non-Hispanic,RESIDENT,36.177,-86.796,"(36.177, -86.796)",1578
20180605826_11,20180605826,D,DISPATCHED,A,CLEARED BY ARREST,Closed,7/13/2018 20:55,7/13/2018 21:46,100 OCEANFRONT CIR N,37013,8905,335,22,"RESIDENCE, HOME",1,13A,"Assault, Aggravated - Strangulation - Int/Kn",9,PERSONAL (HANDS),1,Yes,I,INDIVIDUAL (18 AND OVER),F,W,Non-Hispanic,RESIDENT,36.054,-86.584,"(36.054, -86.584)",3285
20180605826_22,20180605826,D,DISPATCHED,A,CLEARED BY ARREST,Closed,7/13/2018 20:55,7/13/2018 21:46,100 OCEANFRONT CIR N,37013,8905,335,22,"RESIDENCE, HOME",2,13B,ASSAULT- OFFENSIVE OR PROVOCATIVE CONTACT,16,Unarmed,2,Yes,I,INDIVIDUAL (18 AND OVER),M,W,Non-Hispanic,NON RESIDENT,36.054,-86.584,"(36.054, -86.584)",3285
20180637044_11,20180637044,W,WITNESS,A,CLEARED BY ARREST,Closed,7/23/2018 22:41,7/24/2018 22:41,600 S 7TH ST,37206,1023,211,90,APARTMENT,1,13B,SIMPLE ASSLT - STRANGULATION (NO LOSS OF CONSCIOUSNESS),9,PERSONAL (HANDS),1,Yes,I,INDIVIDUAL (18 AND OVER),F,W,Non-Hispanic,RESIDENT,36.168,-86.757,"(36.168, -86.757)",1959
20180637043_11,20180637043,D,DISPATCHED,A,CLEARED BY ARREST,Closed,7/22/2018 18:00,7/24/2018 21:06,600 S 7TH ST,37206,1023,211,90,APARTMENT,1,13B,SIMPLE ASSLT,9,PERSONAL (HANDS),1,Yes,I,INDIVIDUAL (18 AND OVER),F,W,Non-Hispanic,RESIDENT,36.168,-86.757,"(36.168, -86.757)",1959
20180646372_11,20180646372,W,WITNESS,A,CLEARED BY ARREST,Closed,5/29/2018 8:00,7/27/2018 17:22,900 SWINGING BRIDGE RD,37138,9701,525,22,"RESIDENCE, HOME",1,13A,"Assault, Aggravated - Strangulation - Int/Kn",9,PERSONAL (HANDS),1,Yes,I,INDIVIDUAL (18 AND OVER),F,W,Hispanic,RESIDENT,36.283,-86.676,"(36.283, -86.676)",2608
20180654443_11,20180654443,D,DISPATCHED,R,REFUSED TO COOPERATE,Closed,7/28/2018 1:30,7/30/2018 20:50,1200 CHURCH ST,37203,4119,411,90,APARTMENT,1,13B,ASSAULT- OFFENSIVE OR PROVOCATIVE CONTACT,9,PERSONAL (HANDS),1,Yes,I,INDIVIDUAL (18 AND OVER),F,W,Non-Hispanic,RESIDENT,36.159,-86.789,"(36.159, -86.789)",1640
20180655788_11,20180655788,D,DISPATCHED,R,REFUSED TO COOPERATE,Closed,7/31/2018 5:30,7/31/2018 7:20,600 BELL RD,37013,8865,333,90,APARTMENT,1,13B,SIMPLE ASSLT,9,PERSONAL (HANDS),1,Yes,I,INDIVIDUAL (18 AND OVER),F,B,Non-Hispanic,NON RESIDENT,36.061,-86.639,"(36.061, -86.639)",2921
20180655788_12,20180655788,D,DISPATCHED,R,REFUSED TO COOPERATE,Closed,7/31/2018 5:30,7/31/2018 7:20,600 BELL RD,37013,8865,333,90,APARTMENT,1,13B,SIMPLE ASSLT,9,PERSONAL (HANDS),2,Yes,I,INDIVIDUAL (18 AND OVER),M,B,Non-Hispanic,RESIDENT,36.061,-86.639,"(36.061, -86.639)",2921
20180655934_11,20180655934,D,DISPATCHED,R,REFUSED TO COOPERATE,Closed,7/31/2018 6:10,7/31/2018 7:16,800 KENT RD,37214,9419,517,22,"RESIDENCE, HOME",1,13C,ASSAULT- FEAR OF BODILY INJURY,17,NONE,1,Yes,I,INDIVIDUAL (18 AND OVER),M,W,Non-Hispanic,RESIDENT,36.157,-86.663,"(36.157, -86.663)",2743
20180657877_11,20180657877,D,DISPATCHED,R,REFUSED TO COOPERATE,Closed,7/31/2018 20:47,7/31/2018 21:28,900 33RD AVE N,37209,4565,613,22,"RESIDENCE, HOME",1,13B,SIMPLE ASSLT,9,PERSONAL (HANDS),1,Yes,I,INDIVIDUAL (18 AND OVER),F,W,Non-Hispanic,RESIDENT,36.162,-86.826,"(36.162, -86.826)",1359
20180657886_11,20180657886,D,DISPATCHED,R,REFUSED TO COOPERATE,Closed,7/30/2018 10:00,7/31/2018 23:57,500 BISMARK DR,37210,9039,513,22,"RESIDENCE, HOME",1,13C,ASSAULT- FEAR OF BODILY INJURY,17,NONE,1,Yes,I,INDIVIDUAL (18 AND OVER),F,W,Non-Hispanic,RESIDENT,36.157,-86.698,"(36.157, -86.698)",2459
20180660403_11,20180660403,D,DISPATCHED,R,REFUSED TO COOPERATE,Closed,8/1/2018 16:00,8/1/2018 17:45,1000 2ND AVE N,37201,4231,413,20,"PARKING LOT, GARAGE",1,13B,SIMPLE ASSLT,9,PERSONAL (HANDS),1,Yes,I,INDIVIDUAL (18 AND OVER),M,B,Non-Hispanic,RESIDENT,36.175,-86.783,"(36.175, -86.783)",1700
